year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars
2014,2,50.0,0.39723327366696015,0.19861663683348008,1.3792739445441673,0.0,1,50.0,14.5,14.5
2015,7,57.14285714285714,2.795265355243533,0.39932362217764755,1.9009447832163748,1.041102634811275,1,57.14285714285714,15.285714285714286,13.0
2016,9,66.66666666666666,6.1347636131949095,0.681640401466101,3.2497007952278087,1.7049743351866322,2,66.66666666666666,15.666666666666666,10.0
2017,4,50.0,0.8665655073922893,0.21664137684807233,1.4149180903174434,2.088521873628846,2,50.0,26.75,17.0
2018,8,62.5,4.168928497039248,0.521116062129906,2.3376677243436434,2.0868900912966604,2,62.5,19.5,10.5
2019,5,40.0,-0.2380125069017367,-0.04760250138034734,0.9247378836419726,2.0879327667524588,2,40.0,11.4,11.0
2020,8,75.0,6.6568119113038495,0.8321014889129812,4.155741604261018,1.0741759792698815,1,75.0,10.75,7.0
2021,8,50.0,1.5861222674131121,0.19826528342663902,1.3792259183356215,3.128434542842495,3,50.0,8.125,8.5
2022,3,66.66666666666666,1.9171597062886592,0.6390532354295531,2.8860974343089127,1.0164690706931203,1,66.66666666666666,8.0,8.0
2023,4,100.0,5.900677140831235,1.4751692852078087,inf,0.0,0,100.0,33.75,28.0
2024,5,60.0,2.4023470756438323,0.48046941512876645,2.1776566388879255,1.0128039166650942,1,60.0,15.2,14.0
2025,5,100.0,7.402613386024533,1.4805226772049065,inf,0.0,0,100.0,11.4,11.0
2026,1,100.0,1.479742613271487,1.479742613271487,inf,0.0,0,100.0,27.0,27.0
