trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate,avg_hold_bars,median_hold_bars,window,start_year,end_year
18.0,61.111111111111114,9.327262242105403,0.5181812356725224,2.3563238649086933,1.7049743351866322,2.0,61.111111111111114,15.38888888888889,12.5,2014-2016,2014,2016
20.0,60.0,9.796594475830732,0.4898297237915366,2.2372500093559315,2.088521873628846,2.0,60.0,17.75,11.5,2015-2017,2015,2017
21.0,61.904761904761905,11.170257617626445,0.5319170294107831,2.40825036408419,2.088521873628846,2.0,61.904761904761905,19.238095238095237,11.0,2016-2018,2016,2018
17.0,52.94117647058824,4.797481497529802,0.2822047939723413,1.5733446832633662,2.088521873628846,2.0,52.94117647058824,18.823529411764707,11.0,2017-2019,2017,2019
21.0,61.904761904761905,10.587727901441362,0.5041775191162553,2.2621805783625795,2.0879327667524588,2.0,61.904761904761905,14.238095238095237,9.0,2018-2020,2018,2020
21.0,57.14285714285714,8.004921671815225,0.3811867462769155,1.8466872174615885,3.128434542842495,3.0,57.14285714285714,9.904761904761905,9.0,2019-2021,2019,2021
19.0,63.1578947368421,10.16009388500562,0.5347417834213485,2.39018948381986,3.128434542842495,3.0,63.1578947368421,9.210526315789474,7.0,2020-2022,2020,2022
15.0,66.66666666666666,9.403959114533006,0.6269306076355338,2.8088032335297135,3.128434542842495,3.0,66.66666666666666,14.933333333333334,10.0,2021-2023,2021,2023
12.0,75.0,10.220183922763727,0.8516819935636439,4.343855099516587,1.0271345478370852,1.0,75.0,19.583333333333332,12.0,2022-2024,2022,2024
14.0,85.71428571428571,15.7056376024996,1.1218312573214,8.699074200423176,1.0271345478370852,1.0,85.71428571428571,19.142857142857142,14.0,2023-2025,2023,2025
11.0,81.81818181818183,11.28470307493985,1.0258820977218046,6.531884059891845,1.0128039166650942,1.0,81.81818181818183,14.545454545454545,14.0,2024-2026,2024,2026
6.0,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0.0,100.0,14.0,12.5,2025-2027,2025,2027
1.0,100.0,1.479742613271487,1.479742613271487,inf,0.0,0.0,100.0,27.0,27.0,2026-2028,2026,2028
