label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,removed_year
without_2020,62,59.67741935483871,28.69860479614269,0.4628807225184305,2.1194476724503506,4.163107198443356,4,2020
without_2025,64,59.375,29.026979300691885,0.4535465515733107,2.0883083631985135,4.163107198443356,4,2025
without_2023,65,60.0,30.52891554588518,0.46967562378284894,2.1446204499541577,4.163107198443356,4,2023
without_2017,63,61.904761904761905,32.649199318900216,0.5182412590301622,2.328114132011561,4.163107198443356,4,2017
without_2016,60,63.33333333333333,32.81074127130779,0.5468456878551299,2.432093599484941,4.163107198443356,4,2016
without_2024,65,61.53846153846154,33.014441694407495,0.5079144876062691,2.2873880301526595,4.163107198443356,4,2024
without_2018,61,63.934426229508205,34.75851151104702,0.5698116641155249,2.542591083582215,4.16310719844336,4,2018
without_2026,68,61.76470588235294,34.94985007344493,0.5139683834330137,2.3103745220419016,4.163107198443356,4,2026
without_2015,63,63.49206349206349,35.09984296352568,0.5571403645004076,2.489234134803381,4.163107198443356,4,2015
without_2021,60,65.0,35.87814307490417,0.5979690512484029,2.6722936986644807,3.2816153516430235,3,2021
without_2022,67,62.68656716417911,35.96495572783394,0.5367903839975214,2.4018593909949444,4.163107198443356,4,2022
without_2019,64,64.0625,36.66760519361816,0.5729313311502837,2.5597128894417027,4.163107198443356,4,2019
without_2014,66,63.63636363636363,37.10732176888789,0.5622321480134529,2.5115407901909643,4.163107198443356,4,2014
