label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,retrace_max,hours
r50_0618_ex_1,28,67.85714285714286,18.96780485357563,0.6774216019134153,3.1136861198483796,3.1109783042280323,3,0.618,ex_1
r50_0618_ex_1_6,26,69.23076923076923,18.532128822452375,0.7127741854789374,3.3345999383806153,3.1109783042280323,3,0.618,ex_1_6
r50_0618_ex_1_6_11_14,25,68.0,17.04573562783832,0.6818294251135327,3.1473503517950125,3.1109783042280323,3,0.618,ex_1_6_11_14
r50_0618_ex_1_6_14,25,68.0,17.04573562783832,0.6818294251135327,3.1473503517950125,3.1109783042280323,3,0.618,ex_1_6_14
r50_0618_ex_1_6_8_11_14,22,63.63636363636363,12.627993711880041,0.5739997141763655,2.590821735812036,3.1109783042280306,3,0.618,ex_1_6_8_11_14
r50_0618_none,38,55.26315789473685,13.624027577922602,0.358527041524279,1.7898760817768458,4.1599533528640515,4,0.618,none
r50_07_ex_1,52,61.53846153846154,26.66381150943946,0.5127656059507588,2.309924916802364,3.1109783042280306,3,0.7,ex_1
r50_07_ex_1_6,48,64.58333333333334,28.313716542793042,0.5898690946415217,2.642911288771733,3.110978304228034,3,0.7,ex_1_6
r50_07_ex_1_6_11_14,45,66.66666666666666,28.86223204978615,0.6413829344396922,2.8989610529773664,3.1109783042280306,3,0.7,ex_1_6_11_14
r50_07_ex_1_6_14,46,65.21739130434783,27.849428133121055,0.6054223507200229,2.7178531104603914,3.1109783042280306,3,0.7,ex_1_6_14
r50_07_ex_1_6_8_11_14,42,64.28571428571429,24.444490133827877,0.5820116698530446,2.6083002397027903,3.1109783042280323,3,0.7,ex_1_6_8_11_14
r50_07_none,68,51.470588235294116,17.62497602037547,0.259190823829051,1.5218745384364123,6.314532217967624,5,0.7,none
r50_0764_ex_1,78,57.692307692307686,32.184948918780044,0.4126275502407698,1.9501334658016476,4.163107198443356,4,0.764,ex_1
r50_0764_ex_1_6,73,60.273972602739725,34.86661209742521,0.47762482325240013,2.173129594760123,4.163107198443356,4,0.764,ex_1_6
r50_0764_ex_1_6_11_14,69,62.31884057971014,36.42959268671642,0.5279651114016872,2.365854503087198,4.163107198443356,4,0.764,ex_1_6_11_14
r50_0764_ex_1_6_14,70,61.42857142857143,35.416788770051326,0.5059541252864476,2.2793024348992503,4.163107198443356,4,0.764,ex_1_6_14
r50_0764_ex_1_6_8_11_14,66,60.60606060606061,32.01185077075814,0.4850280419811839,2.2002201315673395,4.16310719844336,4,0.764,ex_1_6_8_11_14
r50_0764_none,100,49.0,19.424037327097047,0.19424037327097046,1.3702006358653436,9.045805726127144,6,0.764,none
r50_08_ex_1,91,58.24175824175825,38.701684065220405,0.4252932314859385,1.990523320809767,5.198982117366754,5,0.8,ex_1
r50_08_ex_1_6,84,60.71428571428571,40.97200611096103,0.48776197751144085,2.209123661926814,5.198982117366754,5,0.8,ex_1_6
r50_08_ex_1_6_11_14,78,62.82051282051282,42.12190781343152,0.540024459146558,2.4134652594023627,4.163107198443356,4,0.8,ex_1_6_11_14
r50_08_ex_1_6_14,80,62.5,42.55805770251054,0.5319757212813817,2.381160553645697,4.163107198443356,4,0.8,ex_1_6_14
r50_08_ex_1_6_8_11_14,73,61.64383561643836,37.27546542423073,0.510622814030558,2.29592310534672,4.163107198443356,4,0.8,ex_1_6_8_11_14
r50_08_none,117,50.427350427350426,27.431625562653917,0.23445833814234115,1.4642768528482715,10.699116264516155,8,0.8,none
r50_0886_ex_1,115,53.04347826086957,33.814337423403906,0.29403771672525136,1.6066832343301052,9.66342344847576,7,0.886,ex_1
r50_0886_ex_1_6,107,55.140186915887845,37.122569992187515,0.3469399064690422,1.7497656124210017,9.66342344847576,7,0.886,ex_1_6
r50_0886_ex_1_6_11_14,97,58.76288659793815,42.44358134902328,0.43756269431982764,2.0287887800767894,6.244989110202148,6,0.886,ex_1_6_11_14
r50_0886_ex_1_6_14,101,57.42574257425742,40.79849478034724,0.40394549287472514,1.91992271919863,7.613083447254255,6,0.886,ex_1_6_14
r50_0886_ex_1_6_8_11_14,92,57.608695652173914,37.59713895982249,0.408664553911114,1.9348089954083014,6.244989110202152,6,0.886,ex_1_6_8_11_14
r50_0886_none,147,48.29931972789115,24.89532788852391,0.16935597203077488,1.3199003470078823,17.709794142987956,10,0.886,none
