label,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,window_years,start_year,end_year
2014-2015,9,44.44444444444444,0.6520206410192717,0.07244673789103019,1.1247908452751894,1.074962355838429,2,2,2014,2015
2021-2022,11,45.45454545454545,1.016086570694729,0.09237150642679355,1.1629997961948355,4.163107198443357,4,2,2021,2022
2018-2019,13,46.15384615384615,1.4330686687676684,0.1102360514436668,1.1962691897527655,3.109424096927598,3,2,2018,2019
2015-2016,15,53.333333333333336,4.948601138599373,0.3299067425732915,1.7210328558226704,1.7049743351866322,2,2,2015,2016
2017-2018,14,57.14285714285714,5.451474543485609,0.3893910388204006,1.8753703208789796,3.2816153516430226,3,2,2017,2018
2022-2023,6,83.33333333333334,6.365314099713714,1.060885683285619,7.262181785200083,1.0164690706931203,1,2,2022,2023
2016-2017,15,60.0,7.399244783224837,0.4932829855483225,2.2650141005800157,2.088521873628846,2,2,2016,2017
2019-2020,12,66.66666666666666,7.492975383671995,0.6244146153059996,2.785019088733674,2.0879327667524588,2,2,2019,2020
2020-2021,16,62.5,8.28243750238598,0.5176523438991237,2.3246704354695327,4.163107198443357,4,2,2020,2021
2025-2026,6,100.0,8.88235599929602,1.4803926665493368,inf,0.0,0,2,2025,2026
2023-2024,8,87.5,9.315828133140162,1.1644785166425202,10.069725239752868,1.0271345478370852,1,2,2023,2024
2024-2025,9,88.88888888888889,10.81776437833346,1.2019738198148289,11.531983761147204,0.0,1,2,2024,2025
2014-2016,18,50.0,4.270872056427907,0.23727066980155037,1.475305740496809,1.7049743351866322,2,3,2014,2016
2017-2019,19,52.63157894736842,5.21346203658387,0.2743927387675721,1.5552102155648484,3.2816153516430226,3,3,2017,2019
2021-2023,15,60.0,6.916763711525964,0.4611175807683976,2.1095817106761956,4.163107198443357,4,3,2021,2023
2019-2021,21,57.14285714285714,8.044424995484244,0.38306785692782114,1.8544356045844608,4.163107198443357,4,3,2019,2021
2015-2017,21,57.14285714285714,8.728994506415578,0.4156664050674085,1.9751177719845114,2.088521873628846,2,3,2015,2017
2020-2022,18,61.111111111111114,8.74707446126846,0.4859485811815811,2.203352617687418,4.163107198443357,4,3,2020,2022
2016-2018,23,56.52173913043478,9.07032595889424,0.3943619982127931,1.9081005918081637,3.2816153516430218,3,3,2016,2018
2018-2020,20,60.0,9.1640565593414,0.45820282796707,2.0992295745454177,3.109424096927598,3,3,2018,2020
2022-2024,10,80.0,9.780465092022641,0.9780465092022641,5.785891453381217,1.0271345478370852,1,3,2022,2024
2024-2026,10,90.0,12.297506991604946,1.2297506991604945,12.972634955664507,0.0,1,3,2024,2026
2023-2025,13,92.3076923076923,16.718441519164696,1.286033963012669,17.27677849447278,1.0271345478370852,1,3,2023,2025
2014-2017,24,54.166666666666664,8.051265424244109,0.3354693926768379,1.7270390706473695,2.088521873628846,2,4,2014,2017
2019-2022,23,56.52173913043478,8.509061954366723,0.36995921540724885,1.81571868846364,4.163107198443357,4,4,2019,2022
2016-2019,28,53.57142857142857,8.832313451992505,0.31543976614258945,1.6716237330898769,3.2816153516430218,3,4,2016,2019
2018-2021,29,55.172413793103445,9.715506171153649,0.33501745417771206,1.716800021451932,4.163107198443358,4,4,2018,2021
2021-2024,19,63.1578947368421,10.331914703834892,0.5437849844123628,2.422971497965083,4.163107198443357,4,4,2021,2024
2015-2018,29,55.172413793103445,10.400075682084983,0.3586232993822408,1.794454864587006,3.2816153516430218,3,4,2015,2018
2017-2020,26,61.53846153846154,12.944449927157603,0.49786345873683086,2.24163557864664,3.2816153516430226,3,4,2017,2020
2020-2023,22,68.18181818181817,14.647751602099694,0.6658068910045315,3.0151206339525816,4.163107198443357,4,4,2020,2023
2022-2025,15,86.66666666666667,17.183078478047175,1.1455385652031451,9.408224727261706,1.0271345478370852,1,4,2022,2025
2023-2026,14,92.85714285714286,18.198184132436182,1.299870295174013,18.717429688990084,1.0271345478370852,1,4,2023,2026
