symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour,entry_i,entry_time,entry,rr,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,1453,2014-03-28 09:00:00,long,169.95,168.85,170.29,169.5,6.956468963544392,0.5486111111111065,0.5696202531645483,4,4,1.0,14,169.87,169.64,1.1111026816773188,0.3864704979746121,0.7916666666666272,True,1,0,H4順,169.4585996859169,1428-1432-1436,10,1454,2014-03-28 10:00:00,169.94,1.5,170.66210047112463,1.5,1457,2014-03-28 13:00:00,170.66210047112463,TP,3,0.48140031408308914,1.5,1.4584545347917455,IS_2014_2024,2014
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,3052,2014-07-02 02:00:00,long,174.22,173.9,174.25,174.07,3.0946495609931444,0.5142857142857421,0.8333333333333334,2,4,2.0,2,174.2,174.07,1.149441265511718,0.1768371177711301,0.4444444444443391,True,1,0,H4順,174.04738031443614,3041-3043-3047,3,3053,2014-07-02 03:00:00,174.21,1.5,174.4539295283458,1.5,3057,2014-07-02 07:00:00,174.04738031443614,SL,4,0.1626196855638682,-1.0,-1.1229863403722233,IS_2014_2024,2014
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,7698,2015-04-09 02:00:00,long,178.89,177.61,179.25,178.42,6.830329615713167,0.5060975609756216,0.5662650602409539,9,6,0.6666666666666666,4,178.82,178.46,1.499340647351622,0.2915384592072433,0.6111111111110058,True,1,0,H4順,178.37197889143658,7676-7685-7691,3,7699,2015-04-09 03:00:00,178.9,1.5,179.69203166284512,1.4999999999999731,7703,2015-04-09 07:00:00,178.37197889143658,SL,4,0.5280211085634221,-1.0,-1.0378772736082378,IS_2014_2024,2015
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,9585,2015-07-30 01:00:00,long,193.69,192.54,194.13,193.19,6.90232389967979,0.5911949685534564,0.5319148936170226,9,4,0.4444444444444444,4,193.54,193.28,1.128681895545081,0.6511626320452865,0.7916666666667209,True,1,0,H4順,193.1439285602035,9565-9574-9578,2,9586,2015-07-30 02:00:00,193.7,1.5,194.5341071596947,1.5,9597,2015-07-30 13:00:00,194.5341071596947,TP,11,0.556071439796483,1.5,1.4640333982854763,IS_2014_2024,2015
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,10953,2015-10-20 01:00:00,long,184.94,184.12,185.05,184.57,4.761112739532179,0.5161290322580803,0.7708333333333136,5,7,1.4,4,184.93,184.67,1.331063776643494,0.051194760640084,0.4285714285714865,True,1,0,H4順,184.53093350227655,10934-10939-10946,2,10954,2015-10-20 02:00:00,184.95,1.5,185.57859974658516,1.500000000000034,11004,2015-10-22 04:00:00,184.53093350227655,SL,50,0.41906649772343485,-1.0,-1.0477251226443325,IS_2014_2024,2015
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,17788,2016-11-30 05:00:00,long,140.68,138.71,141.3,139.99,7.975781108240907,0.505791505791506,0.5267175572519057,12,8,0.6666666666666666,1,140.57,139.99,1.786082255899457,0.3387397381878793,0.3653846153846038,True,1,0,H4順,139.92505338311446,17764-17776-17784,6,17789,2016-11-30 06:00:00,140.69,1.5,141.8374199253283,1.5,17799,2016-11-30 16:00:00,141.8374199253283,TP,10,0.7649466168855383,1.5,1.4738543846609697,IS_2014_2024,2016
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,18001,2016-12-13 06:00:00,long,146.08,144.89,146.32,145.51,5.205232450025752,0.5664335664335653,0.7037037037037284,12,7,0.5833333333333334,4,145.98,145.53,1.638010211546516,0.3640022692326511,0.6666666666666983,True,1,0,H4順,145.4550552875888,17975-17987-17994,7,18002,2016-12-13 07:00:00,146.09,1.5,147.0424170686168,1.5,18031,2016-12-14 12:00:00,145.4550552875888,SL,29,0.6349447124111975,-1.0,-1.0314988055007688,IS_2014_2024,2016
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,27167,2018-06-13 03:00:00,long,147.82,147.12,147.94,147.5,3.9931941118890406,0.5365853658536602,0.7272727272727155,3,3,1.0,5,147.79,147.51,1.363529696742616,0.1460924675081424,0.555555555555345,True,1,0,H4順,147.45893012074927,27153-27156-27159,4,27168,2018-06-13 04:00:00,147.81,1.5,148.33660481887608,1.4999999999999596,27172,2018-06-13 08:00:00,147.45893012074927,SL,4,0.35106987925072985,-1.0,-1.0569687152958458,IS_2014_2024,2018
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,27596,2018-07-09 05:00:00,long,146.93,146.26,147.03,146.62,4.403793344850605,0.532467532467521,0.7560975609756216,8,3,0.375,1,146.89,146.62,1.544187276765672,0.2287684854468986,0.5,True,1,0,H4順,146.58503014834244,27581-27589-27592,6,27597,2018-07-09 06:00:00,146.93,1.5,147.44745477748637,1.5000000000000413,27599,2018-07-09 08:00:00,147.44745477748637,TP,2,0.34496985165756655,1.5000000000000413,1.442023919180565,IS_2014_2024,2018
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,28416,2018-08-26 23:00:00,long,143.08,142.4,143.2,142.72,4.943412517975044,0.6,0.7500000000000444,18,7,0.3888888888888889,0,143.03,142.72,1.915572350715384,0.308963282373517,0.7142857142857143,True,1,0,H4順,142.68763369445333,28388-28406-28413,0,28417,2018-08-27 00:00:00,143.06,1.5,143.61854945832002,1.5,28419,2018-08-27 02:00:00,142.68763369445333,SL,2,0.37236630554667727,-1.0,-1.0537105524911001,IS_2014_2024,2018
