signal_i,signal_time,direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,body_ratio,premove_atr,h4_align,h4_oppose,h4_context,entry_hour,stop,sweep_level,entry_i,entry_time,entry,target,exit_i,exit_time,exit,exit_reason,bars_held,risk,rr,max_hold,r_after_cost,sample,year
1167,2014-03-12 09:00:00,long,48,12,1.1866900733434422,0.7692307692307693,0.7692307692307693,1.5958935469102509,0.20512820512815655,2.659822578183674,True,False,H4順,10,170.39112455956035,170.73,1168,2014-03-12 10:00:00,170.75,171.18065052852756,1168,2014-03-12 10:00:00,170.39112455956035,SL,0,0.3588754404396468,1.2,24,-1.0557296425062703,IS_2014_2024,2014
1880,2014-04-23 10:00:00,long,48,12,1.0594462476442497,0.90322580645161,0.9677419354839005,1.4928560762260068,0.06451612903229059,5.58617112394242,True,False,H4順,11,171.43846886984795,171.7,1881,2014-04-23 11:00:00,171.77,172.16783735618247,1885,2014-04-23 15:00:00,171.43846886984795,SL,4,0.33153113015205804,1.2,24,-1.0603261599923022,IS_2014_2024,2014
2917,2014-06-24 09:00:00,long,48,12,0.8857370098136306,0.6538461538462379,0.8846153846153763,1.7714740196272611,0.23076923076913827,4.088016968370707,True,False,H4順,10,172.88064591440582,173.04,2918,2014-06-24 10:00:00,173.16,173.495224902713,2937,2014-06-25 05:00:00,172.88064591440582,SL,19,0.2793540855941785,1.2,24,-1.0715937264974749,IS_2014_2024,2014
2963,2014-06-26 07:00:00,long,48,12,0.09059275108474307,0.5769230769230559,1.0,2.3554115281989425,0.4230769230769441,1.9024477727759996,True,False,H4順,8,172.67792317844356,172.71,2964,2014-06-26 08:00:00,172.95,173.2764921858677,2965,2014-06-26 09:00:00,173.2764921858677,TP,1,0.2720768215564249,1.2,24,1.1264913494447644,IS_2014_2024,2014
5361,2014-11-17 02:00:00,long,48,12,0.1605194340128102,0.857142857142863,0.857142857142863,1.6051943401282327,0.12857142857143553,1.9491645558700155,True,False,H4順,3,181.35278314625205,181.51,5362,2014-11-17 03:00:00,182.05,182.88666022449758,5368,2014-11-17 09:00:00,181.35278314625205,SL,6,0.6972168537479604,1.2,24,-1.0286854798366818,IS_2014_2024,2014
6906,2015-02-20 13:00:00,long,48,12,0.5941201339611446,0.7500000000000178,0.7500000000000178,1.3979297269672881,0.02499999999997691,5.521822421520754,True,False,H4順,14,181.85277251677482,182.08,6907,2015-02-20 14:00:00,182.2,182.6166729798702,6907,2015-02-20 14:00:00,181.85277251677482,SL,0,0.3472274832251685,1.2,24,-1.0575991272759142,IS_2014_2024,2015
18791,2017-01-30 14:00:00,long,48,12,0.8228745496565263,0.7741935483870998,0.9354838709677952,1.2147195733025071,0.16129032258069545,3.68334322227242,True,False,H4順,15,143.02895941305084,143.29,18792,2017-01-30 15:00:00,143.37,143.779248704339,18792,2017-01-30 15:00:00,143.02895941305084,SL,0,0.3410405869491626,1.2,24,-1.0586440463843183,IS_2014_2024,2017
22948,2017-10-02 13:00:00,long,48,12,0.4769180655524119,0.6285714285714356,0.8285714285714193,1.3910110245281222,0.19999999999998375,5.8819894751475434,True,False,H4順,14,149.24967689057408,149.42,22949,2017-10-02 14:00:00,149.63,150.0863877313111,22966,2017-10-03 07:00:00,150.0863877313111,TP,17,0.3803231094259161,1.2,24,1.147413135031001,IS_2014_2024,2017
23402,2017-10-27 14:00:00,long,48,12,0.22626936425409983,0.7179487179486936,0.7692307692307693,1.470750867651649,0.05128205128207557,3.544886706647421,True,False,H4順,15,148.85696586504514,148.97,23403,2017-10-27 15:00:00,149.22,149.65564096194583,23419,2017-10-30 09:00:00,149.65564096194583,TP,16,0.3630341349548587,1.2,24,1.1449087618097868,IS_2014_2024,2017
24049,2017-12-06 11:00:00,long,48,12,1.0923420425248973,0.9117647058823505,0.9117647058823505,1.280676877443031,0.058823529411710616,4.934372674853991,True,False,H4順,12,149.6869030782099,150.03,24050,2017-12-06 12:00:00,150.04,150.46371630614811,24063,2017-12-07 01:00:00,150.46371630614811,TP,13,0.35309692179009744,1.2,24,1.1433583280800579,IS_2014_2024,2017
24143,2017-12-12 11:00:00,long,48,12,1.012950343521467,0.7777777777777515,0.7777777777777515,1.8233106183385546,0.22222222222224855,2.177843238571003,True,False,H4順,12,150.97051139105105,151.21,24144,2017-12-12 12:00:00,151.3,151.69538633073876,24146,2017-12-12 14:00:00,151.69538633073876,TP,2,0.3294886089489637,1.2,24,1.1392998742390785,IS_2014_2024,2017
24175,2017-12-13 19:00:00,long,48,12,1.297783269347944,0.7968750000000028,0.8124999999999889,2.442886154066642,0.015624999999986122,2.4047160579093845,True,False,H4順,20,150.40760296144506,150.8,24176,2017-12-13 20:00:00,150.97,151.64487644626593,24190,2017-12-14 10:00:00,151.64487644626593,TP,14,0.5623970385549342,1.2,24,1.1644379350727634,IS_2014_2024,2017
27100,2018-06-08 07:00:00,long,48,12,0.5650087742358534,0.8235294117646862,0.9411764705882845,1.2806865549347008,0.11764705882359826,2.0716988388650455,True,False,H4順,8,146.55690347943613,146.76,27101,2018-06-08 08:00:00,146.94,147.39971582467663,27101,2018-06-08 08:00:00,146.55690347943613,SL,0,0.38309652056386767,1.2,24,-1.052206164573211,IS_2014_2024,2018
27750,2018-07-17 17:00:00,long,48,12,1.7912422541215045,0.8219178082191498,0.8630136986301092,2.842623577192844,0.041095890410959436,4.750685978322164,True,False,H4順,18,147.54863899632318,148.06,27751,2018-07-17 18:00:00,148.22,149.02563320441217,27765,2018-07-18 08:00:00,147.54863899632318,SL,14,0.6713610036768216,1.2,24,-1.0297902319176246,IS_2014_2024,2018
28881,2018-09-21 14:00:00,long,48,12,0.74377884349167,0.5609756097560773,0.9024390243902625,1.3258666340504162,0.3414634146341852,8.246243699581962,True,False,H4順,15,146.90815365897737,147.2,28882,2018-09-21 15:00:00,147.37,147.92421560922716,28899,2018-09-24 10:00:00,147.92421560922716,TP,17,0.46184634102263544,1.2,24,1.1566955538595307,IS_2014_2024,2018
29138,2018-10-08 13:00:00,long,48,12,0.6708968438181478,0.8205128205128317,0.8205128205128317,1.5391162887593397,0.025641025641003217,7.379865282000187,True,False,H4順,14,147.43932156811695,147.66,29139,2018-10-08 14:00:00,147.78,148.18881411825967,29145,2018-10-08 20:00:00,148.18881411825967,TP,6,0.3406784318830489,1.2,24,1.1412936126028776,IS_2014_2024,2018
38410,2020-04-13 01:00:00,long,48,12,0.21840302661140396,0.833333333333353,0.833333333333353,1.3104181596685789,0.1250000000000148,4.149657505617451,True,False,H4順,2,134.54337047098605,134.62,38411,2020-04-13 02:00:00,134.78,135.06395543481673,38413,2020-04-13 04:00:00,134.54337047098605,SL,2,0.2366295290139533,1.2,24,-1.084520305150937,IS_2014_2024,2020
40609,2020-08-20 07:00:00,long,48,12,0.5970729062683319,0.7499999999999704,0.8749999999999852,1.4329749750439627,0.1250000000000148,2.2688770438197627,True,False,H4順,8,138.51650325313705,138.65,40610,2020-08-20 08:00:00,138.76,139.05219609623552,40612,2020-08-20 10:00:00,139.05219609623552,TP,2,0.2434967468629452,1.2,24,1.1178633790485721,IS_2014_2024,2020
40639,2020-08-21 13:00:00,long,48,12,1.2936530954959007,0.6521739130434917,1.0,1.9836014130936737,0.3478260869565083,6.597630787028849,True,False,H4順,14,138.20361971442816,138.55,40640,2020-08-21 14:00:00,138.75,139.4056563426862,40664,2020-08-24 14:00:00,138.31,TIME,24,0.5463802855718427,1.2,24,-0.8419044613195416,IS_2014_2024,2020
40833,2020-09-02 15:00:00,long,48,12,0.21746993958167818,0.5588235294117524,1.0,1.4787955891559308,0.4411764705882476,3.6969889728897654,True,False,H4順,16,140.9440166331989,141.04,40834,2020-09-02 16:00:00,141.32,141.77118004016128,40840,2020-09-02 22:00:00,141.77118004016128,TP,6,0.3759833668010799,1.2,24,1.1468061574900232,IS_2014_2024,2020
44196,2021-03-19 13:00:00,long,48,12,0.9464114170748312,1.0,1.0,1.2045236217316144,0.0,4.344888778388981,True,False,H4順,14,150.503508591289,150.77,44197,2021-03-19 14:00:00,150.85,151.26578969045318,44207,2021-03-22 00:00:00,150.503508591289,SL,10,0.34649140871098894,1.2,24,-1.057721488894589,IS_2014_2024,2021
44913,2021-04-30 13:00:00,long,48,12,0.60550761527044,0.8974358974359218,0.8974358974359218,1.8165228458110552,0.10256410256407827,4.005665762557623,True,False,H4順,14,150.84706082079842,151.02,44914,2021-04-30 14:00:00,151.25,151.7335270150419,44928,2021-05-03 05:00:00,151.7335270150419,TP,14,0.4029391792015815,1.2,24,1.150364717475171,IS_2014_2024,2021
45030,2021-05-07 11:00:00,long,48,12,0.10714551793398439,0.6666666666666035,0.8666666666666035,1.6071827690090046,0.2,1.821473804876821,True,False,H4順,12,151.2426675937815,151.3,45031,2021-05-07 12:00:00,151.52,151.85279888746223,45032,2021-05-07 13:00:00,151.85279888746223,TP,1,0.2773324062185054,1.2,24,1.127884374304917,IS_2014_2024,2021
48364,2021-11-19 10:00:00,long,48,12,1.4262245281883987,0.8979591836734481,0.8979591836734481,2.117727329734248,0.10204081632655192,6.871809090362039,True,False,H4順,11,152.58372397634764,152.96,48365,2021-11-19 11:00:00,153.04,153.5875312283828,48366,2021-11-19 12:00:00,152.58372397634764,SL,1,0.4562760236523502,1.2,24,-1.0438331162787997,IS_2014_2024,2021
52494,2022-07-21 06:00:00,long,48,12,0.06753814382439256,0.7291666666666704,0.9166666666666815,1.6209154517868611,0.1875000000000111,1.7897608113480343,True,False,H4順,7,165.02077420886195,165.1,52495,2022-07-21 07:00:00,165.51,166.09707094936564,52499,2022-07-21 11:00:00,165.02077420886195,SL,4,0.48922579113803977,1.2,24,-1.0408809191221453,IS_2014_2024,2022
54042,2022-10-20 07:00:00,long,48,12,0.5384960198792291,0.5660377358490232,0.9056603773584693,1.4270144526800415,0.3396226415094461,1.8847360695773785,True,False,H4順,8,167.32571904243792,167.6,54043,2022-10-20 08:00:00,167.87,168.5231371490745,54044,2022-10-20 09:00:00,168.5231371490745,TP,1,0.54428095756208,1.2,24,1.16325427204074,IS_2014_2024,2022
56395,2023-03-08 14:00:00,long,48,12,0.3952350305326565,0.6052631578947172,0.8684210526315475,1.3653573782038897,0.2631578947368303,3.628976189436665,True,False,H4順,15,161.62433691778193,161.79,56396,2023-03-08 15:00:00,162.0,162.4507956986617,56399,2023-03-08 18:00:00,162.4507956986617,TP,3,0.3756630822180682,1.2,24,1.1467608052356855,IS_2014_2024,2023
58435,2023-07-06 05:00:00,long,48,12,0.21957959233569374,0.6349206349206199,1.0,2.3055857195247844,0.3650793650793801,4.57457484032678,True,False,H4順,6,182.42535011258397,182.54,58436,2023-07-06 06:00:00,183.1,183.90957986489923,58441,2023-07-06 11:00:00,183.90957986489923,TP,5,0.6746498874160238,1.2,24,1.1703549939412603,IS_2014_2024,2023
62834,2024-03-22 07:00:00,long,48,12,0.7486910611004651,0.8684210526315573,0.8684210526315573,1.3547743010389706,0.1315789473684427,5.062577651250629,True,False,H4順,8,190.42390209502665,190.69,62835,2024-03-22 08:00:00,190.79,191.229317485968,62838,2024-03-22 11:00:00,190.42390209502665,SL,3,0.36609790497334416,1.2,24,-1.0546301951698904,IS_2014_2024,2024
