signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
1379,2014-03-24 08:00:00,9,0.17307343690865382,55.314295082969416,0.9675979249423967,2.374714498891637,0.14355231143552152,0.463461377597378,-0.4398044883962765,-0.1420354775878792,failed_sweep,short,48,1.5658093167874831,3.062283903680233,0.27156102542068955,0.6180048661800452,0.7615571776155668,True,False,True,H4順,116.341,999.0,1380,2014-03-24 09:00:00,116.027,116.36696101553629,115.75503118757096,0.3399610155362893,1.964258765576585,1380,2014-03-24 09:00:00,115.75503118757096,TP,0,0.7411697250978778,IS_2014_2024,2014
7566,2015-03-23 13:00:00,14,0.31974808921965436,69.69508184770402,2.3716337816485282,1.5105641481041099,0.21325051759835978,2.3263435802804655,1.5459392311454117,0.09450525576072898,failed_sweep,short,48,4.3940841161206174,4.294005331981226,0.9945329173852994,0.7556935817805213,0.7556935817805213,False,True,True,H4逆,124.015,999.0,7567,2015-03-23 14:00:00,123.65,124.06296221338295,123.31963022929365,0.41296221338294004,1.2915236315900271,7572,2015-03-23 19:00:00,124.06296221338295,SL,5,-1.0484305811811994,IS_2014_2024,2015
7752,2015-04-02 07:00:00,8,0.21364216875404496,59.55170906095501,1.4054444220864095,1.6335726323850848,0.14613180515759708,0.7726687528654809,0.17545056625470962,0.2380556396542614,failed_sweep,short,48,2.8458801160175575,2.1484522586382555,0.5616868650034164,0.7936962750716277,0.9398280802292247,False,True,True,H4逆,124.303,999.0,7753,2015-04-02 08:00:00,123.986,124.3350463253131,123.70676293974952,0.3490463253130969,1.633789468384098,7753,2015-04-02 08:00:00,124.3350463253131,SL,0,-1.0572989845461633,IS_2014_2024,2015
8982,2015-06-12 13:00:00,14,0.3236118371507905,62.91528340526538,2.319284965329551,1.418365916528965,0.21132897603487524,1.417410896676353,-0.5557708349517398,0.18642090052731677,failed_sweep,short,48,2.558620869032634,2.4844579452925553,0.8590538666558555,0.6840958605664287,0.8954248366013039,False,True,True,H4逆,133.224,999.0,8983,2015-06-12 14:00:00,132.831,133.27254177557262,132.47776657954188,0.44154177557263097,1.3644178762437844,8990,2015-06-14 21:00:00,132.47776657954188,TP,7,0.7547041727273974,IS_2014_2024,2015
9460,2015-07-10 11:00:00,12,0.4421003651635979,81.99251223762539,1.9858822482963951,1.264418770143158,0.07513416815742716,3.493259204197628,-0.18199111215754477,-0.4600166517154139,failed_sweep,short,48,5.387916834491925,6.308522271787598,1.0110826301501998,0.8550983899820793,0.8550983899820793,False,False,True,H4中立,131.194,999.0,9461,2015-07-10 12:00:00,130.715,131.26031505477454,130.27874795618038,0.5453150547745338,1.233464384433932,9464,2015-07-10 15:00:00,130.27874795618038,TP,3,0.7633239540612781,IS_2014_2024,2015
10139,2015-08-19 18:00:00,19,0.1983238817255218,79.69127056285458,1.7259662427615556,1.1597191321532694,0.08260869565220132,2.3796962900846896,0.6542876513264589,-0.09633147133776399,failed_sweep,short,48,2.788368174264275,4.875862612140261,0.25715511191233953,0.6782608695652733,0.7608695652174746,False,False,True,H4中立,128.352,999.0,10140,2015-08-19 19:00:00,128.18,128.38174858225884,128.01860113419295,0.20174858225882986,1.0172682205668393,10142,2015-08-19 21:00:00,128.38174858225884,SL,2,-1.0991332864700043,IS_2014_2024,2015
11599,2015-11-12 15:00:00,16,0.2068187287843731,51.95612983772658,0.4224797722828735,1.8566983863456314,0.2812499999999734,0.19724586088256676,-0.14037445844772833,-0.25057806459088794,failed_sweep,short,48,1.6246110880524876,1.3973589418070045,0.5318667252553245,0.5729166666667002,0.8541666666666736,True,False,True,H4順,122.805,999.0,11600,2015-11-12 16:00:00,122.478,122.83602280931767,122.19158175254586,0.3580228093176743,1.731094719622539,11612,2015-11-13 04:00:00,122.442,TIME,12,0.0446898900952266,IS_2014_2024,2015
11939,2015-12-02 19:00:00,20,0.21979173866301693,78.99028598684323,2.3420345012387664,1.2238858550203293,0.096654275092926,3.338057567332032,0.5780108209353685,-0.3718738390984527,failed_sweep,short,48,4.595259158254876,5.045685550994731,0.691563754509591,0.7026022304832681,0.799256505576194,False,False,True,H4中立,121.085,999.0,11940,2015-12-02 20:00:00,120.87,121.11796876079944,120.67162499136046,0.24796876079943786,1.1281987317076632,11952,2015-12-03 08:00:00,120.67162499136046,TP,12,0.7193446790009476,IS_2014_2024,2015
14373,2016-04-26 14:00:00,15,0.21467631708760546,62.10030290108742,1.7792322513390648,1.2390747317108837,0.06766917293233203,1.4549409854810609,0.9750390686708933,0.07396617797296352,failed_sweep,short,48,2.832170815339125,2.971916085832836,0.5123993251435857,0.6917293233082473,0.7593984962405794,False,True,True,H4逆,114.453,999.0,14374,2016-04-26 15:00:00,114.252,114.48520144756314,114.06543884194947,0.23320144756314676,1.086293312307857,14374,2016-04-26 15:00:00,114.48520144756314,SL,0,-1.0857627609476763,IS_2014_2024,2016
16487,2016-08-26 16:00:00,17,0.20217011465306658,56.30256403161868,1.2890033550214501,1.2069043954330996,0.24180327868851456,0.7787941736964322,-0.3707023860557412,-0.2729198509765037,failed_sweep,short,48,2.1318680099659035,1.6965910148916303,0.6974324580166953,0.6967213114754175,0.9385245901639321,True,False,True,H4順,104.29,999.0,16488,2016-08-26 17:00:00,104.06,104.32032551719797,103.85173958624162,0.2603255171979697,1.28765578258043,16495,2016-08-29 00:00:00,104.32032551719797,SL,7,-1.0768268904841964,IS_2014_2024,2016
