signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
5059,2014-10-23 16:00:00,17,0.1712822834163681,76.23000520439643,1.6413712122170028,0.8991005778784463,0.32467532467540616,2.972002767984987,-0.27290893644428216,-0.3501334760693292,stretch_reversal,short,20,4.086820808538422,6.737416018647716,2.972002767984987,0.5649350649350074,0.8896103896104136,False,False,True,H4中立,113.511,999.0,5060,2014-10-23 17:00:00,113.374,113.53669234251245,113.24384612599003,0.16269234251245734,0.9498492153854023,5067,2014-10-24 00:00:00,113.24384612599003,TP,7,0.6770685842298836,IS_2014_2024,2014
7566,2015-03-23 13:00:00,14,0.31974808921965436,69.69508184770402,2.3716337816485282,1.5105641481041099,0.21325051759835978,2.3263435802804655,1.5459392311454117,0.09450525576072898,stretch_reversal,short,20,4.3940841161206174,4.294005331981226,2.3263435802804655,0.7556935817805213,0.7556935817805213,False,True,True,H4逆,124.015,999.0,7567,2015-03-23 14:00:00,123.65,124.06296221338295,123.31963022929365,0.41296221338294004,1.2915236315900271,7572,2015-03-23 19:00:00,124.06296221338295,SL,5,-1.0484305811811994,IS_2014_2024,2015
8982,2015-06-12 13:00:00,14,0.3236118371507905,62.91528340526538,2.319284965329551,1.418365916528965,0.21132897603487524,1.417410896676353,-0.5557708349517398,0.18642090052731677,stretch_reversal,short,20,2.558620869032634,2.4844579452925553,1.417410896676353,0.6840958605664287,0.8954248366013039,False,True,True,H4逆,133.224,999.0,8983,2015-06-12 14:00:00,132.831,133.27254177557262,132.47776657954188,0.44154177557263097,1.3644178762437844,8990,2015-06-14 21:00:00,132.47776657954188,TP,7,0.7547041727273974,IS_2014_2024,2015
9460,2015-07-10 11:00:00,12,0.4421003651635979,81.99251223762539,1.9858822482963951,1.264418770143158,0.07513416815742716,3.493259204197628,-0.18199111215754477,-0.4600166517154139,stretch_reversal,short,20,5.387916834491925,6.308522271787598,3.493259204197628,0.8550983899820793,0.8550983899820793,False,False,True,H4中立,131.194,999.0,9461,2015-07-10 12:00:00,130.715,131.26031505477454,130.27874795618038,0.5453150547745338,1.233464384433932,9464,2015-07-10 15:00:00,130.27874795618038,TP,3,0.7633239540612781,IS_2014_2024,2015
10139,2015-08-19 18:00:00,19,0.1983238817255218,79.69127056285458,1.7259662427615556,1.1597191321532694,0.08260869565220132,2.3796962900846896,0.6542876513264589,-0.09633147133776399,stretch_reversal,short,20,2.788368174264275,4.875862612140261,2.3796962900846896,0.6782608695652733,0.7608695652174746,False,False,True,H4中立,128.352,999.0,10140,2015-08-19 19:00:00,128.18,128.38174858225884,128.01860113419295,0.20174858225882986,1.0172682205668393,10142,2015-08-19 21:00:00,128.38174858225884,SL,2,-1.0991332864700043,IS_2014_2024,2015
10145,2015-08-20 00:00:00,1,0.1949215492465557,75.2830772029141,1.2794821402834746,1.1132683935603769,0.23502304147458375,1.9671805706925554,1.1991315880890685,0.11668183654359338,stretch_reversal,short,20,1.7186401467406123,3.657881864555274,1.9671805706925554,0.7142857142856769,0.7142857142856769,False,True,True,H4逆,128.512,999.0,10146,2015-08-20 01:00:00,128.35,128.54123823238697,128.19700941409042,0.19123823238697923,0.9811035933491508,10150,2015-08-20 05:00:00,128.19700941409042,TP,4,0.6954184016953441,IS_2014_2024,2015
11939,2015-12-02 19:00:00,20,0.21979173866301693,78.99028598684323,2.3420345012387664,1.2238858550203293,0.096654275092926,3.338057567332032,0.5780108209353685,-0.3718738390984527,stretch_reversal,short,20,4.595259158254876,5.045685550994731,3.338057567332032,0.7026022304832681,0.799256505576194,False,False,True,H4中立,121.085,999.0,11940,2015-12-02 20:00:00,120.87,121.11796876079944,120.67162499136046,0.24796876079943786,1.1281987317076632,11952,2015-12-03 08:00:00,120.67162499136046,TP,12,0.7193446790009476,IS_2014_2024,2015
13053,2016-02-09 15:00:00,16,0.3889093883758067,66.26551371608628,2.136623758999533,1.0285172123782265,0.18499999999999253,2.2826877177113003,-0.49491046001970873,-0.1308994674312339,stretch_reversal,short,20,3.3529661123529757,5.392001485892797,2.2826877177113003,0.7824999999999949,0.7824999999999949,False,False,True,H4中立,118.522,999.0,13054,2016-02-09 16:00:00,118.209,118.58033640825637,117.91193087339491,0.3713364082563686,0.9548147186859445,13054,2016-02-09 16:00:00,118.58033640825637,SL,0,-1.0538595180955226,IS_2014_2024,2016
14943,2016-05-30 08:00:00,9,0.18364712862773674,78.37624087842988,1.5016454228427978,1.094490295067079,0.16417910447755285,2.866078992571684,0.6106393511449871,-0.05527629872328115,stretch_reversal,short,20,3.076552321954813,7.242149713628164,2.866078992571684,0.7860696517413256,0.9502487562188784,False,False,True,H4中立,112.127,999.0,14944,2016-05-30 09:00:00,111.937,112.15454706929415,111.76296234456467,0.2175470692941559,1.1845928162325712,14956,2016-05-30 21:00:00,111.988,TIME,12,-0.3263661525313845,IS_2014_2024,2016
19097,2017-01-26 12:00:00,13,0.20883666115905591,79.0443498029301,2.11053269608841,0.9098019425587749,0.21578947368419635,3.373710067607358,0.33865038044169543,0.031721873037058174,stretch_reversal,short,20,5.142775191095443,6.263268109825711,3.373710067607358,0.6684210526315624,0.6684210526315624,False,True,True,H4逆,114.681,999.0,19098,2017-01-26 13:00:00,114.552,114.71232549917386,114.42373960066092,0.16032549917385097,0.7677076346846138,19098,2017-01-26 13:00:00,114.42373960066092,TP,0,0.6752537799472551,IS_2014_2024,2017
22726,2017-08-25 16:00:00,17,0.1532780817179475,77.58176978586721,2.3069299857471046,1.004709859844001,0.2922077922078102,2.714370021865883,1.2032948924339537,-0.05915096747641517,stretch_reversal,short,20,2.8053586995644366,4.403760749316324,2.714370021865883,0.6883116883116691,0.6883116883116691,False,False,True,H4中立,114.252,999.0,22727,2017-08-25 17:00:00,114.147,114.27499171225769,114.04460663019385,0.1279917122576819,0.8350294498935866,22729,2017-08-25 19:00:00,114.27499171225769,SL,2,-1.1562601175281164,IS_2014_2024,2017
