label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,adverse_exit_r
base24_no_ae,30,76.66666666666667,8.250691710901252,0.27502305703004176,2.0615208776720735,1.1827286289979302,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104,
base12_no_ae,30,73.33333333333333,7.216259685843516,0.2405419895281172,1.8910188394090541,1.8612320082077685,-1.3802256706269072,-1.188968910910083,4,1.0258972410681104,
base24_no_ae_ae0.9,30,70.0,5.550691710901306,0.18502305703004354,1.6070474340673446,2.1295357408625195,-0.7147726601662279,-0.9605663057353788,4,1.1258972410680563,0.9
base12_no_ae_ae0.9,30,66.66666666666666,4.51625968584357,0.150541989528119,1.4768957687085247,2.3760046683739997,-1.280225670626888,-1.9949983307931158,4,1.1258972410680563,0.9
base24_no_ae_ae0.8,30,60.0,1.650691710901293,0.0550230570300431,1.1498800503042172,2.0107840095064975,-1.2661342396455553,-1.4370862041825012,4,1.2258972410681825,0.8
base12_no_ae_ae0.8,30,56.666666666666664,0.6162596858435557,0.020541989528118525,1.054344919907318,2.010784009506497,-1.2661342396455553,-1.594998330793148,4,1.2258972410681825,0.8
base24_no_ae_ae0.6,30,50.0,-0.14930828909858818,-0.004976942969952939,0.9861334990031653,1.9693095460185626,-1.2147726601662212,-1.9377040759362845,4,1.4258972410680744,0.6
base12_no_ae_ae0.6,30,46.666666666666664,-1.1837403141563252,-0.039458010471877504,0.893298277931631,3.0037415710763,-1.2147726601662212,-2.194998330793128,4,1.4258972410680744,0.6
base24_no_ae_ae0.7,30,50.0,-1.6493082890988273,-0.05497694296996091,0.8655552379826527,2.8784673081392596,-1.6147726601662196,-2.437704075936336,4,1.3258972410681285,0.7
base12_no_ae_ae0.7,30,46.666666666666664,-2.683740314156564,-0.08945801047188547,0.7869019000703655,3.9128993331969957,-1.6147726601662196,-2.6949983307931458,4,1.3258972410681285,0.7
