entry_time,symbol,strategy,direction,r_after_cost
2014-03-11 02:00:00,USDJPY,USDJPY WaveBox v1,long,-1.04735186632548
2014-05-29 00:00:00,USDJPY,USDJPY WaveBox v1,short,1.44458513999244
2014-10-23 17:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.6770685842298836
2015-01-19 12:00:00,USDJPY,USDJPY WaveBox v1,long,1.481316844661243
2015-02-20 08:00:00,USDJPY,USDJPY WaveBox v1,short,1.465515632052793
2015-03-06 02:00:00,USDJPY,USDJPY WaveBox v1,short,-1.0352625106207662
2015-03-23 14:00:00,CHFJPY,CHFJPY stretch short ex0,short,-1.0484305811811994
2015-04-15 10:00:00,USDJPY,USDJPY WaveBox v1,short,1.4734509999567154
2015-06-12 14:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7547041727273974
2015-07-10 12:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7633239540612781
2015-08-14 07:00:00,USDJPY,USDJPY WaveBox v1,short,-1.041102634811275
2015-08-19 19:00:00,CHFJPY,CHFJPY stretch short ex0,short,-1.0991332864700043
2015-08-20 01:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.6954184016953441
2015-09-11 08:00:00,USDJPY,USDJPY WaveBox v1,short,1.477575297521755
2015-10-29 12:00:00,USDJPY,USDJPY WaveBox v1,long,-1.0262282735169317
2015-12-02 20:00:00,CHFJPY,CHFJPY stretch short ex0,short,0.7193446790009476
2016-01-25 21:00:00,USDJPY,USDJPY WaveBox v1,short,1.4743754110544438
2016-02-02 02:00:00,USDJPY,USDJPY WaveBox v1,short,1.4763226926269897
2016-02-08 02:00:00,USDJPY,USDJPY WaveBox v1,long,-1.0219498967860432
2016-02-09 16:00:00,CHFJPY,CHFJPY stretch short ex0,short,-1.0538595180955226
2016-04-27 10:00:00,USDJPY,USDJPY WaveBox v1,long,1.4680696963859845
2016-05-30 09:00:00,CHFJPY,CHFJPY stretch short ex0,short,-0.3263661525313845
2016-06-03 05:00:00,USDJPY,USDJPY WaveBox v1,short,1.4822181397862657
2016-06-15 02:00:00,USDJPY,USDJPY WaveBox v1,long,-1.0294538260370325
