signal_i,signal_time,entry_hour,atr,range_atr,body_ratio,upper_wick_ratio,lower_wick_ratio,close_location,bb_z,rsi14,ema20_dist_atr,ema100_dist_atr,h4_down,h4_up,h4_neutral,d1_down,d1_up,d1_neutral,h4_slope_atr,d1_slope_atr,family,lookback,box_bars,trigger_atr,move_6_atr,move_12_atr,move_24_atr,pullback_atr,box_width_atr,stop_anchor,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,mae_r,mfe_r,r_after_cost,sample,year,variant,bars_held_m15
10110,2015-09-14 05:00:00,6,0.0692320203300677,1.0399812060479634,0.583333333333323,0.2916666666666738,0.125000000000003,0.8749999999999969,-0.1737890172217459,43.48691019036963,-0.6610859724386414,-1.5954624422335677,True,False,False,True,False,False,-0.2901687040568224,-0.6197277066965641,pullback_rebreak,0,8,0.0577767336693241,0.3033278517639968,-0.5633231532759684,3.1199436181438385,1.473306708567933,1.415529974898609,14.615,10111,2015-09-14 06:15:00,14.506,14.62538480304951,14.362738236340588,0.11938480304950971,1.7244159924892513,10116,2015-09-14 13:45:00,14.362738236340588,TP,5,0.3015459177418933,1.2564413239245729,0.9905931126792383,IS_2014_2024,2015,m15_bear_confirm_1h,30
23166,2017-11-29 09:00:00,10,0.0408753861815235,1.0275132279725452,0.7619047619047337,0.0,0.2380952380952662,0.7619047619047337,-0.7670221574929352,35.3032245891943,-1.2604402405531294,-3.677580817516144,True,False,False,True,False,False,-0.3665233401476956,-0.0492911558418554,pullback_rebreak,0,8,0.1467876039960778,0.9785840266404612,0.0978584026639939,3.7675485025658544,0.6850088186483925,1.467876039960692,16.91,23167,2017-11-29 10:15:00,16.834,16.91613130792723,16.73544243048732,0.08213130792723078,2.009309650616972,23170,2017-11-29 13:15:00,16.73544243048732,TP,3,0.5113762468900902,1.5219531157442585,0.8956093768511396,IS_2014_2024,2017,m15_bear_confirm_1h,12
25528,2018-04-26 07:00:00,8,0.0394449272252988,1.850681573907942,0.5342465753424831,0.3972602739725994,0.0684931506849175,0.9315068493150824,-0.5229315162652481,40.68723896806783,-0.7356140036466299,-4.585035534864087,True,False,False,True,False,False,-0.4869277303063336,-0.0242107347816769,pullback_rebreak,0,8,0.2028144190583811,1.014072095291996,0.1267590119114769,2.281662214407036,1.597163550084988,1.0901275024389905,16.594,25529,2018-04-26 08:45:00,16.531,16.599916739083795,16.448299913099444,0.06891673908379659,1.7471635500849765,25535,2018-04-26 14:15:00,16.448299913099444,TP,6,0.9866978749142422,1.712211018233482,0.8372434283403183,IS_2014_2024,2018,m15_bear_confirm_1h,22
44201,2021-06-29 00:00:00,1,0.0867662289850005,0.7721898344986576,0.8059701492537068,0.0895522388059733,0.1044776119403198,0.8955223880596801,-1.357996904984622,45.55537087935133,-0.5468841674044875,-0.4734310749206045,True,False,False,True,False,False,-0.8103598194429478,-0.3674649443307667,pullback_rebreak,0,8,0.0806765498729696,1.0026942627072066,-0.6108367347526774,0.8528663843716273,1.3023500193783246,1.1870978052740706,26.149,44202,2021-06-29 01:45:00,26.034,26.162014934347752,25.880382078782695,0.12801493434775324,1.4754004621992216,44212,2021-06-29 11:00:00,25.880382078782695,TP,10,0.5702459667845903,1.3201584710492535,1.0047102853477274,IS_2014_2024,2021,m15_bear_confirm_1h,37
44876,2021-08-09 12:00:00,13,0.2304778591949509,1.253916541091896,0.8442906574394516,0.1384083044982679,0.0173010380622804,0.9826989619377196,-0.6270314423437292,37.90475106273593,-1.2356044263845811,-4.735325773824607,True,False,False,True,False,False,-0.7171326094258965,-0.4680197572220775,pullback_rebreak,0,8,0.1214867237044003,0.7332591537873099,0.173552462434862,5.814007491568002,1.05867002085268,1.2929658451397577,24.038,44877,2021-08-09 13:30:00,23.814,24.072571678879243,23.50371398534491,0.2585716788792425,1.1218937896352477,44880,2021-08-09 14:45:00,23.50371398534491,TP,3,0.3364637626869812,1.454142238739146,1.1033150107221232,IS_2014_2024,2021,m15_bear_confirm_1h,5
45873,2021-10-08 01:00:00,2,0.1018834028667502,2.100440248151952,0.5093457943925098,0.2803738317757087,0.2102803738317815,0.7897196261682184,-1.8509236686578032,40.70627324011093,-1.155408983578198,-0.367420091063562,True,False,False,True,False,False,-0.0412872814008194,-0.9509081464755128,pullback_rebreak,0,8,0.5889084807902484,1.0502201240759583,0.3827905125136492,1.5115317673616688,1.2759683750455906,1.2268926683130437,22.651,45874,2021-10-08 02:15:00,22.456,22.666282510430012,22.203660987483985,0.21028251043001234,2.063952562568347,45884,2021-10-08 12:30:00,22.666282510430012,SL,10,2.7914827476599346,0.18070927497628328,-1.1188876809054589,IS_2014_2024,2021,m15_bear_confirm_1h,41
50139,2022-06-30 03:00:00,4,0.0890333411731986,0.8311493090666354,0.783783783783802,0.0945945945945686,0.1216216216216294,0.8783783783783706,-0.8607221777610377,40.42723647991181,-0.7943345308510061,-3.5689742161590474,True,False,False,True,False,False,-0.8710997094170926,-1.1800768651745928,pullback_rebreak,0,8,0.0561587370990872,0.2470984432360159,-0.7637588245477546,1.4488954171567152,1.4938224068360089,1.3365779429585405,20.825,50140,2022-06-30 04:30:00,20.697,20.83835500117598,20.52737399858882,0.141355001175981,1.5876636697369344,50146,2022-06-30 10:45:00,20.52737399858882,TP,6,0.8135545190709726,1.5139188441842089,1.023140321941086,IS_2014_2024,2022,m15_bear_confirm_1h,25
50390,2022-07-15 03:00:00,4,0.109907677879416,0.6823909070509586,0.7999999999999905,0.0933333333333535,0.1066666666666559,0.8933333333333441,-0.804015952349023,34.22962931313964,-1.867454165727625,-5.608284616673073,True,False,False,True,False,False,-1.422821862053547,-1.7092615759661094,pullback_rebreak,0,8,0.2820549082477214,0.5641098164954751,-0.0181970908546823,7.5790883409793715,0.6277996344868794,1.2737963598284734,18.482,50391,2022-07-15 04:15:00,18.307,18.498486151681913,18.0772166179817,0.1914861516819144,1.7422454497856041,50399,2022-07-15 12:15:00,18.498486151681913,SL,8,1.0392396434524873,0.7102341281886247,-1.1305577441523327,IS_2014_2024,2022,m15_bear_confirm_1h,32
57265,2023-09-13 01:00:00,2,0.0784057350903879,1.5815169624651648,0.6129032258064331,0.2822580645161329,0.1048387096774339,0.8951612903225661,-0.7219409404231375,42.34736005112485,-0.7310223788671021,-2.173716971646599,True,False,False,True,False,False,-0.752613693030959,-0.4608750598805199,pullback_rebreak,0,8,0.6504626216590454,1.313679412370245,-0.726987635971925,1.0841043694317425,2.142700400759267,1.4157127647873875,23.137,57266,2023-09-13 02:15:00,22.968,23.148760860263558,22.75108696768373,0.18076086026355753,2.3054545698114093,57270,2023-09-13 12:30:00,22.75108696768373,TP,4,0.03872519742268947,1.3221888834315567,1.0616957234904194,IS_2014_2024,2023,m15_bear_confirm_1h,41
57660,2023-10-06 05:00:00,6,0.09546367590111,0.6704120640221006,0.5,0.312499999999993,0.1875000000000069,0.8124999999999931,-0.5248948552262878,43.99018929145088,-0.6072329454204742,-4.019644352408619,True,False,False,True,False,False,-1.7550225709571865,-1.3985910370093937,pullback_rebreak,0,8,0.0628511310020742,0.5342346135175939,-0.6389864985210635,2.880676837594946,1.1836963005390155,1.0056180960331509,21.027,57661,2023-10-06 06:15:00,20.909,21.04131955138517,20.750216538337796,0.13231955138516938,1.3860722430407777,57665,2023-10-06 10:00:00,21.04131955138517,SL,4,1.2545387152711127,0.4836775769719946,-1.1889365535047014,IS_2014_2024,2023,m15_bear_confirm_1h,15
61862,2024-06-24 15:00:00,16,0.1546776449593089,1.4481730702515407,0.540178571428565,0.3258928571428586,0.1339285714285764,0.8660714285714236,-1.1292180858190406,36.218377965916034,-1.105125809946536,-2.189892161780013,True,False,False,False,True,False,-0.2164854958050497,0.7959294469254204,pullback_rebreak,0,8,0.1939517504801242,0.9438985190032408,0.407298676008238,1.7067754042250245,0.8469226437631786,1.4417080119021957,29.715,61863,2024-06-24 16:30:00,29.453,29.738201646743896,29.110758023907323,0.2852016467438965,1.8438452875263556,61883,2024-06-25 13:30:00,29.110758023907323,TP,20,0.7152833874875457,1.2236955991821217,1.1123427221216196,IS_2014_2024,2024,m15_bear_confirm_1h,84
68622,2026-02-12 12:00:00,13,1.041018155106613,1.5878685610729852,0.762855414398074,0.0260133091349016,0.2111312764670244,0.7888687235329757,-2.128814270267567,41.51783203938404,-1.1408840463773846,-0.4007835846748467,True,False,False,False,True,False,-0.3396893299005848,1.1697532343061838,pullback_rebreak,0,8,0.4514810790709649,0.7944145795567968,0.2487948925093199,3.700223652300772,1.0038249524024687,1.457227227554596,84.209,68623,2026-02-12 13:30:00,82.302,84.365152723266,79.82621673208082,2.0631527232659863,1.981860463379425,68626,2026-02-12 16:00:00,79.82621673208082,TP,3,0.5796953306038929,1.8878873852024856,1.187882622688043,OOS_2025_2026,2026,m15_bear_confirm_1h,10
