signal_i,signal_time,entry_hour,atr,range_atr,body_ratio,upper_wick_ratio,lower_wick_ratio,close_location,bb_z,rsi14,ema20_dist_atr,ema100_dist_atr,h4_down,h4_up,h4_neutral,d1_down,d1_up,d1_neutral,h4_slope_atr,d1_slope_atr,family,lookback,box_bars,trigger_atr,move_6_atr,move_12_atr,move_24_atr,pullback_atr,box_width_atr,stop_anchor,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,mae_r,mfe_r,r_after_cost,sample,year,variant,bars_held_m15
329,2014-01-22 06:00:00,7,0.0615000637198657,1.3983725348924925,0.6046511627907034,0.1627906976744138,0.2325581395348827,0.7674418604651172,-1.0692116074765723,33.8274938041985,-1.5448731396496012,-4.079780153320934,True,False,False,False,True,False,-0.0390347797764621,0.4941704924274086,pullback_rebreak,0,8,0.3739833523549702,1.3008116603651616,0.4390239353732485,5.723571305606584,0.6341456844279679,1.2682913688559936,19.929,330,2014-01-22 07:30:00,19.851,19.93822500955798,19.746329988530423,0.0872250095579794,1.4182913688559977,347,2014-01-22 21:15:00,19.746329988530423,TP,17,0.8025221247292673,1.341358408476025,0.9133849554538179,IS_2014_2024,2014,m15_retest_box_1h,55
6965,2015-03-04 09:00:00,10,0.0812452085465174,1.1939165611774314,0.4845360824742264,0.4432989690721513,0.0721649484536222,0.9278350515463778,-1.2042013296032965,39.18762169955771,-1.0911672957211451,-2.765284847076246,True,False,False,True,False,False,-0.545774418076017,-0.3615124699476468,pullback_rebreak,0,8,0.3815609628504994,1.107757634082136,0.3569441265375767,2.769394085205362,0.7508135075445594,1.366234415367978,16.363,6966,2015-03-04 10:00:00,16.252,16.37518678128198,16.104175862461624,0.12318678128198002,1.5162344153679996,6990,2015-03-04 15:00:00,16.104175862461624,TP,24,0.8767174438366381,1.5017845102757048,0.9970561472600155,IS_2014_2024,2015,m15_retest_box_1h,20
8824,2015-06-26 03:00:00,4,0.0421767054608691,1.2566178278000286,0.7169811320754894,0.0943396226414923,0.1886792452830182,0.8113207547169817,-0.9937351213413032,43.26673459655692,-0.6691172581639853,-2.465078664753665,True,False,False,True,False,False,-0.7984758385223801,-0.8647069913743627,pullback_rebreak,0,8,0.0711293110075527,0.0948390813433896,-0.0711293110075527,1.873071856532167,1.090649435449086,1.2329080574641915,15.885,8825,2015-06-26 04:00:00,15.833,15.89132650581913,15.763008193017045,0.05832650581912979,1.38290805746419,8827,2015-06-26 06:45:00,15.763008193017045,TP,2,0.2914626851249478,2.1259631150291076,0.7713784042279861,IS_2014_2024,2015,m15_retest_box_1h,11
10110,2015-09-14 05:00:00,6,0.0692320203300677,1.0399812060479634,0.583333333333323,0.2916666666666738,0.125000000000003,0.8749999999999969,-0.1737890172217459,43.48691019036963,-0.6610859724386414,-1.5954624422335677,True,False,False,True,False,False,-0.2901687040568224,-0.6197277066965641,pullback_rebreak,0,8,0.0577767336693241,0.3033278517639968,-0.5633231532759684,3.1199436181438385,1.473306708567933,1.415529974898609,14.615,10111,2015-09-14 06:00:00,14.517,14.62538480304951,14.386938236340587,0.10838480304951048,1.5655299748986033,10116,2015-09-14 11:30:00,14.386938236340587,TP,5,0.23065964320274943,1.2640148447510366,0.9693403567972506,IS_2014_2024,2015,m15_retest_box_1h,22
23166,2017-11-29 09:00:00,10,0.0408753861815235,1.0275132279725452,0.7619047619047337,0.0,0.2380952380952662,0.7619047619047337,-0.7670221574929352,35.3032245891943,-1.2604402405531294,-3.677580817516144,True,False,False,True,False,False,-0.3665233401476956,-0.0492911558418554,pullback_rebreak,0,8,0.1467876039960778,0.9785840266404612,0.0978584026639939,3.7675485025658544,0.6850088186483925,1.467876039960692,16.91,23167,2017-11-29 10:30:00,16.85,16.91613130792723,16.770642430487328,0.06613130792722899,1.617876039960735,23170,2017-11-29 13:15:00,16.770642430487328,TP,3,0.3931572021622534,2.1321217501876486,0.8219642286900843,IS_2014_2024,2017,m15_retest_box_1h,11
28781,2018-11-12 07:00:00,8,0.0438231865348008,1.4832330813821966,0.3538461538461517,0.4461538461538482,0.2,0.8,-1.0195047198240266,30.903059034994858,-1.7035067941368751,-6.403921686265907,True,False,False,True,False,False,-1.0437860157169314,-0.8231634683473577,pullback_rebreak,0,8,0.2738276457936082,1.3691382289681628,0.5704742620700476,5.6591046797351785,0.6161122030357097,1.460414110899406,14.203,28782,2018-11-12 08:00:00,14.139,14.20957347798022,14.054311826423735,0.07057347798022029,1.6104141108994114,28788,2018-11-12 14:15:00,14.054311826423735,TP,6,0.7509903368352513,1.2327577227295405,0.8457592750777121,IS_2014_2024,2018,m15_retest_box_1h,25
31474,2019-05-01 01:00:00,2,0.0414825353218207,0.8919416258662948,0.7297297297296934,0.0540540540540709,0.2162162162162356,0.7837837837837643,-1.0566791446236004,43.913211711257674,-0.6761960973382865,-1.049608651907974,True,False,False,True,False,False,-0.2010529067822104,-0.3522594062048944,pullback_rebreak,0,8,0.0723195912864575,1.325859173584997,-0.6990893824357273,0.9160481562950996,1.3981787648714543,1.4946048865867168,14.971,31475,2019-05-01 02:00:00,14.909,14.977222380298274,14.827133143642072,0.06822238029827332,1.6446048865867389,31485,2019-05-01 12:15:00,14.827133143642072,TP,10,0.24918509037172545,1.260583398351126,0.8335513376886274,IS_2014_2024,2019,m15_retest_box_1h,41
31709,2019-05-15 06:00:00,7,0.0307239770509582,1.5297498732682702,0.617021276595735,0.297872340425552,0.0851063829787129,0.914893617021287,-1.459688436826956,46.35478013239383,-0.5212637201875243,-0.441929596803759,True,False,False,True,False,False,-0.2580677071079892,-0.6949587556481933,pullback_rebreak,0,8,0.0650957392880324,0.7486010018121125,0.1301914785760648,0.9113403500321648,1.2693669161161985,1.1717233071841788,14.805,31710,2019-05-15 07:00:00,14.769,14.809608596557643,14.720269684130828,0.04060859655764304,1.321723307184171,31710,2019-05-15 07:45:00,14.809608596557643,SL,0,1.1081397490830147,0.36937991636101947,-1.615633193935018,IS_2014_2024,2019,m15_retest_box_1h,3
44201,2021-06-29 00:00:00,1,0.0867662289850005,0.7721898344986576,0.8059701492537068,0.0895522388059733,0.1044776119403198,0.8955223880596801,-1.357996904984622,45.55537087935133,-0.5468841674044875,-0.4734310749206045,True,False,False,True,False,False,-0.8103598194429478,-0.3674649443307667,pullback_rebreak,0,8,0.0806765498729696,1.0026942627072066,-0.6108367347526774,0.8528663843716273,1.3023500193783246,1.1870978052740706,26.149,44202,2021-06-29 01:00:00,26.046,26.162014934347752,25.906782078782697,0.11601493434775279,1.337097805274084,44212,2021-06-29 08:00:00,25.906782078782697,TP,10,0.5257943758960677,1.2843174099756498,0.9845105016819087,IS_2014_2024,2021,m15_retest_box_1h,28
44876,2021-08-09 12:00:00,13,0.2304778591949509,1.253916541091896,0.8442906574394516,0.1384083044982679,0.0173010380622804,0.9826989619377196,-0.6270314423437292,37.90475106273593,-1.2356044263845811,-4.735325773824607,True,False,False,True,False,False,-0.7171326094258965,-0.4680197572220775,pullback_rebreak,0,8,0.1214867237044003,0.7332591537873099,0.173552462434862,5.814007491568002,1.05867002085268,1.2929658451397577,24.038,44877,2021-08-09 13:00:00,23.74,24.072571678879243,23.340913985344905,0.3325716788792441,1.4429658451397565,44880,2021-08-09 16:00:00,23.340913985344905,TP,3,0.5773191531131996,1.3831604710003647,1.1248282352717145,IS_2014_2024,2021,m15_retest_box_1h,12
