signal_i,signal_time,entry_hour,atr,range_atr,body_ratio,upper_wick_ratio,lower_wick_ratio,close_location,bb_z,rsi14,ema20_dist_atr,ema100_dist_atr,h4_down,h4_up,h4_neutral,d1_down,d1_up,d1_neutral,h4_slope_atr,d1_slope_atr,family,lookback,box_bars,trigger_atr,move_6_atr,move_12_atr,move_24_atr,pullback_atr,box_width_atr,stop_anchor,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,mae_r,mfe_r,r_after_cost,sample,year
1955,2014-05-01 06:00:00,7,0.08096176544933155,1.8156718691120408,0.6462585034013596,0.17006802721087647,0.183673469387764,0.816326530612236,-1.880714100405452,32.005458753758276,-1.6811145238999952,-4.305872797571867,True,False,False,True,False,False,-0.6354814111120857,-0.5215967697169479,breakdown,72,0,0.06175754656842512,0.9881207450949775,1.3833690431329773,3.816616377929401,0.0,999.0,19.153,1956,2014-05-01 07:00:00,19.032,19.1651442648174,18.87222688221912,0.13314426481739972,1.644532626956185,1959,2014-05-01 10:00:00,19.1651442648174,SL,3,1.1941933827796412,-0.40557511113269973,-1.1877662551540489,IS_2014_2024,2014
2454,2014-05-30 15:00:00,16,0.07633733970234456,1.2706756664330303,0.8247422680412451,0.0,0.17525773195875496,0.8247422680412451,-3.2017595230338776,26.486398882016076,-2.9045151135719296,-4.598092859683427,True,False,False,True,False,False,-0.5377593504374325,-0.6109290548847237,breakdown,72,0,0.5239899655393757,3.4976330199754004,3.615530762221767,3.1308400440978468,0.0,999.0,18.824,2455,2014-05-30 16:00:00,18.741,18.835450600955355,18.627659278853574,0.09445060095535496,1.2372791784942707,2455,2014-05-30 16:00:00,18.627659278853574,TP,0,0.0,0.0,0.935311371795084,IS_2014_2024,2014
3369,2014-07-24 17:00:00,18,0.09398268941371153,1.8620450328852711,0.7714285714285772,0.10857142857141872,0.12000000000000406,0.8799999999999959,-2.5134297273075776,17.036981787377073,-4.067868896897433,-5.7721875925284145,True,False,False,False,True,False,-0.15551481826980637,0.43190721772664514,breakdown,72,0,0.9789036744310967,5.4265312386942135,5.171165062755653,6.586319287748444,0.0,999.0,20.462,3370,2014-07-24 18:00:00,20.31,20.476097403412055,20.11068311590553,0.16609740341205637,1.7673191142774822,3385,2014-07-25 10:00:00,20.476097403412055,SL,15,1.0716603411217474,-0.7886938465558905,-1.1505140928541902,IS_2014_2024,2014
3529,2014-08-04 15:00:00,16,0.06731713493753443,1.9608677660224938,0.8181818181818353,0.015151515151506995,0.1666666666666577,0.8333333333333423,-2.7239563800854953,33.294304300877656,-2.0490595906226075,-3.6353888680901947,True,False,False,False,True,False,-0.598516479920956,0.03193655827722937,breakdown,72,0,0.564492235673155,2.881881413699758,2.3173891780266556,3.327533178704894,0.0,999.0,20.313,3530,2014-08-04 16:00:00,20.201,20.32309757024063,20.054482915711244,0.12209757024062995,1.8137665893524424,3550,2014-08-05 12:00:00,20.054482915711244,TP,20,0.43407907213508345,-0.08190171172358308,0.9952457206909899,IS_2014_2024,2014
3552,2014-08-05 14:00:00,15,0.07371718301756301,2.4417644927793156,0.7055555555555505,0.11666666666667128,0.17777777777777823,0.8222222222222217,-3.2662640900558135,20.25338950707932,-4.232622653111173,-6.8337515629527115,True,False,False,True,False,False,-0.7081816107046749,-0.02164576103487898,breakdown,72,0,1.3429704710286283,5.358316525821278,4.720744686040003,6.511371980744857,0.0,999.0,19.982,3553,2014-08-05 15:00:00,19.835,19.993057577452635,19.645330907056838,0.1580575774526345,2.144107669103111,3574,2014-08-06 13:00:00,19.993057577452635,SL,21,1.6702774030502454,-0.4365497757972184,-1.158170208622196,IS_2014_2024,2014
4277,2014-09-17 19:00:00,20,0.07534973183063845,2.415403420533401,0.6263736263736354,0.32967032967032517,0.04395604395603945,0.9560439560439605,-3.139728131752307,30.5411502984649,-2.252999496232432,-2.9488455673256406,True,False,False,True,False,False,-0.6643402218252185,-0.9370216634555462,breakdown,72,0,0.6901152630095432,2.44194631526457,1.8580026311795612,2.6941038152103447,0.0,999.0,18.656,4278,2014-09-17 20:00:00,18.482,18.667302459774593,18.259637048270488,0.1853024597745936,2.459231841608845,4302,2014-09-18 22:00:00,18.517,TIME,24,0.6475898924707848,-0.1942769677412412,-0.323794946235402,IS_2014_2024,2014
4484,2014-09-30 15:00:00,16,0.10522925726013052,2.6323477634669934,0.7653429602888148,0.05054151624548547,0.18411552346569982,0.8158844765343002,-2.730182409909015,24.019130049406442,-3.472569312116859,-5.323274686219346,True,False,False,True,False,False,-0.9372665600777831,-1.0756016710390657,breakdown,72,0,0.7792509624703877,3.516132391634654,5.274198587451964,5.131652679682986,0.0,999.0,17.226,4485,2014-09-30 16:00:00,16.999,17.241784388589018,16.707658733693176,0.24278438858901907,2.3071947375704394,4505,2014-10-01 13:00:00,17.241784388589018,SL,20,1.2686153413322492,-0.47367131251042616,-1.1029720244587953,IS_2014_2024,2014
4727,2014-10-15 06:00:00,7,0.06729065793408258,1.3226204458750035,0.5168539325842706,0.460674157303382,0.02247191011234744,0.9775280898876526,-1.9014099049885207,28.034070835487057,-2.417973064455359,-3.0960622128702617,True,False,False,True,False,False,-0.24517613304569222,-1.3430539152636083,breakdown,72,0,0.4755489243595595,2.006222024641913,3.7895304909902214,4.502853877529588,0.0,999.0,17.238,4728,2014-10-15 07:00:00,17.153,17.24809359869011,17.038887681571865,0.09509359869011291,1.4131768303300867,4732,2014-10-15 11:00:00,17.038887681571865,TP,4,0.5152817926228895,0.0,0.9371011262127904,IS_2014_2024,2014
5005,2014-10-31 05:00:00,6,0.09401295964055352,2.3081924112342636,0.6820276497695877,0.15207373271888427,0.16589861751152798,0.834101382488472,-1.839424661478603,19.93929290025403,-3.5344229825210247,-8.141199545233105,True,False,False,True,False,False,-0.9135594292518383,-1.0044851142735995,breakdown,72,0,1.2338724410284578,3.3612387186637287,2.6911183412086284,10.275179120978368,0.0,999.0,16.368,5006,2014-10-31 06:00:00,16.187,16.382101943946083,15.952877667264703,0.1951019439460815,2.0752664812599106,5012,2014-10-31 12:00:00,15.952877667264703,TP,6,0.33315916123296635,0.0,1.0718618610642392,IS_2014_2024,2014
5076,2014-11-05 06:00:00,7,0.09535802182237348,2.3909891967421957,0.7412280701754357,0.11842105263158263,0.14035087719298164,0.8596491228070183,-3.213294035462468,16.71409685531856,-4.460634713843113,-7.801712903306382,True,False,False,True,False,False,-1.1334334505293595,-1.460751370798047,breakdown,72,0,1.1954945983710978,5.46362005045034,5.736276713236727,5.369238897947356,0.0,999.0,15.678,5077,2014-11-05 07:00:00,15.481,15.692303703273357,15.227435556071972,0.2113037032733569,2.215898560343033,5080,2014-11-05 10:00:00,15.227435556071972,TP,3,0.3927995520865326,0.0,1.081686881901642,IS_2014_2024,2014
