year,name,trades,win_rate,total_r
2014,core_no_time,3,33.33333333333333,-1.4444937321413587
2015,core_no_time,5,80.0,1.536030739295758
2017,core_no_time,2,50.0,-0.411420287069699
2018,core_no_time,5,80.0,2.2721651500041955
2019,core_no_time,3,66.66666666666666,0.2858008450740791
2020,core_no_time,1,0.0,-0.27526345116704404
2021,core_no_time,3,66.66666666666666,1.0068264287550481
2022,core_no_time,2,50.0,-0.10879544105846728
2023,core_no_time,3,66.66666666666666,0.950694993529386
2024,core_no_time,1,100.0,1.1120342887297583
2025,core_no_time,1,100.0,1.1476422924876974
2026,core_no_time,2,100.0,2.3700990210666157
2014,guard_ex_11_12,2,50.0,-0.19910600417548607
2015,guard_ex_11_12,4,100.0,2.728047915835899
2017,guard_ex_11_12,2,50.0,-0.411420287069699
2018,guard_ex_11_12,4,100.0,3.5283794012009926
2019,guard_ex_11_12,3,66.66666666666666,0.2858008450740791
2021,guard_ex_11_12,3,66.66666666666666,1.0068264287550481
2022,guard_ex_11_12,2,50.0,-0.10879544105846728
2023,guard_ex_11_12,3,66.66666666666666,0.950694993529386
2024,guard_ex_11_12,1,100.0,1.1120342887297583
2025,guard_ex_11_12,1,100.0,1.1476422924876974
2026,guard_ex_11_12,2,100.0,2.3700990210666157
2014,aggressive_ex_7_11_12,1,0.0,-1.1783067293721479
2015,aggressive_ex_7_11_12,4,100.0,2.728047915835899
2017,aggressive_ex_7_11_12,2,50.0,-0.411420287069699
2018,aggressive_ex_7_11_12,4,100.0,3.5283794012009926
2019,aggressive_ex_7_11_12,2,100.0,1.8590823072957448
2021,aggressive_ex_7_11_12,3,66.66666666666666,1.0068264287550481
2022,aggressive_ex_7_11_12,2,50.0,-0.10879544105846728
2023,aggressive_ex_7_11_12,3,66.66666666666666,0.950694993529386
2024,aggressive_ex_7_11_12,1,100.0,1.1120342887297583
2025,aggressive_ex_7_11_12,1,100.0,1.1476422924876974
2026,aggressive_ex_7_11_12,2,100.0,2.3700990210666157
2015,strict_pullback_1_0,4,75.0,1.5295450990114015
2017,strict_pullback_1_0,1,0.0,-1.2695694340139887
2018,strict_pullback_1_0,3,66.66666666666666,0.4568871783799512
2019,strict_pullback_1_0,3,66.66666666666666,0.2858008450740791
2020,strict_pullback_1_0,1,0.0,-0.27526345116704404
2021,strict_pullback_1_0,3,66.66666666666666,1.0068264287550481
2022,strict_pullback_1_0,1,100.0,1.023140321941086
2023,strict_pullback_1_0,2,50.0,-0.14909140146661404
2025,strict_pullback_1_0,1,100.0,1.1476422924876974
2026,strict_pullback_1_0,2,100.0,2.3700990210666157
2014,tp1_guard_ex_11_12,2,50.0,-0.3991060041754798
2015,tp1_guard_ex_11_12,4,100.0,2.128047915835908
2017,tp1_guard_ex_11_12,2,50.0,-0.6114202870696795
2018,tp1_guard_ex_11_12,4,100.0,2.7283794012009404
2019,tp1_guard_ex_11_12,3,66.66666666666666,-0.11419915492591382
2021,tp1_guard_ex_11_12,3,66.66666666666666,0.6068264287550409
2022,tp1_guard_ex_11_12,2,50.0,-0.30879544105847234
2023,tp1_guard_ex_11_12,3,66.66666666666666,0.5506949935293721
2024,tp1_guard_ex_11_12,1,100.0,0.9120342887297533
2025,tp1_guard_ex_11_12,1,100.0,0.9476422924877005
2026,tp1_guard_ex_11_12,2,100.0,1.970099021066611
2014,maxhold12_guard_ex_11_12,2,0.0,-0.6318031916995386
2015,maxhold12_guard_ex_11_12,4,75.0,2.565906908726617
2017,maxhold12_guard_ex_11_12,2,50.0,-0.411420287069699
2018,maxhold12_guard_ex_11_12,4,75.0,2.2671207370672284
2019,maxhold12_guard_ex_11_12,3,66.66666666666666,0.2858008450740791
2021,maxhold12_guard_ex_11_12,3,66.66666666666666,1.0068264287550481
2022,maxhold12_guard_ex_11_12,2,50.0,-0.10879544105846728
2023,maxhold12_guard_ex_11_12,3,66.66666666666666,0.950694993529386
2024,maxhold12_guard_ex_11_12,1,0.0,-0.2674157622615289
2025,maxhold12_guard_ex_11_12,1,100.0,1.1476422924876974
2026,maxhold12_guard_ex_11_12,2,100.0,2.3700990210666157
2014,loose_close65_guard_ex_11_12,3,33.33333333333333,-1.502764397181974
2015,loose_close65_guard_ex_11_12,5,100.0,2.947514703098866
2017,loose_close65_guard_ex_11_12,2,50.0,-0.411420287069699
2018,loose_close65_guard_ex_11_12,4,100.0,3.5283794012009926
2019,loose_close65_guard_ex_11_12,3,66.66666666666666,0.2858008450740791
2020,loose_close65_guard_ex_11_12,1,100.0,1.0916410175023945
2021,loose_close65_guard_ex_11_12,3,66.66666666666666,1.0068264287550481
2022,loose_close65_guard_ex_11_12,2,50.0,-0.10879544105846728
2023,loose_close65_guard_ex_11_12,3,66.66666666666666,0.950694993529386
2024,loose_close65_guard_ex_11_12,1,100.0,1.1120342887297583
2025,loose_close65_guard_ex_11_12,1,100.0,1.1476422924876974
2026,loose_close65_guard_ex_11_12,2,100.0,2.3700990210666157
