trades,win_rate,total_r,total_r_after_cost,avg_r,avg_r_after_cost,pf,pf_after_cost,max_dd_r,max_dd_after_cost_r,max_winning_streak,max_losing_streak,avg_hold_bars,trades_per_year,label,symbol,cfg
79,44.3,61.0,57.11,0.7722,0.723,2.386,2.243,4.0,4.17,4.0,4.0,31.68,7.9,BASE: Conservative,XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
43,37.21,21.0,19.67,0.4884,0.4575,1.778,1.707,8.0,8.41,3.0,7.0,31.35,4.3,BASE: Conservative,USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
58,31.03,14.0,12.39,0.2414,0.2137,1.35,1.302,9.0,9.39,2.0,7.0,48.64,5.8,BASE: Conservative,EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
29,51.72,31.0,30.11,1.069,1.0384,3.214,3.082,5.0,5.27,6.0,4.0,64.48,2.9,BASE: Conservative,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
60,33.33,20.0,16.64,0.3333,0.2773,1.5,1.394,10.0,11.16,3.0,11.0,29.55,6.0,BASE: Conservative,CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
41,46.34,35.0,27.37,0.8537,0.6676,2.591,2.05,4.0,5.13,3.0,4.0,48.07,4.1,BASE: Conservative,SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
77,38.96,43.0,39.13,0.5584,0.5081,1.915,1.797,8.0,8.34,3.0,8.0,30.23,7.7,L1a: lookback x0.75,XAUUSD,"{'lookback_3m': 360, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
36,38.89,20.0,18.95,0.5556,0.5265,1.909,1.837,5.0,5.32,3.0,5.0,34.53,3.6,L1a: lookback x0.75,USDJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
61,29.51,11.0,9.34,0.1803,0.153,1.256,1.211,8.0,8.67,3.0,8.0,47.69,6.1,L1a: lookback x0.75,EURJPY,"{'lookback_3m': 270, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
28,28.57,4.0,3.14,0.1429,0.1121,1.2,1.152,8.0,8.23,2.0,8.0,60.18,2.8,L1a: lookback x0.75,GBPJPY,"{'lookback_3m': 270, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
70,25.71,2.0,-1.96,0.0286,-0.0281,1.038,0.964,11.0,14.21,3.0,10.0,23.74,7.0,L1a: lookback x0.75,CHFJPY,"{'lookback_3m': 360, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
42,45.24,34.0,25.59,0.8095,0.6093,2.478,1.916,10.0,13.1,4.0,10.0,28.21,4.2,L1a: lookback x0.75,SILVER,"{'lookback_3m': 270, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
87,32.18,25.0,20.43,0.2874,0.2349,1.424,1.33,11.0,11.5,3.0,8.0,29.1,8.7,L1b: lookback x0.5,XAUUSD,"{'lookback_3m': 240, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
31,38.71,17.0,16.01,0.5484,0.5163,1.895,1.814,6.0,6.39,5.0,5.0,27.9,3.1,L1b: lookback x0.5,USDJPY,"{'lookback_3m': 240, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
78,29.49,14.0,12.02,0.1795,0.1541,1.255,1.213,16.0,16.34,3.0,16.0,46.76,7.8,L1b: lookback x0.5,EURJPY,"{'lookback_3m': 180, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
0,,,,,,,,,,,,,,L1b: lookback x0.5,GBPJPY,"{'lookback_3m': 180, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
80,21.25,-12.0,-16.24,-0.15,-0.203,0.81,0.755,24.0,27.62,3.0,14.0,36.11,8.0,L1b: lookback x0.5,CHFJPY,"{'lookback_3m': 240, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
0,,,,,,,,,,,,,,L1b: lookback x0.5,SILVER,"{'lookback_3m': 180, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
72,36.11,32.0,28.41,0.4444,0.3946,1.696,1.589,7.0,7.42,4.0,7.0,30.96,7.2,L1c: lookback x0.33,XAUUSD,"{'lookback_3m': 158, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
0,,,,,,,,,,,,,,L1c: lookback x0.33,USDJPY,"{'lookback_3m': 158, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
83,24.1,-3.0,-5.09,-0.0361,-0.0613,0.952,0.921,26.0,27.63,2.0,10.0,46.98,8.3,L1c: lookback x0.33,EURJPY,"{'lookback_3m': 118, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
0,,,,,,,,,,,,,,L1c: lookback x0.33,GBPJPY,"{'lookback_3m': 118, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
68,23.53,-4.0,-7.77,-0.0588,-0.1142,0.923,0.858,17.0,19.91,2.0,9.0,27.25,6.8,L1c: lookback x0.33,CHFJPY,"{'lookback_3m': 158, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
0,,,,,,,,,,,,,,L1c: lookback x0.33,SILVER,"{'lookback_3m': 118, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
112,35.71,48.0,42.73,0.4286,0.3815,1.667,1.569,9.0,10.09,3.0,6.0,30.55,11.2,L2a: exclude x0.5,XAUUSD,"{'lookback_3m': 480, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
80,26.25,4.0,1.44,0.05,0.018,1.068,1.024,20.0,21.75,4.0,10.0,31.69,8.0,L2a: exclude x0.5,USDJPY,"{'lookback_3m': 480, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
74,28.38,10.0,7.92,0.1351,0.1071,1.189,1.145,16.0,16.62,2.0,10.0,49.09,7.4,L2a: exclude x0.5,EURJPY,"{'lookback_3m': 360, 'exclude': 30, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
52,40.38,32.0,30.21,0.6154,0.5809,2.032,1.939,5.0,5.39,5.0,5.0,96.29,5.2,L2a: exclude x0.5,GBPJPY,"{'lookback_3m': 360, 'exclude': 90, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
93,26.88,7.0,1.82,0.0753,0.0195,1.103,1.025,20.0,21.89,2.0,12.0,27.52,9.3,L2a: exclude x0.5,CHFJPY,"{'lookback_3m': 480, 'exclude': 60, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
67,32.84,21.0,8.55,0.3134,0.1276,1.467,1.161,7.0,9.38,3.0,7.0,38.15,6.7,L2a: exclude x0.5,SILVER,"{'lookback_3m': 360, 'exclude': 90, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
154,36.36,70.0,62.73,0.4545,0.4073,1.714,1.612,9.0,9.35,3.0,9.0,28.12,15.4,L2b: exclude x0.25,XAUUSD,"{'lookback_3m': 480, 'exclude': 30, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
107,28.04,13.0,9.58,0.1215,0.0895,1.169,1.12,19.0,20.13,4.0,12.0,28.64,10.7,L2b: exclude x0.25,USDJPY,"{'lookback_3m': 480, 'exclude': 45, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
99,25.25,1.0,-1.75,0.0101,-0.0177,1.014,0.977,16.0,17.09,2.0,13.0,49.17,9.9,L2b: exclude x0.25,EURJPY,"{'lookback_3m': 360, 'exclude': 15, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
82,32.93,26.0,23.23,0.3171,0.2833,1.473,1.408,17.0,17.74,5.0,12.0,73.46,8.2,L2b: exclude x0.25,GBPJPY,"{'lookback_3m': 360, 'exclude': 45, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
129,24.03,-5.0,-12.08,-0.0388,-0.0936,0.949,0.883,20.0,24.35,2.0,14.0,29.01,12.9,L2b: exclude x0.25,CHFJPY,"{'lookback_3m': 480, 'exclude': 30, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
107,27.1,9.0,-11.97,0.0841,-0.1119,1.115,0.871,10.0,20.82,3.0,7.0,34.88,10.7,L2b: exclude x0.25,SILVER,"{'lookback_3m': 360, 'exclude': 45, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
217,32.26,63.0,52.45,0.2903,0.2417,1.429,1.341,17.0,18.79,4.0,11.0,25.85,21.7,L2c: exclude=10,XAUUSD,"{'lookback_3m': 480, 'exclude': 10, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
176,30.68,40.0,34.44,0.2273,0.1957,1.328,1.273,14.0,14.85,6.0,11.0,28.08,17.6,L2c: exclude=10,USDJPY,"{'lookback_3m': 480, 'exclude': 10, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
114,25.44,2.0,-1.17,0.0175,-0.0103,1.024,0.987,19.0,21.41,4.0,13.0,49.23,11.4,L2c: exclude=10,EURJPY,"{'lookback_3m': 360, 'exclude': 10, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
162,28.4,22.0,16.62,0.1358,0.1026,1.19,1.139,18.0,18.54,3.0,14.0,54.22,16.2,L2c: exclude=10,GBPJPY,"{'lookback_3m': 360, 'exclude': 10, 'sl_atr': 2.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
186,23.12,-14.0,-24.31,-0.0753,-0.1307,0.902,0.839,33.0,39.11,3.0,13.0,31.62,18.6,L2c: exclude=10,CHFJPY,"{'lookback_3m': 480, 'exclude': 10, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
182,26.37,10.0,-26.69,0.0549,-0.1466,1.075,0.834,16.0,27.35,6.0,11.0,35.29,18.2,L2c: exclude=10,SILVER,"{'lookback_3m': 360, 'exclude': 10, 'sl_atr': 2.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
80,37.5,40.0,34.71,0.5,0.4338,1.8,1.654,10.0,10.43,3.0,10.0,18.6,8.0,L3a: sl_atr x0.75,XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 1.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
43,34.88,17.0,15.23,0.3953,0.3542,1.607,1.521,8.0,8.81,3.0,7.0,14.74,4.3,L3a: sl_atr x0.75,USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 1.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
58,25.86,2.0,-0.14,0.0345,-0.0024,1.047,0.997,14.0,15.43,2.0,10.0,18.79,5.8,L3a: sl_atr x0.75,EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 1.875, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
29,41.38,19.0,17.82,0.6552,0.6144,2.118,2.005,3.0,3.17,3.0,3.0,25.34,2.9,L3a: sl_atr x0.75,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 1.875, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
60,28.33,8.0,3.52,0.1333,0.0586,1.186,1.076,19.0,22.18,3.0,14.0,15.42,6.0,L3a: sl_atr x0.75,CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 1.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
41,46.34,35.0,24.83,0.8537,0.6056,2.591,1.915,4.0,5.5,5.0,4.0,21.83,4.1,L3a: sl_atr x0.75,SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 1.5, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
80,36.25,36.0,28.06,0.45,0.3508,1.706,1.502,9.0,9.81,3.0,7.0,7.84,8.0,L3b: sl_atr=1.0,XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 1.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
43,27.91,5.0,2.35,0.1163,0.0545,1.161,1.071,7.0,7.95,3.0,7.0,7.88,4.3,L3b: sl_atr=1.0,USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 1.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
58,34.48,22.0,17.99,0.3793,0.3101,1.579,1.444,9.0,9.56,3.0,9.0,5.71,5.8,L3b: sl_atr=1.0,EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 1.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
29,41.38,19.0,16.79,0.6552,0.5788,2.118,1.913,6.0,6.42,4.0,6.0,6.1,2.9,L3b: sl_atr=1.0,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 1.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
60,28.33,8.0,1.27,0.1333,0.0212,1.186,1.027,11.0,15.76,3.0,11.0,7.72,6.0,L3b: sl_atr=1.0,CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 1.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
41,39.02,23.0,7.74,0.561,0.1889,1.92,1.223,5.0,8.59,4.0,5.0,7.73,4.1,L3b: sl_atr=1.0,SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 1.0, 'tp_rr': 3.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
80,46.25,31.0,27.03,0.3875,0.3379,1.721,1.601,4.0,4.22,4.0,4.0,21.48,8.0,L4a: tp_rr=2.0,XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 2.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
43,39.53,8.0,6.67,0.186,0.1552,1.308,1.249,9.0,9.41,3.0,7.0,17.63,4.3,L4a: tp_rr=2.0,USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 2.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
58,39.66,11.0,9.39,0.1897,0.162,1.314,1.261,5.0,5.19,3.0,5.0,33.91,5.8,L4a: tp_rr=2.0,EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 2.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
29,62.07,25.0,24.11,0.8621,0.8315,3.273,3.121,3.0,3.13,6.0,3.0,31.28,2.9,L4a: tp_rr=2.0,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 2.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
60,35.0,3.0,-0.36,0.05,-0.0061,1.077,0.991,15.0,17.38,5.0,11.0,23.23,6.0,L4a: tp_rr=2.0,CHFJPY,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 2.0, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
41,58.54,31.0,23.37,0.7561,0.5701,2.824,2.156,4.0,5.13,5.0,4.0,23.83,4.1,L4a: tp_rr=2.0,SILVER,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 2.0, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
79,44.3,43.5,39.61,0.5506,0.5015,1.989,1.862,4.0,4.17,4.0,4.0,28.09,7.9,L4b: tp_rr=2.5,XAUUSD,"{'lookback_3m': 480, 'exclude': 120, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
43,39.53,16.5,15.17,0.3837,0.3529,1.635,1.566,8.5,8.91,3.0,7.0,21.6,4.3,L4b: tp_rr=2.5,USDJPY,"{'lookback_3m': 480, 'exclude': 180, 'sl_atr': 2.0, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
58,37.93,19.0,17.39,0.3276,0.2999,1.528,1.47,6.0,6.16,3.0,6.0,41.24,5.8,L4b: tp_rr=2.5,EURJPY,"{'lookback_3m': 360, 'exclude': 60, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': False, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.5, 'cooldown': 0}"
29,51.72,23.5,22.61,0.8103,0.7798,2.679,2.564,5.5,5.77,6.0,4.0,54.76,2.9,L4b: tp_rr=2.5,GBPJPY,"{'lookback_3m': 360, 'exclude': 180, 'sl_atr': 2.5, 'tp_rr': 2.5, 'level_kind': 'mid', 'session': True, 'asia': True, 'eu': False, 'ny': True, 'margin': 0.0, 'cooldown': 0}"
