label,total_trades,trades_per_year,win_rate,total_r_clean,total_r_after_cost,avg_r_clean,avg_r_after_cost,pf_clean,pf_after_cost,max_streak_lose,max_dd_clean_r,max_dd_after_cost_r
BASE: Conservative,310,31.0,39.68,182.0,163.31,0.5871,0.5268,1.973,1.826,11,11.0,12.21
L1a: lookback x0.75,314,31.4,34.08,114.0,94.18,0.3631,0.2999,1.551,1.429,11,13.0,16.3
L1b: lookback x0.5,276,27.6,28.99,44.0,32.22,0.1594,0.1167,1.224,1.158,16,32.0,36.02
L1c: lookback x0.33,223,22.3,27.8,25.0,15.56,0.1121,0.0698,1.155,1.093,10,36.0,40.64
L2a: exclude x0.5,478,47.8,31.38,122.0,92.67,0.2552,0.1939,1.372,1.267,12,21.0,22.94
L2b: exclude x0.25,678,67.8,29.2,114.0,69.73,0.1681,0.1028,1.237,1.136,14,25.0,35.21
L2c: exclude=10,1037,103.7,27.97,123.0,51.35,0.1186,0.0495,1.165,1.064,14,33.0,55.49
L3a: sl_atr x0.75,311,31.1,34.73,121.0,95.96,0.3891,0.3086,1.596,1.44,15,21.0,24.27
L3b: sl_atr=1.0,311,31.1,34.08,113.0,74.2,0.3633,0.2386,1.551,1.322,12,13.0,17.92
L4a: tp_rr=2.0,311,31.1,45.02,109.0,90.22,0.3505,0.2901,1.637,1.5,11,16.0,18.43
L4b: tp_rr=2.5,310,31.0,42.58,152.0,133.31,0.4903,0.43,1.854,1.709,11,12.5,14.43
L5: level_kind=any,341,34.1,39.3,195.0,174.47,0.5718,0.5116,1.942,1.799,11,11.0,11.45
L6: session OFF,366,36.6,39.07,206.0,183.51,0.5628,0.5014,1.924,1.778,11,11.0,12.44
M1: lb x0.75 + exclude x0.5,528,52.8,27.46,52.0,18.34,0.0985,0.0347,1.136,1.045,16,30.0,52.75
M2: lb x0.5 + exclude x0.5,627,62.7,26.16,29.0,-8.38,0.0463,-0.0134,1.063,0.983,18,53.0,73.91
M3: M2 + level=any,657,65.7,26.64,43.0,3.97,0.0654,0.006,1.089,1.008,19,49.0,70.78
M4: M2 + tp=2.5,631,63.1,29.16,13.0,-24.46,0.0206,-0.0388,1.029,0.948,18,54.0,76.96
M5: M2 + session OFF,727,72.7,27.1,61.0,15.11,0.0839,0.0208,1.115,1.027,21,51.0,67.68
ALL: lb x0.5 + ex x0.5 + level=any + session OFF + tp=2.5,769,76.9,30.17,43.0,-5.25,0.0559,-0.0068,1.08,0.991,22,45.5,69.55
"SAFE1: L5+L6 (level=any, session OFF)",405,40.5,38.52,219.0,194.05,0.5407,0.4791,1.88,1.737,11,13.0,13.76
SAFE2: SAFE1 + tp=2.5,406,40.6,41.13,178.5,153.51,0.4397,0.3781,1.747,1.607,11,14.5,17.37
SAFE3: SAFE1 + lb x0.75,400,40.0,34.25,148.0,122.7,0.37,0.3068,1.563,1.441,13,18.0,21.33
SAFE4: SAFE1 + ex x0.5,598,59.8,32.11,170.0,131.64,0.2843,0.2201,1.419,1.305,12,21.0,23.4
SAFE5: SAFE1 + lb x0.75 + ex x0.5,651,65.1,29.03,105.0,62.27,0.1613,0.0956,1.227,1.127,18,32.0,36.46
