month,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
1,33.0,14.0,19.0,42.42,-2.644,-0.0801,-1.0,0.861,11.0,1.223
2,33.0,17.0,16.0,51.52,19.031,0.5767,0.32,2.189,3.657,2.309
3,30.0,13.0,17.0,43.33,13.735,0.4578,-1.0,1.808,7.708,2.264
4,34.0,14.0,20.0,41.18,14.377,0.4229,-1.0,1.719,8.278,1.85
5,39.0,21.0,18.0,53.85,16.886,0.433,0.433,1.938,4.635,1.562
6,33.0,12.0,21.0,36.36,0.552,0.0167,-1.0,1.026,9.0,1.635
7,34.0,20.0,14.0,58.82,29.858,0.8782,0.36,3.133,4.0,1.523
8,30.0,12.0,18.0,40.0,1.126,0.0375,-1.0,1.063,6.526,1.726
9,39.0,16.0,23.0,41.03,6.903,0.177,-1.0,1.3,6.203,1.12
10,29.0,10.0,19.0,34.48,-5.047,-0.174,-1.0,0.734,9.965,1.918
11,25.0,12.0,13.0,48.0,8.856,0.3542,-1.0,1.681,9.273,1.852
12,19.0,7.0,12.0,36.84,-4.794,-0.2523,-1.0,0.6,3.943,1.763
