year,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
2015,18.0,7.0,11.0,38.89,-2.712,-0.1507,-1.0,0.753,6.528,1.315
2016,32.0,21.0,11.0,65.62,13.152,0.411,0.611,2.196,4.0,1.941
2017,34.0,16.0,18.0,47.06,10.696,0.3146,-1.0,1.594,4.0,1.631
2018,44.0,16.0,28.0,36.36,-4.954,-0.1126,-1.0,0.823,7.491,1.491
2019,36.0,17.0,19.0,47.22,8.223,0.2284,-1.0,1.433,6.53,2.103
2020,33.0,18.0,15.0,54.55,42.79,1.2967,0.378,3.853,3.0,1.881
2021,40.0,12.0,28.0,30.0,-7.085,-0.1771,-1.0,0.747,9.846,1.68
2022,34.0,14.0,20.0,41.18,9.161,0.2694,-1.0,1.458,6.628,1.924
2023,49.0,22.0,27.0,44.9,12.098,0.2469,-1.0,1.448,5.826,1.511
2024,58.0,25.0,33.0,43.1,17.47,0.3012,-1.0,1.529,11.813,1.614
