yearmonth,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
2015-02,2.0,1.0,1.0,50.0,-0.68,-0.34,-0.34,0.32,0.0,1.521
2015-04,3.0,1.0,2.0,33.33,2.179,0.7264,-1.0,2.09,1.0,1.056
2015-05,5.0,3.0,2.0,60.0,0.785,0.1571,0.649,1.393,1.0,0.667
2015-06,4.0,0.0,4.0,0.0,-4.0,-1.0,-1.0,0.0,3.0,0.51
2015-08,2.0,1.0,1.0,50.0,-0.528,-0.2638,-0.264,0.472,0.0,4.229
2015-10,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.292
2015-11,1.0,1.0,0.0,100.0,0.531,0.531,0.531,inf,0.0,3.333
2016-01,2.0,2.0,0.0,100.0,2.666,1.3332,1.333,inf,0.0,1.792
2016-02,2.0,1.0,1.0,50.0,0.497,0.2487,0.249,1.497,1.0,1.812
2016-03,8.0,4.0,4.0,50.0,0.082,0.0102,-0.355,1.02,4.0,2.021
2016-05,1.0,1.0,0.0,100.0,0.947,0.9466,0.947,inf,0.0,0.958
2016-06,4.0,3.0,1.0,75.0,4.167,1.0418,1.583,5.167,1.0,2.375
2016-07,1.0,1.0,0.0,100.0,1.243,1.2433,1.243,inf,0.0,1.167
2016-08,1.0,1.0,0.0,100.0,1.588,1.5879,1.588,inf,0.0,4.542
2016-09,3.0,2.0,1.0,66.67,0.624,0.2079,0.573,1.624,1.0,1.583
2016-10,2.0,1.0,1.0,50.0,-0.352,-0.176,-0.176,0.648,0.0,2.562
2016-11,4.0,4.0,0.0,100.0,3.233,0.8082,0.741,inf,0.0,1.531
2016-12,4.0,1.0,3.0,25.0,-1.543,-0.3857,-1.0,0.486,2.0,1.646
2017-01,3.0,2.0,1.0,66.67,0.686,0.2288,0.621,1.686,0.0,1.125
2017-02,2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,2.729
2017-03,2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,1.75
2017-04,2.0,2.0,0.0,100.0,7.909,3.9544,3.954,inf,0.0,3.604
2017-06,4.0,2.0,2.0,50.0,1.301,0.3252,0.033,1.65,2.0,1.927
2017-07,4.0,2.0,2.0,50.0,1.121,0.2802,-0.212,1.56,1.0,1.604
2017-08,6.0,3.0,3.0,50.0,2.782,0.4636,0.086,1.927,2.0,1.569
2017-09,8.0,4.0,4.0,50.0,2.096,0.2621,-0.227,1.524,2.0,1.271
2017-11,2.0,1.0,1.0,50.0,-0.199,-0.0995,-0.099,0.801,0.0,1.042
2017-12,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.125
2018-01,8.0,3.0,5.0,37.5,-0.064,-0.0079,-1.0,0.987,2.0,1.547
2018-03,2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,0.104
2018-04,4.0,2.0,2.0,50.0,-1.333,-0.3333,-0.341,0.333,2.0,1.604
2018-06,5.0,2.0,3.0,40.0,-0.717,-0.1434,-1.0,0.761,3.0,2.4
2018-07,3.0,2.0,1.0,66.67,0.932,0.3107,0.616,1.932,1.0,2.028
2018-08,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.333
2018-09,9.0,4.0,5.0,44.44,3.315,0.3683,-1.0,1.663,2.0,0.958
2018-10,3.0,0.0,3.0,0.0,-3.0,-1.0,-1.0,0.0,2.0,2.444
2018-11,6.0,2.0,4.0,33.33,0.312,0.052,-1.0,1.078,3.0,1.806
2018-12,3.0,1.0,2.0,33.33,-1.4,-0.4665,-1.0,0.3,1.0,0.472
2019-01,4.0,3.0,1.0,75.0,2.695,0.6737,0.864,3.695,1.0,1.417
2019-02,8.0,4.0,4.0,50.0,-0.657,-0.0821,-0.225,0.836,3.0,3.031
2019-03,1.0,1.0,0.0,100.0,0.775,0.7751,0.775,inf,0.0,1.417
2019-04,2.0,1.0,1.0,50.0,-0.55,-0.2749,-0.275,0.45,0.0,1.938
2019-05,2.0,1.0,1.0,50.0,5.303,2.6517,2.652,6.303,0.0,3.583
2019-07,5.0,2.0,3.0,40.0,0.119,0.0237,-1.0,1.04,2.0,1.483
2019-08,2.0,1.0,1.0,50.0,1.978,0.9889,0.989,2.978,1.0,4.458
2019-09,5.0,3.0,2.0,60.0,2.927,0.5853,0.47,2.463,1.53,1.375
2019-10,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.167
2019-11,3.0,0.0,3.0,0.0,-3.0,-1.0,-1.0,0.0,2.0,2.042
2019-12,3.0,1.0,2.0,33.33,-0.366,-0.1221,-1.0,0.817,1.0,0.944
2020-01,3.0,1.0,2.0,33.33,0.152,0.0508,-1.0,1.076,2.0,0.861
2020-02,1.0,1.0,0.0,100.0,15.328,15.3277,15.328,inf,0.0,6.792
2020-03,1.0,1.0,0.0,100.0,1.329,1.3291,1.329,inf,0.0,1.167
2020-04,3.0,1.0,2.0,33.33,-0.729,-0.2428,-1.0,0.636,1.0,2.347
2020-05,4.0,2.0,2.0,50.0,0.969,0.2422,-0.311,1.484,1.0,1.802
2020-06,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.083
2020-07,10.0,7.0,3.0,70.0,26.607,2.6607,1.35,9.869,3.0,1.875
2020-08,3.0,2.0,1.0,66.67,1.634,0.5446,0.655,2.634,1.0,1.694
2020-10,3.0,1.0,2.0,33.33,-1.339,-0.4462,-1.0,0.331,1.0,0.542
2020-11,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.875
2020-12,3.0,2.0,1.0,66.67,0.838,0.2794,0.895,1.838,1.0,3.625
2021-01,2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,2.208
2021-02,5.0,3.0,2.0,60.0,1.733,0.3465,0.623,1.866,1.0,1.408
2021-03,6.0,1.0,5.0,16.67,-3.846,-0.6411,-1.0,0.231,2.846,1.319
2021-04,4.0,0.0,4.0,0.0,-4.0,-1.0,-1.0,0.0,3.0,2.094
2021-05,9.0,5.0,4.0,55.56,7.673,0.8526,0.487,2.918,2.0,1.907
2021-06,5.0,0.0,5.0,0.0,-5.0,-1.0,-1.0,0.0,4.0,0.408
2021-07,1.0,1.0,0.0,100.0,0.356,0.3561,0.356,inf,0.0,1.208
2021-08,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.125
2021-09,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.125
2021-10,5.0,2.0,3.0,40.0,0.999,0.1998,-1.0,1.333,2.048,3.317
2021-11,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.208
2022-01,4.0,0.0,4.0,0.0,-4.0,-1.0,-1.0,0.0,3.0,0.302
2022-02,2.0,1.0,1.0,50.0,-0.62,-0.3099,-0.31,0.38,1.0,2.229
2022-03,3.0,3.0,0.0,100.0,9.209,3.0698,3.496,inf,0.0,4.958
2022-04,6.0,2.0,4.0,33.33,3.381,0.5634,-1.0,1.845,3.0,1.396
2022-05,2.0,1.0,1.0,50.0,-0.481,-0.2405,-0.241,0.519,0.0,1.667
2022-06,1.0,1.0,0.0,100.0,1.143,1.1427,1.143,inf,0.0,1.792
2022-07,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.375
2022-08,3.0,0.0,3.0,0.0,-3.0,-1.0,-1.0,0.0,2.0,1.292
2022-09,5.0,2.0,3.0,40.0,5.144,1.0288,-1.0,2.715,2.0,1.375
2022-10,2.0,1.0,1.0,50.0,-0.554,-0.2771,-0.277,0.446,1.0,1.646
2022-11,3.0,1.0,2.0,33.33,-1.737,-0.579,-1.0,0.132,2.0,2.222
2022-12,2.0,2.0,0.0,100.0,1.676,0.8382,0.838,inf,0.0,5.146
2023-01,2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,0.938
2023-02,6.0,4.0,2.0,66.67,3.287,0.5478,0.738,2.644,1.0,2.167
2023-03,4.0,1.0,3.0,25.0,-1.785,-0.4463,-1.0,0.405,1.0,2.24
2023-04,3.0,2.0,1.0,66.67,0.959,0.3197,0.35,1.959,1.0,0.903
2023-05,10.0,4.0,6.0,40.0,0.243,0.0243,-1.0,1.041,3.0,1.138
2023-06,4.0,2.0,2.0,50.0,2.833,0.7082,0.163,2.416,2.0,2.823
2023-07,3.0,1.0,2.0,33.33,-0.718,-0.2394,-1.0,0.641,2.0,1.639
2023-08,7.0,3.0,4.0,42.86,0.474,0.0678,-1.0,1.119,1.642,0.804
2023-09,3.0,1.0,2.0,33.33,-1.203,-0.4009,-1.0,0.399,1.0,1.361
2023-10,2.0,1.0,1.0,50.0,-0.708,-0.3541,-0.354,0.292,1.0,0.417
2023-11,4.0,3.0,1.0,75.0,11.716,2.929,2.961,12.716,1.0,2.26
2023-12,1.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.333
2024-01,5.0,3.0,2.0,60.0,-0.78,-0.1561,0.352,0.61,1.0,1.058
2024-02,5.0,2.0,3.0,40.0,2.143,0.4286,-1.0,1.714,3.0,1.708
2024-03,3.0,2.0,1.0,66.67,11.971,3.9903,4.875,12.971,1.0,4.569
2024-04,7.0,3.0,4.0,42.86,6.561,0.9373,-1.0,2.64,3.0,2.25
2024-05,6.0,4.0,2.0,66.67,1.447,0.2411,0.456,1.723,1.128,1.729
2024-06,5.0,2.0,3.0,40.0,1.826,0.3653,-1.0,1.609,1.063,1.5
2024-07,6.0,4.0,2.0,66.67,1.198,0.1996,0.36,1.599,1.0,0.91
2024-08,4.0,1.0,3.0,25.0,-1.802,-0.4505,-1.0,0.399,2.0,1.354
2024-09,5.0,0.0,5.0,0.0,-5.0,-1.0,-1.0,0.0,4.0,0.233
2024-10,10.0,4.0,6.0,40.0,1.906,0.1906,-1.0,1.318,3.012,1.938
2024-12,2.0,0.0,2.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,0.521
