symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month,yearmonth
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-02-11 08:00:00,2015-02-11 09:00:00,129.277,128.77739285714284,2015-02-12 08:00:00,128.77739285714284,initial_stop,0.499607142857144,-1.0,1.5632282507684692,-2.357852598470215,0.9583333333333334,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,2,2015-02
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-02-24 06:00:00,2015-02-24 07:00:00,184.16,183.44125,2015-02-26 09:00:00,184.39,one_swing_break,0.71875,0.3199999999999857,1.1547826086956696,-0.9182608695652128,2.0833333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,2,2015-02
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-04-06 07:00:00,2015-04-06 08:00:00,1222.186,1214.982607142857,2015-04-06 19:00:00,1214.982607142857,initial_stop,7.203392857142944,-1.0,0.2779245891073371,-1.1097548278340807,0.4583333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,4,2015-04
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-04-20 06:00:00,2015-04-20 07:00:00,1208.801,1201.0551964285714,2015-04-20 10:00:00,1201.0551964285714,initial_stop,7.745803571428496,-1.0,0.0,-1.234603990640089,0.125,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,4,2015-04
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-04-27 10:00:00,2015-04-27 11:00:00,93.253,92.83017857142856,2015-04-30 01:00:00,95.02,one_swing_break,0.4228214285714387,4.179069178139936,6.371484078046986,-0.2601571078638323,2.5833333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,4,2015-04
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-05-06 02:00:00,2015-05-06 03:00:00,134.46,133.94125,2015-05-07 10:00:00,135.03,one_swing_break,0.5187500000000114,1.0987951807228544,2.9301204819276117,-0.4240963855421572,1.2916666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,5,2015-05
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-05-08 08:00:00,2015-05-08 09:00:00,130.261,129.57508928571428,2015-05-08 12:00:00,129.57508928571428,initial_stop,0.6859107142857113,-1.0,0.1720340527453008,-1.6824347192210585,0.125,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,5,2015-05
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-05-14 05:00:00,2015-05-14 06:00:00,135.51,135.0475,2015-05-15 07:00:00,135.99,one_swing_break,0.4624999999999772,1.0378378378379285,1.9027027027027863,-0.4756756756756966,1.0416666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,5,2015-05
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-05-14 06:00:00,2015-05-14 07:00:00,17.225,17.044642857142858,2015-05-15 01:00:00,17.342,one_swing_break,0.1803571428571437,0.6487128712871106,1.8906930693069075,-0.6764356435643524,0.75,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,5,2015-05
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-05-25 07:00:00,2015-05-25 08:00:00,188.5,187.9853571428571,2015-05-25 11:00:00,187.9853571428571,initial_stop,0.5146428571428601,-1.0,0.0777238029146267,-1.010409437890368,0.125,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,5,2015-05
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-06-16 06:00:00,2015-06-16 07:00:00,133.233,132.43514285714284,2015-06-16 11:00:00,132.43514285714284,initial_stop,0.7978571428571684,-1.0,0.0250671441360551,-1.0478066248880755,0.1666666666666666,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,6,2015-06
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-06-17 15:00:00,2015-06-17 16:00:00,133.973,133.30376785714284,2015-06-18 16:00:00,133.30376785714284,initial_stop,0.6692321428571688,-1.0,0.5648264268751071,-1.2432158390479342,1.0,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,6,2015-06
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-06-18 14:00:00,2015-06-18 15:00:00,140.21,139.43035714285716,2015-06-19 07:00:00,139.43035714285716,initial_stop,0.7796428571428464,-1.0,0.5258818140174101,-1.4878607420980463,0.6666666666666666,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,6,2015-06
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-06-22 06:00:00,2015-06-22 07:00:00,195.33,194.64964285714285,2015-06-22 12:00:00,194.64964285714285,initial_stop,0.6803571428571615,-1.0,0.279265091863506,-1.0435695538057572,0.2083333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,6,2015-06
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-08-07 01:00:00,2015-08-07 02:00:00,91.98,91.35342857142857,2015-08-11 02:00:00,91.35342857142857,initial_stop,0.6265714285714381,-1.0,1.1363429092566912,-1.2688098495211872,4.0,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,8,2015-08
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-08-13 00:00:00,2015-08-13 01:00:00,194.12,193.69660714285715,2015-08-17 12:00:00,194.32,one_swing_break,0.4233928571428578,0.472374525516632,2.361872627583294,-0.9919865035850212,4.458333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,8,2015-08
