method,trades,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
急な揺り戻し＋高値停滞,378,0.4444444444444444,98.83815004348294,0.26147658741662155,-1.0,1.470657857349919,-13.205356354805595,1.7062389770723105
急な揺り戻し＋安値停滞,337,0.39465875370919884,27.244069166728146,0.08084293521284316,-1.0,1.1335493586604322,-17.449222459934177,1.7199554896142433
V字＋高値停滞,139,0.4748201438848921,21.37419668323845,0.15377119915998883,-1.0,1.2927972148388829,-9.343675340595027,1.8129496402877698
高値停滞,84,0.39285714285714285,19.297984014256556,0.22973790493162566,-1.0,1.3783918434167952,-12.84269417685243,1.0099206349206347
値幅広めの高値停滞,1370,0.4197080291970803,17.59230258236913,0.01284109677545192,-1.0,1.0221565523707419,-113.73900512787992,1.806660583941606
安値停滞,45,0.35555555555555557,7.615424481969642,0.16923165515488092,-1.0,1.2626008442058496,-10.171645918257743,1.2249999999999999
支持線付近の安値停滞,1,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.6666666666666666
逆V字＋安値停滞,81,0.4567901234567901,-1.7690756314495089,-0.02184043989443838,-1.0,0.9597937356488747,-11.120689378258882,1.9310699588477365
抵抗線付近の高値停滞,10,0.2,-3.1276310281690316,-0.31276310281690317,-1.0,0.6090461214788712,-8.0,0.6291666666666667
レンジ抜け2回目以降のブレイクアウト,14,0.42857142857142855,-4.575362688301156,-0.3268116205929397,-1.0,0.4280796639623555,-5.324644823605489,4.395833333333333
値幅広めの安値停滞,1211,0.40627580511973577,-81.5840099977502,-0.06736912468848076,-1.0,0.8865312795580665,-91.87590442589426,1.8262455271125788
