symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-12 05:00:00,2015-01-12 06:00:00,140.1,140.725,2015-01-12 10:00:00,140.725,initial_stop,0.625,-1.0,0.01599999999998545,-1.2160000000000308,0.16666666666666666,0.76,WideStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-12 05:00:00,2015-01-12 06:00:00,179.11,179.9673214285714,2015-01-12 09:00:00,179.9673214285714,initial_stop,0.8573214285713959,-1.0,0.13997083940846722,-1.1081024786503102,0.125,0.76,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-12 12:00:00,2015-01-12 13:00:00,16.436,16.685714285714287,2015-01-13 01:00:00,16.685714285714287,initial_stop,0.2497142857142869,-1.0,0.03604118993135131,-1.2774599542333998,0.5,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-13 00:00:00,2015-01-13 01:00:00,96.084,96.95428571428572,2015-01-13 06:00:00,96.95428571428572,initial_stop,0.8702857142857141,-1.0,0.01493762311228441,-1.0352921864740603,0.20833333333333334,0.68,WideStagnation with short-mid alignment and momentum
CHFJPY,VShapeStagnation,逆V字＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-01-13 00:00:00,2015-01-13 01:00:00,116.176,116.854125,2015-01-13 05:00:00,116.854125,initial_stop,0.6781249999999943,-1.0,0.08700460829492791,-1.06175115207374,0.16666666666666666,0.9,VShapeStagnation with short-mid alignment and momentum
EURJPY,VShapeStagnation,逆V字＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-01-13 00:00:00,2015-01-13 01:00:00,139.56,140.32232142857143,2015-01-13 05:00:00,140.32232142857143,initial_stop,0.7623214285714255,-1.0,0.15741391426564258,-1.06254392129305,0.16666666666666666,0.9,VShapeStagnation with short-mid alignment and momentum
GBPJPY,VShapeStagnation,逆V字＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-01-13 00:00:00,2015-01-13 01:00:00,178.82,179.75160714285713,2015-01-13 05:00:00,179.75160714285713,initial_stop,0.931607142857132,-1.0,0.15027793751196716,-1.1700210849147192,0.16666666666666666,0.9,VShapeStagnation with short-mid alignment and momentum
CHFJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-13 16:00:00,2015-01-13 17:00:00,115.899,116.63976785714286,2015-01-15 00:00:00,115.373,one_swing_break,0.7407678571428562,0.710074006219411,2.460959911288975,-0.010799604657323537,1.2916666666666667,0.76,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-13 16:00:00,2015-01-13 17:00:00,139.18,140.0657142857143,2015-01-15 00:00:00,138.51,one_swing_break,0.8857142857143003,0.7564516129032313,2.472580645161247,0.0,1.2916666666666667,0.76,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-13 17:00:00,2015-01-13 18:00:00,96.281,96.89474999999999,2015-01-14 17:00:00,95.453,one_swing_break,0.6137499999999818,1.3490835030550345,3.3091649694502094,-0.12057026476578454,0.9583333333333334,0.68,WideStagnation with short-mid alignment and momentum
GBPJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-13 18:00:00,2015-01-13 19:00:00,178.35,180.18232142857144,2015-01-16 06:00:00,176.82,one_swing_break,1.832321428571447,0.8350063346652294,1.3916772244420388,-0.6494493714062879,2.4583333333333335,0.76,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-15 09:00:00,2015-01-15 10:00:00,137.01,138.83160714285717,2015-01-16 04:00:00,135.44,one_swing_break,1.8216071428571752,0.8618762866385458,1.2681109695127717,-0.2689932359572593,0.75,0.68,WideStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-01-15 09:00:00,2015-01-15 10:00:00,1237.381,1225.1834285714285,2015-01-16 05:00:00,1257.112,one_swing_break,12.197571428571564,1.6176170900530367,2.404659007062261,-0.7293255097619035,0.7916666666666666,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-01-16 13:00:00,2015-01-16 14:00:00,17.124,16.854875,2015-01-21 15:00:00,18.077,one_swing_break,0.26912499999999895,3.541105434277777,4.990246168137502,-0.10404087320018134,5.041666666666667,0.68,WideStagnation with short-mid alignment and momentum
