timeframe,symbol,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_losing_streak,avg_hold_days
H1,EURJPY,620,269,351,43.38709677419355,47.1003169680741,0.07596825317431306,-1.0,1.1345723341944973,12,1.6377016129032258
H1,XAUUSD,599,240,359,40.06677796327212,36.658046794088975,0.06119874256108343,-1.0,1.1021115509584651,9,1.76940734557596
H4,EURJPY,293,128,165,43.68600682593857,29.96764510020537,0.10227865221913096,-1.0,1.181622091516396,7,4.543799772468715
H1,AUDJPY,626,269,357,42.97124600638978,20.372957139754725,0.0325446599676593,-1.0,1.0570671068340467,14,2.0246272630457933
H4,CHFJPY,245,109,136,44.48979591836735,16.794978560592597,0.06855093290037795,-1.0,1.123492489416122,7,5.033333333333332
D1,XAUUSD,48,22,26,45.83333333333333,8.744174810852908,0.18217030855943558,-1.0,1.3363144158020348,4,20.083333333333332
H1,GBPJPY,662,279,383,42.14501510574018,7.333915854075228,0.011078422740294906,-1.0,1.0191486053631207,10,1.5945367573011076
D1,GBPJPY,51,19,32,37.254901960784316,4.306613194734306,0.08444339597518247,-1.0,1.138923006281752,6,17.745098039215687
H1,CHFJPY,599,262,337,43.73956594323873,1.1365870977423072,0.001897474286715037,-1.0,1.0033726620111048,9,1.903311074012243
D1,XAGUSD,51,18,33,35.294117647058826,-0.29598962261711037,-0.0058037180905315755,-1.0,0.9910306174964513,6,17.764705882352942
H4,GBPJPY,320,132,188,41.25,-2.7475737102024844,-0.008586167844382764,-1.0,0.9853852462223274,9,4.511979166666666
H4,XAGUSD,278,97,181,34.89208633093525,-3.7252975033661526,-0.013400350731532923,-1.0,0.979418245837756,13,4.551558752997602
D1,CHFJPY,44,17,27,38.63636363636363,-4.861184146140422,-0.11048145786682778,-1.0,0.81995614273554,4,19.34090909090909
D1,AUDJPY,45,17,28,37.77777777777778,-7.133410393463284,-0.15852023096585074,-1.0,0.7359064420260055,5,17.68888888888889
D1,EURJPY,53,20,33,37.735849056603776,-12.185084012729105,-0.22990724552319067,-1.0,0.6192161246022153,6,14.528301886792454
H1,XAGUSD,564,209,355,37.05673758865248,-12.695776227360383,-0.02251024153787302,-1.0,0.9642372500637735,10,1.7550236406619386
H4,XAUUSD,320,128,192,40.0,-19.581662497470397,-0.06119269530459499,-1.0,0.8980121744923416,10,4.5125
H4,AUDJPY,283,100,183,35.3356890459364,-26.76895593897607,-0.09458995031440308,-1.0,0.8537215522460323,10,4.6931684334511194
