timeframe,symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month
D1,EURJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-12 00:00:00,2015-01-13 00:00:00,139.99,141.93589285714285,2015-02-03 00:00:00,134.78,one_swing_break,1.9458928571428373,2.6774341561898085,5.061943654216821,-0.2518124254381866,21.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-01
D1,CHFJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-01-13 00:00:00,2015-01-14 00:00:00,115.533,117.55835714285715,2015-01-15 00:00:00,117.55835714285715,initial_stop,2.025357142857146,-1.0,0.7193792981837446,-16.591641685769677,1.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-01
D1,GBPJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2015-01-15 00:00:00,2015-01-16 00:00:00,176.26,178.43428571428572,2015-01-20 00:00:00,178.43428571428572,initial_stop,2.1742857142857304,-1.0,0.18396846254926544,-1.8304862023653037,4.0,0.85,"range first breakout failed, second breakout triggered",2015,2015-01
D1,XAUUSD,KeyLevelStagnation,抵抗線付近の高値停滞,高安値停滞,long,買い,2015-01-15 00:00:00,2015-01-16 00:00:00,1261.979,1220.8637857142858,2015-02-11 00:00:00,1220.8637857142858,initial_stop,41.11521428571427,-1.0,1.106524696280311,-1.1061598678278644,26.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-01
D1,XAGUSD,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-01-16 00:00:00,2015-01-18 00:00:00,17.819,16.427232142857143,2015-02-17 00:00:00,16.427232142857143,initial_stop,1.391767857142856,-1.0,0.46559488831008883,-1.101476795955811,30.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-01
D1,AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-01-30 00:00:00,2015-02-01 00:00:00,90.676,94.97939285714286,2015-04-02 00:00:00,90.723,max_hold,4.303392857142853,-0.010921615004771306,0.3039462218349328,-0.9267106518942702,60.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-02
D1,XAUUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2015-02-17 00:00:00,2015-02-18 00:00:00,1209.354,1231.7304285714285,2015-03-18 00:00:00,1171.638,one_swing_break,22.376428571428505,1.685523669677924,2.9761228333386636,-0.6182845468764998,28.0,0.85,"range first breakout failed, second breakout triggered",2015,2015-02
D1,CHFJPY,SimpleStagnation,安値停滞,高安値停滞,short,売り,2015-02-18 00:00:00,2015-02-19 00:00:00,125.987,128.20992857142858,2015-03-18 00:00:00,122.376,post_bonus_counter_move,2.2229285714285822,1.6244336621573734,2.738279618264176,-0.44490858262909266,27.0,0.65,SimpleStagnation with short-mid alignment and momentum,2015,2015-02
D1,EURJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-03-10 00:00:00,2015-03-11 00:00:00,129.6,132.02142857142857,2015-04-16 00:00:00,128.02,one_swing_break,2.421428571428578,0.6525073746312601,1.4536873156342127,-0.7929203539823053,36.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-03
D1,XAGUSD,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-03-10 00:00:00,2015-03-11 00:00:00,15.66,16.050857142857144,2015-03-18 00:00:00,16.050857142857144,initial_stop,0.39085714285714346,-1.0,0.9875730994152058,-1.1410818713450313,7.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-03
D1,AUDJPY,SimpleStagnation,高値停滞,高安値停滞,long,買い,2015-04-27 00:00:00,2015-04-28 00:00:00,93.698,92.33435714285714,2015-05-19 00:00:00,95.575,one_swing_break,1.3636428571428496,1.3764601120947189,2.635587449583594,-0.09166623016080927,21.0,0.65,SimpleStagnation with short-mid alignment and momentum,2015,2015-04
D1,GBPJPY,KeyLevelStagnation,抵抗線付近の高値停滞,高安値停滞,long,買い,2015-04-27 00:00:00,2015-04-28 00:00:00,181.32,179.33178571428573,2015-06-28 00:00:00,192.3,one_swing_break,1.988214285714264,5.522543560265922,7.2829171905874786,-0.32189689240164926,61.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-04
D1,CHFJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-05-06 00:00:00,2015-05-07 00:00:00,130.247,127.41769642857143,2015-06-10 00:00:00,131.82,one_swing_break,2.829303571428582,0.5559672054581737,1.54454970619977,-0.7284478133816371,34.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-05
D1,EURJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-05-06 00:00:00,2015-05-07 00:00:00,135.39,132.75982142857143,2015-06-10 00:00:00,138.96,one_swing_break,2.6301785714285586,1.3573222893611392,2.140539072577927,-0.8782673637042513,34.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-05
D1,XAGUSD,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-06-23 00:00:00,2015-06-24 00:00:00,15.831,16.32317857142857,2015-07-29 00:00:00,14.846,one_swing_break,0.49217857142857113,2.0013061461432406,2.9664030186488644,-0.4246426239024739,35.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-06
D1,AUDJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-07-08 00:00:00,2015-07-09 00:00:00,89.704,92.69589285714285,2015-08-24 00:00:00,85.298,post_bonus_counter_move,2.991892857142858,1.4726463180260911,2.548219593425087,-0.9986988647893709,46.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-07
D1,XAUUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2015-07-17 00:00:00,2015-07-19 00:00:00,1133.469,1152.5311428571429,2015-08-10 00:00:00,1105.758,one_swing_break,19.062142857142817,1.453719039232589,3.2929666129576245,0.0,22.0,0.85,"range first breakout failed, second breakout triggered",2015,2015-07
D1,XAGUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-08-03 00:00:00,2015-08-04 00:00:00,14.472,15.060357142857143,2015-08-10 00:00:00,15.060357142857143,initial_stop,0.5883571428571432,-1.0,0.16486584921694702,-1.572174335316256,6.0,0.76,WideStagnation with short-mid alignment and momentum,2015,2015-08
D1,CHFJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-08-04 00:00:00,2015-08-05 00:00:00,127.06,128.74369642857144,2015-08-20 00:00:00,128.74369642857144,initial_stop,1.6836964285714373,-1.0,0.6058099207738021,-1.0714520559568084,15.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-08
D1,AUDJPY,SimpleStagnation,安値停滞,高安値停滞,short,売り,2015-09-01 00:00:00,2015-09-02 00:00:00,83.922,87.70989285714286,2015-10-09 00:00:00,87.70989285714286,initial_stop,3.7878928571428645,-1.0,0.4770462281140095,-1.1637076776571953,37.0,0.65,SimpleStagnation with short-mid alignment and momentum,2015,2015-09
D1,GBPJPY,KeyLevelStagnation,支持線付近の安値停滞,高安値停滞,short,売り,2015-09-01 00:00:00,2015-09-02 00:00:00,183.16,187.82428571428574,2015-09-17 00:00:00,187.82428571428574,initial_stop,4.6642857142857395,-1.0,0.5895865237365971,-1.0912710566615569,15.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2015,2015-09
