feature,bin,trades,win_rate,total_r,avg_r,pf
retrace,"(-0.001, 0.382]",8,25.0,-2.635242023010734,-0.32940525287634176,0.5758049726227491
retrace,"(0.382, 0.5]",1,0.0,-1.0376410087760528,-1.0376410087760528,0.0
retrace,"(0.5, 0.618]",4,25.0,-2.4351224992602467,-0.6087806248150617,0.25001747496550564
retrace,"(0.618, 0.764]",6,50.0,0.09326641895267351,0.015544403158778919,1.0294278919212418
retrace,"(0.764, 0.886]",2,0.0,-2.12597387175213,-1.062986935876065,0.0
retrace,"(0.886, 2.0]",1,100.0,0.9331904213935546,0.9331904213935546,inf
score,"(-0.001, 5.0]",3,33.33333333333333,-1.1749368060846468,-0.3916456020282156,0.44266323646408295
score,"(5.0, 6.0]",8,50.0,1.1274564304981654,0.14093205381227067,1.2686371798612504
score,"(6.0, 7.0]",2,50.0,-0.06063654959079068,-0.03031827479539534,0.9410924258217799
score,"(7.0, 8.0]",3,0.0,-3.045491887098562,-1.0151639623661872,0.0
score,"(8.0, 10.0]",6,16.666666666666664,-4.053913750177101,-0.6756522916961836,0.2509755969640953
planned_rr,"(-0.001, 1.0]",3,33.33333333333333,-1.1573269102707808,-0.38577563675692694,0.44639209982086514
planned_rr,"(1.0, 1.5]",17,29.411764705882355,-7.642195717136138,-0.4495409245374199,0.3969015114472926
planned_rr,"(2.0, 3.0]",2,50.0,1.592000064953983,0.7960000324769915,2.5454743239108915
trendline_slope_atr,"(-0.001, 0.05]",6,33.33333333333333,-2.278659890319753,-0.37977664838662545,0.45776704724709955
trendline_slope_atr,"(0.05, 0.12]",7,28.57142857142857,-1.634914995904918,-0.233559285129274,0.6851420232403804
trendline_slope_atr,"(0.12, 0.25]",4,25.0,-2.429404547320702,-0.6073511368301755,0.2504585441161678
trendline_slope_atr,"(0.25, 99.0]",5,40.0,-0.8645431289075625,-0.1729086257815125,0.7260704502763997
signal_body_ratio,"(0.25, 0.45]",2,50.0,-0.21361400481637782,-0.10680700240818891,0.791676811964023
signal_body_ratio,"(0.45, 0.65]",6,33.33333333333333,-0.28031873246941164,-0.04671978874490194,0.9342093435126522
signal_body_ratio,"(0.65, 1.0]",14,28.57142857142857,-6.713589825167146,-0.47954213036908183,0.3609763570498237
