feature,bin,trades,win_rate,total_r,avg_r,pf
retrace,"(-0.001, 0.5]",40,42.5,-4.278351201125074,-0.10695878002812684,0.8333858624300987
retrace,"(0.5, 0.618]",39,43.58974358974359,3.0994365998250526,0.07947273332884751,1.1260241693230841
retrace,"(0.618, 0.764]",83,48.19277108433735,7.704656689842748,0.09282718903424998,1.1653131410658661
retrace,"(0.764, 0.886]",35,57.14285714285714,16.703502574354793,0.4772429306958512,2.2600584509788653
planned_rr,"(-0.001, 1.2]",41,63.41463414634146,10.034409037668926,0.24474168384558356,1.629629013148707
planned_rr,"(1.2, 1.6]",74,51.35135135135135,9.445723916912803,0.12764491779611895,1.2650043069424108
planned_rr,"(1.6, 2.2]",47,34.04255319148936,-7.004036918569243,-0.14902206209721794,0.7954693538084615
planned_rr,"(2.2, 3.5]",34,41.17647058823529,11.93370060005999,0.35099119411941143,1.5159607141801297
planned_rr,"(3.5, 99.0]",1,0.0,-1.1805519731749536,-1.1805519731749536,0.0
adjust_bars,"(12.0, 24.0]",9,55.55555555555556,1.2160319512170306,0.13511466124633673,1.2801095654053258
adjust_bars,"(24.0, 48.0]",114,41.228070175438596,-1.3507699767717611,-0.011848859445366325,0.980880760931272
adjust_bars,"(48.0, 9999.0]",73,57.534246575342465,24.405429784195,0.3343209559478767,1.7156543103515156
adjust_bars,"(5.0, 12.0]",1,0.0,-1.041447095742752,-1.041447095742752,0.0
trendline_slope_atr,"(-0.001, 0.05]",17,47.05882352941176,-1.0442076749195222,-0.06142398087761895,0.9018560538349703
trendline_slope_atr,"(0.05, 0.12]",49,61.224489795918366,18.93673759464507,0.3864640325437769,1.8942979673565665
trendline_slope_atr,"(0.12, 0.25]",69,39.130434782608695,-10.9793755865831,-0.15912138531279854,0.7573622186322118
trendline_slope_atr,"(0.25, 0.5]",52,44.230769230769226,7.972794042374341,0.15332296235335272,1.2779382706281783
trendline_slope_atr,"(0.5, 99.0]",10,60.0,8.343296287380726,0.8343296287380726,2.902829706500237
body_ratio,"(-0.001, 0.25]",8,75.0,5.7414965800865865,0.7176870725108233,3.617632517890961
body_ratio,"(0.25, 0.45]",21,19.047619047619047,-12.682054284577687,-0.6039073468846518,0.3137571224860445
body_ratio,"(0.45, 0.65]",44,63.63636363636363,22.771095634646773,0.5175249007874266,2.30604686920228
body_ratio,"(0.65, 1.0]",124,45.16129032258064,7.3987067327418465,0.059666989780176184,1.102722980033592
