filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
context,fixed_2R,2184,40.33882783882784,26.18962910871153,0.011991588419739711,1.0216061857238985,64.10135932347559,15,2.0,2.0,64.8415750915751,23.305860805860807
context,fixed_1_5R,2216,44.04332129963899,9.373314369595615,0.004229835004330151,1.0081546555183687,49.185926512853634,15,1.5,1.5,58.14936823104693,31.904332129963898
diag_break,half_wave,75,48.0,6.8657515228408315,0.09154335363787776,1.164480800180403,12.1590892225791,4,1.6526043105008252,1.379934933699006,36.13333333333333,46.666666666666664
context,half_wave,36,47.22222222222222,4.827229684192625,0.13408971344979514,1.2506867554708163,5.451679969741699,3,1.778889471740349,1.4216919314712602,42.25,44.44444444444444
strict_synapse,half_wave,1,0.0,-1.064126977102418,-1.064126977102418,0.0,0.0,1,1.2119998672367565,1.2119998672367565,22.0,0.0
basic_role,half_wave,219,48.858447488584474,-6.780604302910032,-0.03096166348360745,0.9434180308724407,18.143536482366414,6,1.2258423995918892,1.0244499193904544,27.616438356164384,48.401826484018265
strict_synapse,fixed_2R,370,39.729729729729726,-13.40369657980778,-0.03622620697245346,0.927481421539716,21.431476943564213,15,2.0,2.0,75.80540540540541,15.675675675675677
strict_synapse,fixed_1_5R,372,42.473118279569896,-14.305251338463535,-0.03845497671629983,0.9207097154210123,19.6717353077447,15,1.5000000000000002,1.5,69.68010752688173,25.268817204301076
diag_break,fixed_2R,4338,39.810972798524666,-40.53433911442821,-0.00934401547128359,0.983482195757633,141.9235202419561,15,2.0,2.0,64.74158598432457,23.167358229598893
observe_loose,half_wave,1204,54.568106312292365,-85.47127235464608,-0.07098942886598511,0.8523343824721754,96.71088341403507,10,0.8998912524302622,0.7274273241246935,23.055647840531563,54.40199335548173
basic_role,fixed_2R,8108,39.726196349284656,-88.48587825083754,-0.01091340382965436,0.980732795955771,292.49700597012225,28,2.0,2.0,65.14294523926986,22.915638875185003
diag_break,fixed_1_5R,4430,43.02483069977427,-127.14197065607527,-0.02870021910972354,0.9463079069276127,169.74019422138014,14,1.4999999999999987,1.5,58.5234762979684,30.90293453724605
observe_loose,fixed_2R,10366,39.98649430831564,-149.96682943810126,-0.014467184009077875,0.9739996544830218,328.8284210147233,35,2.0,2.0,68.05238278989002,21.763457457071194
observe_loose,fixed_1_5R,10875,43.54942528735632,-195.09788053827612,-0.01794003499202539,0.9657576301904498,349.8755532700359,28,1.4999999999999996,1.5,61.21416091954023,30.519540229885056
basic_role,fixed_1_5R,8393,43.19075419992851,-216.6354967905084,-0.025811449635471034,0.9516404061601936,339.59207817324545,24,1.5,1.5,58.658882402001666,31.049684260693432
