sample,timeframe,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
IS_2014_2024,M15,basic_role,fixed_2R,1653,40.653357531760435,63.71641533432754,0.03854592579209168,1.0695337338186133,72.04621453522716,12,2.0,2.0,60.30006049606776,25.287356321839084
IS_2014_2024,H1,basic_role,fixed_2R,537,43.20297951582867,57.88099097134059,0.10778583048666776,1.200644145146627,22.348547115386424,7,2.0,2.0,47.2364990689013,27.188081936685286
IS_2014_2024,H1,basic_role,fixed_1_5R,559,47.04830053667263,49.96045114000508,0.08937468898033109,1.1786696568050343,16.536011123330432,7,1.5000000000000002,1.5,40.944543828264756,36.314847942754916
IS_2014_2024,H1,diag_break,fixed_2R,315,43.17460317460318,43.03983576368121,0.13663439924978163,1.2567684413959066,20.601216184870303,9,2.0,2.0,46.72063492063492,29.523809523809526
IS_2014_2024,H1,observe_loose,fixed_2R,688,40.98837209302326,33.7605298021564,0.0490705375031343,1.0897458717249533,32.41516180638143,8,2.0,2.0,49.35610465116279,23.546511627906977
IS_2014_2024,M15,diag_break,fixed_2R,887,40.92446448703495,28.631980180114887,0.03227957179268871,1.0585798200033973,44.47807814588534,10,2.0,2.0,59.871476888387825,24.46448703494927
IS_2014_2024,H1,diag_break,fixed_1_5R,322,46.273291925465834,27.917271396114263,0.0866996006090505,1.1738086063954531,18.51397305154649,9,1.5000000000000004,1.5,41.65217391304348,36.024844720496894
OOS_2025_2026,M15,observe_loose,fixed_1_5R,266,46.99248120300752,27.620146322534957,0.10383513655088329,1.2124606947604035,14.067087455837713,7,1.5000000000000022,1.5,59.02255639097744,35.338345864661655
IS_2014_2024,H1,observe_loose,fixed_1_5R,729,44.58161865569273,27.263181777647777,0.03739805456467459,1.0732952781500156,18.2923691698155,8,1.5,1.5,43.84910836762688,32.78463648834019
OOS_2025_2026,M15,observe_loose,fixed_2R,256,42.578125,22.89083433788312,0.08941732163235594,1.1684722887704428,12.639321539624222,7,2.0,2.0,65.78515625,23.4375
IS_2014_2024,M15,observe_loose,fixed_2R,2078,40.038498556304134,19.916948632936492,0.009584672104396771,1.0173525496126503,98.57724388952994,18,2.0,2.0,63.34793070259865,23.243503368623678
IS_2014_2024,H1,context,fixed_2R,191,41.8848167539267,19.3661855307245,0.1013936415221178,1.1861498906137582,11.756804684515748,7,2.0,2.0,46.303664921465966,28.79581151832461
