symbol,timeframe,filter,filter_description,structure,entry_mode,direction,signal_time,close,a_level,b_level,trendline,trendline_slope_atr,trigger_level,b_cross,diag_now,retrace,wave1_atr,wave1_bars,adjust_bars,adjust_ratio,right_shoulder_ok,momentum_ok,ema_ok,upper_align,upper_oppose,upper_context,signal_body_ratio,chase_atr,mid_recovery,stop,target_half,half_target_ahead,pivots,pivot_count,entry_i,entry_time,entry,target,target_model,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,is_oos
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2016-08-11 17:00:00,78.502,78.677,78.416,77.68519999999997,-0.16593622312544765,78.416,True,True,0.3820689655172408,6.9140092968934255,23,8,0.34782608695652173,True,False,True,0,1,D1逆,0.5677966101694536,0.2733815170265845,0.789410348977123,77.78308426163161,78.93350000000001,True,4019-4042-4045-4047-4050,5,4062,2016-08-11 21:00:00,78.502,78.93350000000001,half_wave,0.6002094222882466,4066,2016-08-12 13:00:00,77.78308426163161,SL,4,0.7189157383683806,-1.0,-1.0166918031690824,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2019-02-14 18:00:00,78.5,77.442,78.56,78.80304347826088,0.1843448574537275,78.56,True,True,0.7485428809325566,9.109406077717843,18,25,1.3888888888888888,False,False,False,1,0,D1順,0.36144578313255077,0.22754553066739847,0.41156840934371197,79.2927366982986,78.03899999999999,True,7909-7927-7945-7950-7952,5,7956,2019-02-14 22:00:00,78.5,78.03899999999999,half_wave,0.5815297828262891,7972,2019-02-19 14:00:00,79.2927366982986,SL,16,0.7927366982985973,-1.0,-1.01513743469396,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2019-08-29 01:00:00,71.228,69.964,71.263,73.04912500000002,0.5600205917929953,71.263,True,True,0.8258845437616407,7.408309352864332,4,10,2.5,True,False,True,1,0,D1順,0.8846153846153825,0.12071267567520115,0.287485907553554,72.13398893911386,70.664,True,8768-8772-8777-8780-8782,5,8792,2019-08-29 05:00:00,71.228,70.664,half_wave,0.6225241563673298,8817,2019-09-04 09:00:00,72.13398893911386,SL,25,0.9059889391138682,-1.0,-1.0132451948163268,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2020-02-11 14:00:00,73.71,74.391,73.674,73.13625,-0.21444843936099486,73.674,True,True,0.6421386977236642,6.779800869504974,13,15,1.1538461538461537,True,False,False,0,1,D1逆,0.11627906976741592,0.12920742789946568,0.43858202802967267,72.99027564949596,74.1225,True,9456-9469-9478-9481-9484,5,9491,2020-02-11 18:00:00,73.71,74.1225,half_wave,0.5731360898253983,9494,2020-02-12 06:00:00,74.1225,TP,3,0.7197243505040376,0.5731360898253983,0.5564630399395682,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2020-03-12 05:00:00,66.774,64.323,67.059,70.099,0.36496166207549396,67.059,True,True,0.6290822072072072,8.528577787448388,13,14,1.0769230769230769,True,False,True,1,0,D1順,0.7719298245614186,0.342151558195771,0.4515551577534117,69.154592840613,65.24,True,9588-9601-9609-9610-9615,5,9621,2020-03-12 09:00:00,66.774,65.24,half_wave,0.6443773054467389,9623,2020-03-12 17:00:00,65.24,TP,2,2.380592840613005,0.6443773054467389,0.6393365442568033,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,B_confirmed,short,2020-09-10 17:00:00,77.026,76.118,77.046,74.88159999999999,-0.35309613719320065,77.046,True,False,0.8566753926701615,4.800096954014307,4,5,1.25,True,False,False,0,1,D1逆,0.5637583892617629,0.06282849416252283,0.30634071810542923,77.49066538070538,76.66300000000001,True,10382-10388-10392-10397-10400,5,10404,2020-09-10 21:00:00,77.026,76.66300000000001,half_wave,0.781207326977823,10406,2020-09-11 05:00:00,77.49066538070538,SL,2,0.46466538070538377,-1.0,-1.0258250356025747,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2022-05-18 13:00:00,89.866,87.307,90.351,91.36566666666667,0.26557424011416964,90.351,True,True,0.8666517256835503,7.007181560121448,6,20,3.3333333333333335,True,False,True,0,1,D1逆,0.6413867822318501,0.7616501695784168,0.3382467028704436,91.30135505600123,88.94300000000001,True,12994-13000-13017-13018-13020,5,13025,2022-05-18 17:00:00,89.866,88.94300000000001,half_wave,0.6430464686357004,13070,2022-05-30 05:00:00,91.30135505600123,SL,45,1.435355056001228,-1.0,-1.0083603007839965,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2023-05-05 01:00:00,90.239,92.438,90.123,89.15841666666667,-0.4116128099922245,90.123,True,True,0.8201402805611215,8.517451425428753,13,14,1.0769230769230769,True,False,True,0,0,D1中立,0.6828703703703709,0.2475010935244818,0.32834453268173563,89.07026304041884,91.16,True,14497-14510-14520-14522-14524,5,14528,2023-05-05 05:00:00,90.239,91.16,half_wave,0.7880301828822501,14532,2023-05-07 21:00:00,91.16,TP,4,1.1687369595811674,0.7880301828822501,0.7777626886427415,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,long,2023-06-21 13:00:00,96.418,97.419,96.368,97.08857142857141,-0.085808148389062,96.368,True,False,0.6829109811565958,7.193861343154459,13,10,0.7692307692307693,False,False,True,1,0,D1順,0.9477234401349216,0.11685934605516711,0.4015223596574723,95.48842704124597,97.113,True,14699-14712-14713-14719-14722-14725,6,14729,2023-06-21 17:00:00,96.418,97.113,half_wave,0.7476551393357486,14739,2023-06-23 09:00:00,95.48842704124597,SL,10,0.9295729587540364,-1.0,-1.0129091534849344,False
AUDJPY,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2014-01-13 18:00:00,93.2535,93.039,93.275,93.51100000000001,0.184191250559689,93.275,True,True,1.033480732785848,2.470972454542222,11,6,0.5454545454545454,True,False,True,1,0,D1順,0.6377079482439942,0.06712054045820048,0.7377750611246925,93.92106384648643,93.46125,False,28-39-42-43-45,5,48,2014-01-13 22:00:00,93.2535,92.25215423027035,fixed_1_5R,1.5000000000000107,60,2014-01-15 22:00:00,92.25215423027035,TP,12,0.6675638464864306,1.5000000000000107,1.4820241912992254,False
