filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
observe_loose,fixed_1_5R,204,49.50980392156863,29.90900096771572,0.14661274984174372,1.3374169824717894,8.7745511150612,6,1.4999999999999998,1.5,33.431372549019606,33.33333333333333
observe_loose,fixed_2R,194,45.36082474226804,19.42409203721719,0.10012418575885149,1.2102258819109095,10.291716222157397,6,2.0,2.0,37.76288659793814,19.072164948453608
basic_role,fixed_1_5R,162,46.913580246913575,11.56534700232196,0.07139103087853062,1.146394957391489,10.191465227130827,10,1.5,1.5,30.506172839506174,32.098765432098766
diag_break,fixed_2R,90,46.666666666666664,9.326731516331062,0.10363035018145625,1.2085238492902786,10.638563098274041,9,2.0,2.0,32.077777777777776,23.333333333333332
basic_role,fixed_2R,160,42.5,4.843619458437139,0.030272621615232122,1.0570358913970148,15.712403913470888,12,2.0,2.0,33.975,20.625
context,fixed_2R,61,50.81967213114754,4.318626570443469,0.0707971568925159,1.1584428240212947,9.297485279976808,7,2.0,2.0,37.18032786885246,16.39344262295082
observe_loose,half_wave,9,66.66666666666666,2.737911642434382,0.30421240471493133,2.2916474001713505,1.0130407653261924,1,0.8979764149231089,0.6463410714298836,16.333333333333332,66.66666666666666
context,fixed_1_5R,61,52.459016393442624,2.7190500956539916,0.044574591732032647,1.103642101619598,10.906388263307363,7,1.5000000000000007,1.5,34.68852459016394,24.59016393442623
basic_role,half_wave,3,66.66666666666666,2.463937988223562,0.8213126627411874,29.17024994407981,0.0,1,1.3877138007607053,1.5865536192667138,28.0,66.66666666666666
diag_break,fixed_1_5R,91,47.25274725274725,2.3162489632913568,0.025453285310894032,1.0525767606342686,11.73340907014326,9,1.5000000000000009,1.5,30.142857142857142,29.67032967032967
context,half_wave,2,50.0,1.4998502383839574,0.7499251191919787,18.147816339495538,0.0,1,1.592293584796944,1.592293584796944,30.5,50.0
diag_break,half_wave,2,50.0,1.4998502383839574,0.7499251191919787,18.147816339495538,0.0,1,1.592293584796944,1.592293584796944,30.5,50.0
strict_synapse,fixed_2R,13,46.15384615384615,-0.8336896042326285,-0.06412996955635604,0.8497100521885268,3.5186114268013475,5,2.0,2.0,46.69230769230769,0.0
strict_synapse,fixed_1_5R,13,46.15384615384615,-0.9503770517315357,-0.07310592705627197,0.8286747048532237,3.5186114268013475,5,1.499999999999999,1.5,45.23076923076923,7.6923076923076925
