structure,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
ihs_5pivot,observe_loose,fixed_1_5R,150,48.66666666666667,17.636171867031646,0.11757447911354431,1.263894698564098,6.801985284501233,6,1.4999999999999996,1.5,33.666666666666664,32.0
ihs_5pivot,observe_loose,fixed_2R,144,45.13888888888889,10.91627009641638,0.07580743122511374,1.1583886325111015,9.255730256004265,6,2.0,2.0,37.49305555555556,18.75
role_ab_5pivot,observe_loose,fixed_1_5R,38,55.26315789473685,9.819596325272862,0.2584104296124437,1.6416837001693356,5.512077159543912,4,1.5000000000000007,1.5,30.44736842105263,39.473684210526315
role_ab_5pivot,basic_role,fixed_1_5R,50,52.0,9.076693308075413,0.18153386616150827,1.404010194263066,7.2232686826382775,7,1.5000000000000007,1.5,25.58,38.0
role_ab_5pivot,diag_break,fixed_2R,25,56.00000000000001,7.3741992807931735,0.29496797123172697,1.7237153395196207,3.9696470134806088,3,2.0,2.0,30.28,28.000000000000004
role_ab_5pivot,observe_loose,fixed_2R,33,51.515151515151516,6.847584078953222,0.20750254784706734,1.4795028394758452,4.4951767283213,4,2.0,2.0,38.42424242424242,18.181818181818183
ihs_5pivot,basic_role,fixed_2R,98,43.87755102040816,6.160336080670025,0.06286057225173496,1.123650417959469,11.674361156149281,8,2.0,2.0,35.87755102040816,20.408163265306122
ihs_5pivot,basic_role,fixed_1_5R,99,46.464646464646464,4.461252060492616,0.04506315212618804,1.0917348877326474,10.53480126649334,8,1.5000000000000002,1.5,33.16161616161616,29.292929292929294
ihs_5pivot,diag_break,fixed_2R,58,44.827586206896555,4.417189405442659,0.07615843802487342,1.1470750429049306,10.984987755610899,9,2.0,2.0,33.06896551724138,22.413793103448278
ihs_5pivot,context,fixed_2R,43,48.837209302325576,4.303578998274999,0.10008323251802322,1.2081436674094712,7.091626430552387,7,2.0,2.0,35.906976744186046,20.930232558139537
role_ab_5pivot,diag_break,fixed_1_5R,25,56.00000000000001,4.14860884996372,0.16594435399854882,1.407150898431193,3.9696470134806088,3,1.500000000000001,1.5,27.2,36.0
ihs_5pivot,context,fixed_1_5R,43,51.162790697674424,2.9295929543150034,0.06813006870500007,1.1490560015837914,8.201949245125137,7,1.500000000000002,1.5,33.25581395348837,27.906976744186046
classic_6pivot,observe_loose,fixed_1_5R,16,43.75,2.453232775411216,0.153327048463201,1.3769641714868754,2.5815354225284186,4,1.4999999999999996,1.5,38.3125,31.25
role_ab_5pivot,basic_role,fixed_2R,48,43.75,1.988151860073831,0.041419830418204816,1.0778899450073525,8.706368251415649,9,2.0,2.0,31.645833333333332,20.833333333333336
classic_6pivot,observe_loose,fixed_2R,17,35.294117647058826,1.6602378618475906,0.09766105069691709,1.18056056602001,2.7066849262710426,3,2.0,2.0,38.76470588235294,23.52941176470588
role_ab_5pivot,context,fixed_2R,13,61.53846153846154,1.5795437324774653,0.1215033640367281,1.385906640552054,1.8363234044750438,1,2.0,2.0,38.69230769230769,7.6923076923076925
role_ab_5pivot,observe_loose,half_wave,2,100.0,1.5664614955802738,0.7832307477901369,inf,0.0,0,0.7999823102532468,0.7999823102532468,13.5,100.0
ihs_5pivot,basic_role,half_wave,2,50.0,1.4998502383839574,0.7499251191919787,18.147816339495538,0.0,1,1.592293584796944,1.592293584796944,30.5,50.0
ihs_5pivot,context,half_wave,2,50.0,1.4998502383839574,0.7499251191919787,18.147816339495538,0.0,1,1.592293584796944,1.592293584796944,30.5,50.0
ihs_5pivot,diag_break,half_wave,2,50.0,1.4998502383839574,0.7499251191919787,18.147816339495538,0.0,1,1.592293584796944,1.592293584796944,30.5,50.0
ihs_5pivot,diag_break,fixed_1_5R,58,46.55172413793103,1.481195404959859,0.02553785180965274,1.0510547824844876,13.984987755610872,9,1.5000000000000009,1.5,31.275862068965516,29.310344827586203
role_ab_5pivot,context,fixed_1_5R,13,61.53846153846154,1.3539533016479808,0.1041502539729216,1.3307914553804785,1.8363234044750438,1,1.4999999999999991,1.5,35.76923076923077,23.076923076923077
ihs_5pivot,observe_loose,half_wave,7,57.14285714285714,1.1714501468541085,0.16735002097915835,1.5526476870776955,1.0130407653261924,1,0.9259747305430697,0.6463410714298836,17.142857142857142,57.14285714285714
