structure,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
ihs_5pivot,diag_break,fixed_1_5R,74,58.108108108108105,31.205176440915817,0.42169157352588943,2.0751729821715013,4.501605163257327,5,1.500000000000001,1.5,24.81081081081081,52.702702702702695
ihs_5pivot,diag_break,fixed_2R,74,52.702702702702695,30.61897585951305,0.41376994404747364,1.9495974719422353,4.501605163257327,5,2.0,2.0,31.364864864864863,36.486486486486484
ihs_5pivot,basic_role,fixed_2R,126,44.44444444444444,21.243247876150072,0.1685972053662704,1.332168958771986,13.210660741116264,6,2.0,2.0,28.658730158730158,29.365079365079367
ihs_5pivot,context,fixed_1_5R,47,53.191489361702125,16.498543269090952,0.35103283551257347,1.8280220046467899,4.053308133130272,4,1.500000000000001,1.5,25.127659574468087,51.06382978723404
ihs_5pivot,context,fixed_2R,47,44.680851063829785,12.294307570122703,0.2615810121302703,1.5311631558912944,4.947926626327637,4,2.0,2.0,31.127659574468087,31.914893617021278
ihs_5pivot,basic_role,fixed_1_5R,127,46.45669291338583,11.087348513202137,0.08730195679686722,1.1764881645383556,13.710660741116246,6,1.5000000000000004,1.5,25.677165354330707,36.22047244094488
role_ab_5pivot,observe_loose,fixed_1_5R,61,49.18032786885246,10.181819540581067,0.1669150744357552,1.3567438994411813,4.502170426733701,4,1.5000000000000004,1.5,29.83606557377049,36.0655737704918
ihs_5pivot,strict_synapse,fixed_2R,4,100.0,7.142742989712768,1.785685747428192,inf,0.0,0,2.0,2.0,36.0,75.0
ihs_5pivot,strict_synapse,fixed_1_5R,4,100.0,5.960592558480078,1.4901481396200196,inf,0.0,0,1.5000000000000013,1.5000000000000027,26.0,100.0
ihs_5pivot,observe_loose,fixed_1_5R,179,45.2513966480447,5.747383040235099,0.03210828514097821,1.0654919390135884,14.227313811495293,7,1.5,1.5,30.18435754189944,31.843575418994412
role_ab_5pivot,basic_role,fixed_1_5R,63,44.44444444444444,5.644511966196342,0.08959542803486258,1.180569928785201,8.88443358309774,7,1.5000000000000007,1.5,29.444444444444443,33.33333333333333
ihs_5pivot,observe_loose,fixed_2R,175,41.714285714285715,3.1739265994351475,0.0181367234253437,1.0344425007292744,13.592767340299073,7,2.0,2.0,33.651428571428575,21.714285714285715
classic_6pivot,strict_synapse,fixed_2R,6,50.0,2.863594884123736,0.4772658140206227,2.9677597189090337,1.0638733020000222,2,2.0,2.0,53.333333333333336,16.666666666666664
classic_6pivot,strict_synapse,fixed_1_5R,6,50.0,2.363594884123736,0.3939324806872893,2.6241776483761816,1.0638733020000222,2,1.5000000000000007,1.5,53.166666666666664,16.666666666666664
role_ab_5pivot,strict_synapse,fixed_1_5R,4,75.0,1.5043277366571255,0.3760819341642814,3.7907152304089866,0.5390473812108239,1,1.5000000000000004,1.5,50.75,25.0
classic_6pivot,observe_loose,fixed_1_5R,33,39.39393939393939,1.4319408725879006,0.04339214765417881,1.0978677116388396,3.3111127661600235,5,1.5000000000000013,1.5,36.06060606060606,24.242424242424242
classic_6pivot,observe_loose,fixed_2R,28,35.714285714285715,0.5864316622486505,0.020943987937451804,1.0415853050639352,4.1680615780569195,5,2.0,2.0,38.0,17.857142857142858
role_ab_5pivot,observe_loose,fixed_2R,57,40.35087719298245,0.5633640829422308,0.009883580402495278,1.0175034057035508,8.745928246455488,5,2.0,2.0,31.964912280701753,21.052631578947366
classic_6pivot,context,fixed_2R,7,28.57142857142857,0.23758272799521896,0.033940389713602706,1.0800193753120346,2.0226467619190682,3,2.0,2.0,43.57142857142857,14.285714285714285
classic_6pivot,observe_loose,half_wave,3,66.66666666666666,0.17732463875783144,0.05910821291927715,1.1725166167410193,0.0,1,0.6359207399610165,0.6311683614505403,10.666666666666666,66.66666666666666
role_ab_5pivot,strict_synapse,fixed_2R,4,75.0,0.015812995103025695,0.003953248775756424,1.029335074530009,0.539047381210824,1,2.0,2.0,60.0,0.0
