trades,win_rate,total_r,avg_r,pf,max_dd_r,adx_min,adjust_min,body_min,is_base
44,47.72727272727273,3.6378795083688846,0.08267907973565647,1.1862608248737143,4.667906387562494,0,0.0,0.0,True
44,47.72727272727273,3.6378795083688846,0.08267907973565647,1.1862608248737143,4.667906387562494,0,0.0,0.35,False
40,50.0,5.1659511487372205,0.1291487787184305,1.3129020067700274,3.731078581211527,0,0.0,0.45,False
44,47.72727272727273,3.6378795083688846,0.08267907973565647,1.1862608248737143,4.667906387562494,0,0.5,0.0,False
44,47.72727272727273,3.6378795083688846,0.08267907973565647,1.1862608248737143,4.667906387562494,0,0.5,0.35,False
40,50.0,5.1659511487372205,0.1291487787184305,1.3129020067700274,3.731078581211527,0,0.5,0.45,False
38,47.368421052631575,3.877295375935606,0.10203408884041068,1.2351509261302278,4.125265990270063,0,1.0,0.0,False
38,47.368421052631575,3.877295375935606,0.10203408884041068,1.2351509261302278,4.125265990270063,0,1.0,0.35,False
34,50.0,5.405367016303941,0.15898138283246888,1.4013715230386798,3.5076152461499603,0,1.0,0.45,False
21,52.38095238095239,4.15254696793118,0.19774033180624664,1.5672666566194209,2.14025990502235,18,0.0,0.0,False
21,52.38095238095239,4.15254696793118,0.19774033180624664,1.5672666566194209,2.14025990502235,18,0.0,0.35,False
18,55.55555555555556,4.6710652546637945,0.2595036252590997,1.8799172384109475,2.14025990502235,18,0.0,0.45,False
21,52.38095238095239,4.15254696793118,0.19774033180624664,1.5672666566194209,2.14025990502235,18,0.5,0.0,False
21,52.38095238095239,4.15254696793118,0.19774033180624664,1.5672666566194209,2.14025990502235,18,0.5,0.35,False
18,55.55555555555556,4.6710652546637945,0.2595036252590997,1.8799172384109475,2.14025990502235,18,0.5,0.45,False
18,50.0,3.8499814461242834,0.21388785811801575,1.610847514908954,2.14025990502235,18,1.0,0.0,False
18,50.0,3.8499814461242834,0.21388785811801575,1.610847514908954,2.14025990502235,18,1.0,0.35,False
15,53.333333333333336,4.368499732856899,0.2912333155237932,2.018074549464957,2.14025990502235,18,1.0,0.45,False
17,47.05882352941176,0.7042174218632606,0.04142455422725062,1.111732866280124,3.220831793920634,22,0.0,0.0,False
17,47.05882352941176,0.7042174218632606,0.04142455422725062,1.111732866280124,3.220831793920634,22,0.0,0.35,False
15,53.333333333333336,2.7159627840926066,0.18106418560617377,1.632952445202598,2.14025990502235,22,0.0,0.45,False
17,47.05882352941176,0.7042174218632606,0.04142455422725062,1.111732866280124,3.220831793920634,22,0.5,0.0,False
17,47.05882352941176,0.7042174218632606,0.04142455422725062,1.111732866280124,3.220831793920634,22,0.5,0.35,False
15,53.333333333333336,2.7159627840926066,0.18106418560617377,1.632952445202598,2.14025990502235,22,0.5,0.45,False
15,40.0,-0.6159331772991063,-0.04106221181994042,0.902274528859901,3.5400088561515,22,1.0,0.0,False
15,40.0,-0.6159331772991063,-0.04106221181994042,0.902274528859901,3.5400088561515,22,1.0,0.35,False
13,46.15384615384615,1.3958121849302394,0.10737016807155687,1.3252926515303283,2.14025990502235,22,1.0,0.45,False
11,63.63636363636363,3.7918946707357724,0.34471769733961566,2.2318532045352786,1.3929533208002791,26,0.0,0.0,False
11,63.63636363636363,3.7918946707357724,0.34471769733961566,2.2318532045352786,1.3929533208002791,26,0.0,0.35,False
10,70.0,4.7993341968474255,0.47993341968474257,3.317663715674975,1.0628305624856105,26,0.0,0.45,False
11,63.63636363636363,3.7918946707357724,0.34471769733961566,2.2318532045352786,1.3929533208002791,26,0.5,0.0,False
11,63.63636363636363,3.7918946707357724,0.34471769733961566,2.2318532045352786,1.3929533208002791,26,0.5,0.35,False
10,70.0,4.7993341968474255,0.47993341968474257,3.317663715674975,1.0628305624856105,26,0.5,0.45,False
9,55.55555555555556,2.471744071573405,0.2746382301748228,1.8029827091077835,1.3929533208002791,26,1.0,0.0,False
9,55.55555555555556,2.471744071573405,0.2746382301748228,1.8029827091077835,1.3929533208002791,26,1.0,0.35,False
8,62.5,3.4791835976850574,0.43489794971063217,2.68014504799915,1.0628305624856105,26,1.0,0.45,False
