filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
basic_role,half_wave,1,100.0,1.1910636368656882,1.1910636368656882,inf,0.0,0,1.2057772086614207,1.2057772086614207,5.0,100.0
strict_synapse,fixed_1_5R,13,46.15384615384615,1.0663801760730438,0.08202924431331106,1.1864326564686964,1.6734221584462217,4,1.5000000000000013,1.5,40.07692307692308,30.76923076923077
context,fixed_1_5R,53,43.39622641509434,0.5358671157952384,0.010110700298023365,1.0209164565458848,6.174246798966969,5,1.5,1.5,31.962264150943398,28.30188679245283
observe_loose,half_wave,11,54.54545454545454,-0.033987327233584885,-0.0030897570212349897,0.9932725570340689,4.045470890262648,4,0.987714067860815,0.7774980240709304,8.090909090909092,54.54545454545454
context,fixed_2R,52,42.30769230769231,-0.5311799420597481,-0.010214998885764385,0.9792577436649599,5.444248508707442,5,2.0,2.0,37.17307692307692,11.538461538461538
strict_synapse,fixed_2R,13,38.46153846153847,-1.5763454752895498,-0.1212573442530423,0.737921737821673,2.8625929508178842,4,2.0,2.0,46.30769230769231,7.6923076923076925
diag_break,fixed_1_5R,119,41.17647058823529,-6.026296340308016,-0.05064114571687408,0.906080745686091,17.62735683935706,6,1.5000000000000002,1.5,28.319327731092436,29.411764705882355
diag_break,fixed_2R,115,38.26086956521739,-10.102446790778494,-0.08784736339807386,0.8450036762856794,17.422939156384203,6,2.0,2.0,32.69565217391305,17.391304347826086
basic_role,fixed_1_5R,207,40.57971014492754,-17.959039688037883,-0.0867586458359318,0.8435316821768709,27.882414650728272,6,1.5,1.5,29.797101449275363,25.60386473429952
basic_role,fixed_2R,202,35.64356435643564,-30.665241475974675,-0.15180812611868652,0.7466923142118063,38.16111290229422,8,2.0,2.0,32.83168316831683,14.85148514851485
observe_loose,fixed_2R,248,36.29032258064516,-32.9364407498433,-0.1328082288300133,0.7741823246581223,47.270353750699414,12,2.0,2.0,33.69758064516129,15.32258064516129
observe_loose,fixed_1_5R,258,37.2093023255814,-39.844546032342905,-0.15443622493156164,0.7336588331611976,49.85619645755626,12,1.5,1.5,30.27906976744186,23.643410852713178
