filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
diag_break,fixed_2R,128,44.53125,9.3049712511164,0.07269508789934688,1.1399669160865835,8.09204973617259,6,2.0,2.0,32.7265625,21.09375
context,fixed_2R,73,45.20547945205479,8.469947451308347,0.11602667741518283,1.2314049974452592,4.19870526118701,4,2.0,2.0,32.41095890410959,26.027397260273972
basic_role,fixed_2R,213,42.25352112676056,7.936422736531955,0.03726020064099509,1.0681125879321713,12.084521956807817,8,2.0,2.0,32.417840375586856,20.657276995305164
observe_loose,fixed_2R,269,40.14869888475837,7.587305854084597,0.02820559797057471,1.0527518434760108,23.303290161838394,10,2.0,2.0,33.342007434944236,20.44609665427509
strict_synapse,fixed_1_5R,15,66.66666666666666,7.484148778397845,0.49894325189318967,2.711752723318382,1.1822497993031749,2,1.5000000000000007,1.5,32.8,46.666666666666664
strict_synapse,fixed_2R,15,53.333333333333336,3.036175108302782,0.20241167388685213,1.4695268369892376,5.086596133364884,3,2.0,2.0,39.93333333333333,26.666666666666668
context,fixed_1_5R,74,45.94594594594595,2.396355126173882,0.032383177380728136,1.0655245136202913,7.461509708790304,4,1.5,1.5,30.18918918918919,29.72972972972973
basic_role,fixed_1_5R,216,43.98148148148148,1.2937382522115426,0.005989528945423809,1.011315065970044,10.447896305451438,8,1.4999999999999998,1.5,29.51851851851852,31.48148148148148
observe_loose,fixed_1_5R,277,42.238267148014444,0.6440478698722476,0.0023250825627156952,1.0044494058089746,23.90099047577903,6,1.5,1.5,30.137184115523464,30.685920577617328
observe_loose,half_wave,9,55.55555555555556,-0.9421674389882961,-0.10468527099869956,0.7758051285816642,1.053519715798006,2,0.7543147036494235,0.7342158339678089,14.222222222222221,44.44444444444444
diag_break,fixed_1_5R,130,43.84615384615385,-3.095377292998518,-0.023810594561527062,0.9548786458642923,12.453138860868755,6,1.4999999999999996,1.5,29.715384615384615,29.230769230769234
