symbol,timeframe,filter,filter_description,structure,entry_mode,direction,signal_time,close,a_level,b_level,trendline,trendline_slope_atr,trigger_level,b_cross,diag_now,retrace,wave1_atr,wave1_bars,adjust_bars,adjust_ratio,right_shoulder_ok,momentum_ok,ema_ok,upper_align,upper_oppose,upper_context,signal_body_ratio,chase_atr,mid_recovery,stop,target_half,half_target_ahead,pivots,pivot_count,entry_i,entry_time,entry,target,target_model,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,is_oos
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2018-05-21 05:00:00,16.32802,16.1911,16.36532,16.418926153846154,0.18404235469553853,16.36532,True,True,0.43385223084459645,8.830684303859034,18,14,0.7777777777777778,True,False,True,1,0,D1順,0.49788990825689544,0.5122381918945599,0.5092121299017865,16.508133537272393,16.148564999999998,True,6724-6742-6749-6755-6756,5,6760,2018-05-21 09:00:00,16.32802,16.148564999999998,half_wave,0.9963437658136859,6760,2018-05-21 09:00:00,16.508133537272393,SL,0,0.1801135372723941,-1.0,-1.1110410705540483,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,B_confirmed,short,2019-09-18 17:00:00,17.75523,17.40488,17.80448,16.72439692307692,-0.20769448893474854,17.80448,True,False,0.6452351461922459,5.85495100255978,8,12,1.5,True,False,True,0,1,D1逆,0.21981948962293918,0.2705742004241944,0.4905037519632344,18.12892406211885,17.55966,True,8787-8792-8800-8812-8815,5,8819,2019-09-18 21:00:00,17.75523,17.55966,half_wave,0.5233425409307203,8832,2019-09-23 01:00:00,18.12892406211885,SL,13,0.37369406211884737,-1.0,-1.053519715798006,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2020-02-03 10:00:00,17.7793,17.33972,17.79137,17.97203,0.23747233290813521,17.79137,True,True,0.7394181436567183,8.116490443122533,12,18,1.5,True,False,False,0,1,D1逆,0.30011655011658195,0.0951939906410332,0.4223273539654396,18.12602874359027,17.58611,True,9357-9369-9379-9384-9387,5,9391,2020-02-03 14:00:00,17.7793,17.58611,half_wave,0.5571790731843428,9397,2020-02-04 14:00:00,17.58611,TP,6,0.34672874359026906,0.5571790731843428,0.4994970944914046,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2020-04-09 05:00:00,15.15473,15.47545,15.14004,14.953701111111112,-0.18480815595977407,15.14004,True,True,0.49123451049493067,6.07880038276,6,11,1.8333333333333333,True,False,True,0,1,D1逆,0.6717835701801091,0.07284662442813734,0.46739292890712064,14.822498687148322,15.486194999999999,True,9656-9662-9668-9671-9673,5,9677,2020-04-09 09:00:00,15.15473,15.486194999999999,half_wave,0.9976934358019914,9678,2020-04-09 13:00:00,15.486194999999999,TP,1,0.33223131285167895,0.9976934358019914,0.937494414137443,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,short,2020-11-04 02:00:00,23.69092,23.39742,23.7523,24.561902222222223,0.2440878722297976,23.7523,True,True,0.7949090615474671,5.399628962342278,7,12,1.7142857142857142,False,False,True,0,1,D1逆,0.4578061960792607,0.16725671981095028,0.30186139820716684,24.23979615421058,23.17562,True,10531-10538-10545-10547-10550-10551,6,10561,2020-11-04 06:00:00,23.69092,23.17562,half_wave,0.9388274495931185,10566,2020-11-05 02:00:00,24.23979615421058,SL,5,0.548876154210582,-1.0,-1.0364380923575884,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,long,2021-02-08 10:00:00,27.3685,30.1365,27.195,21.84681818181818,-0.5927899748567282,27.195,True,True,0.778789551140545,12.050474022278738,16,20,1.25,False,False,True,1,0,D1順,0.7833723653395839,0.38461317933505684,0.3461674737215073,25.812779482700016,28.621,True,10909-10925-10934-10936-10945,5,10957,2021-02-08 14:00:00,27.3685,28.621,half_wave,0.8050931938429156,11017,2021-02-22 18:00:00,28.1435,time_exit,60,1.555720517299985,0.4981614572680715,0.48530567772566763,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2022-04-01 09:00:00,24.54765,23.973,24.571,24.951545454545457,0.23235630586626704,24.571,True,True,0.5943571998935324,8.028920612487617,17,13,0.7647058823529411,True,False,True,0,1,D1逆,0.4194864048338312,0.09980053037082291,0.48531124048365354,25.136293338498785,24.15025,True,12698-12715-12722-12726-12728,5,12734,2022-04-01 13:00:00,24.54765,24.15025,half_wave,0.6751116915949301,12751,2022-04-06 09:00:00,24.15025,TP,17,0.5886433384987839,0.6751116915949301,0.6411352602111842,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,role_ab_5pivot,B_confirmed,long,2024-05-14 01:00:00,28.453,28.76845,28.3865,29.50018529411765,0.29726668685184526,28.3865,True,False,0.45590033846241484,7.141653222854952,13,4,0.3076923076923077,True,False,True,1,0,D1順,0.6559308719560019,0.2701555444238108,0.6064008983717001,27.917769102191237,28.845975,True,15974-15978-15991-15995-15997,5,16002,2024-05-14 05:00:00,28.453,28.845975,half_wave,0.7342158339678089,16008,2024-05-15 05:00:00,28.845975,TP,6,0.5352308978087628,0.7342158339678089,0.6968487834445988,False
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,ihs_5pivot,B_confirmed,short,2026-02-17 10:00:00,73.03005,64.06255,73.9829,78.943075,0.13208677902516452,73.9829,True,True,0.5435446159531526,11.24125349419463,8,32,4.0,True,False,True,0,1,D1逆,0.6917578976916914,0.3806082065475344,0.4137605292662118,86.82249861007108,65.28800000000001,True,18679-18687-18708-18717-18719,5,18733,2026-02-17 14:00:00,73.0274,65.28800000000001,half_wave,0.5610253481152979,18753,2026-02-22 22:00:00,86.82249861007108,SL,20,13.79509861007108,-1.0,-1.0014497902889516,True
XAGUSD,H4,observe_loose,候補量確認。浅い戻しも許容し、文脈フィルタなし。,classic_6pivot,B_confirmed,long,2014-01-17 14:00:00,20.31792,20.62452,20.25407,21.083736000000002,0.14468428937010644,20.25407,True,False,0.44691592887978393,5.4256041391300585,8,16,2.0,True,False,True,1,0,D1順,0.4335156689330833,0.3621077091675116,0.8795958461970297,19.906574249846933,20.420184999999996,True,34-42-45-52-58-60,6,71,2014-01-17 18:00:00,20.31792,20.934938625229602,fixed_1_5R,1.5,80,2014-01-21 10:00:00,19.906574249846933,SL,9,0.4113457501530675,-1.0,-1.0486208985812078,False
