filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
diag_break,fixed_2R,119,41.17647058823529,6.339337077714703,0.053271740148863045,1.0963719569134585,23.455128051219326,14,2.0,2.0,30.445378151260503,23.52941176470588
observe_loose,fixed_2R,239,40.58577405857741,3.4940906234519815,0.01461962603954804,1.0272152768288638,27.348463556971893,10,2.0,2.0,34.41841004184101,20.502092050209207
context,fixed_2R,73,42.465753424657535,3.464177051860949,0.04745448016247875,1.0846123468859397,17.827238776533108,14,2.0,2.0,29.17808219178082,24.65753424657534
context,fixed_1_5R,74,43.24324324324324,-0.7318540930021478,-0.009889920175704699,0.9821207575512055,17.49279407259894,14,1.4999999999999996,1.5,26.175675675675677,32.432432432432435
basic_role,half_wave,1,0.0,-1.0025389040263422,-1.0025389040263422,0.0,0.0,1,0.8346223835948895,0.8346223835948895,17.0,0.0
observe_loose,half_wave,13,46.15384615384615,-1.6675016264681475,-0.1282693558821652,0.7343059598229745,2.0092186879702725,3,0.7258597081766793,0.6733222215477456,13.0,46.15384615384615
observe_loose,fixed_1_5R,246,43.08943089430895,-3.260718889727289,-0.013254954836289792,0.9743571475246589,26.861609811171085,9,1.4999999999999996,1.5,31.727642276422763,28.04878048780488
strict_synapse,fixed_1_5R,16,31.25,-4.4111386111717295,-0.2756961631982331,0.6042131312708547,7.539207664799197,7,1.4999999999999984,1.5,26.375,18.75
diag_break,fixed_1_5R,120,41.66666666666667,-4.70750587980095,-0.039229215665007915,0.9294135066126666,24.677788356184408,14,1.5,1.5,28.108333333333334,29.166666666666668
strict_synapse,fixed_2R,15,26.666666666666668,-4.905874641082182,-0.3270583094054788,0.5601615463186017,7.103103936777318,7,2.0,2.0,28.733333333333334,13.333333333333334
basic_role,fixed_2R,195,37.43589743589744,-8.048386659052149,-0.041273777738728964,0.9285431966985089,28.961863152908084,14,2.0,2.0,31.625641025641027,21.025641025641026
basic_role,fixed_1_5R,197,38.07106598984771,-22.535023151401077,-0.11439098046396486,0.8015310294678872,35.03761652547448,14,1.4999999999999998,1.5,29.456852791878173,25.888324873096447
