year,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
2015,133.0,45.0,88.0,33.83,47.0,0.3534,-1.0,1.534,8.0,0.825
2016,164.0,60.0,104.0,36.59,76.0,0.4634,-1.0,1.731,13.0,1.443
2017,146.0,47.0,99.0,32.19,42.0,0.2877,-1.0,1.424,11.0,1.09
2018,152.0,34.0,118.0,22.37,-16.0,-0.1053,-1.0,0.864,30.0,1.109
2019,174.0,72.0,102.0,41.38,114.0,0.6552,-1.0,2.118,9.0,0.924
2020,145.0,50.0,95.0,34.48,55.0,0.3793,-1.0,1.579,15.0,0.819
2021,149.0,58.0,91.0,38.93,83.0,0.557,-1.0,1.912,8.0,0.84
2022,149.0,54.0,95.0,36.24,67.0,0.4497,-1.0,1.705,11.0,1.192
2023,142.0,43.0,99.0,30.28,30.0,0.2113,-1.0,1.303,12.0,1.038
2024,147.0,50.0,97.0,34.01,53.0,0.3605,-1.0,1.546,12.0,0.827
