timeframe,variant,hold_mode,universe,trades,win_rate,total_r,avg_r,pf,max_dd_r,tp_pct,trades_per_year
H1,SQZ_PINE,hold120,ALL7,655,36.5,10.05,0.015,1.02,28.07,34.8,66.0
H1,SQZ_PINE,hold120,PROD5,477,36.5,-1.07,-0.002,1.0,27.84,34.4,48.0
H1,SQZ_PINE,hold120,CORE4,364,35.2,-19.1,-0.052,0.92,35.85,33.0,36.7
H1,SQZ_PINE,hold480_H1_equiv_30d,ALL7,653,35.7,4.38,0.007,1.01,29.1,35.7,65.8
H1,SQZ_PINE,hold480_H1_equiv_30d,PROD5,476,35.3,-8.06,-0.017,0.98,28.45,35.3,47.9
H1,SQZ_PINE,hold480_H1_equiv_30d,CORE4,363,34.2,-23.26,-0.064,0.91,37.17,34.2,36.6
H1,SQZ_STRICT,hold120,ALL7,357,36.1,0.89,0.002,1.0,33.77,35.3,36.0
H1,SQZ_STRICT,hold120,PROD5,260,36.9,2.7,0.01,1.02,24.96,35.8,26.2
H1,SQZ_STRICT,hold120,CORE4,199,35.7,-7.41,-0.037,0.95,24.96,34.7,20.0
H1,SQZ_STRICT,hold480_H1_equiv_30d,ALL7,357,35.6,-1.66,-0.005,0.99,33.35,35.6,36.0
H1,SQZ_STRICT,hold480_H1_equiv_30d,PROD5,260,36.2,0.16,0.001,1.0,24.54,36.2,26.2
H1,SQZ_STRICT,hold480_H1_equiv_30d,CORE4,199,35.2,-8.68,-0.044,0.94,24.54,35.2,20.0
H1,SQZ_PINE_25,hold120,ALL7,654,32.6,24.76,0.038,1.05,22.11,29.7,65.9
H1,SQZ_PINE_25,hold120,PROD5,476,32.4,7.23,0.015,1.02,21.87,29.2,47.9
H1,SQZ_PINE_25,hold120,CORE4,363,31.4,-10.59,-0.029,0.96,30.03,28.4,36.6
H1,SQZ_PINE_25,hold480_H1_equiv_30d,ALL7,650,31.4,21.81,0.034,1.05,21.71,31.2,65.5
H1,SQZ_PINE_25,hold480_H1_equiv_30d,PROD5,473,31.1,4.87,0.01,1.01,21.71,30.9,47.6
H1,SQZ_PINE_25,hold480_H1_equiv_30d,CORE4,361,30.5,-8.87,-0.025,0.97,26.33,30.2,36.4
H1,CAP_PINE,hold120,ALL7,549,33.5,-47.42,-0.086,0.88,72.24,32.1,54.9
H1,CAP_PINE,hold120,PROD5,414,33.3,-39.73,-0.096,0.87,64.55,32.4,41.5
H1,CAP_PINE,hold120,CORE4,352,33.2,-38.28,-0.109,0.85,63.11,32.1,35.3
H1,CAP_PINE,hold480_H1_equiv_30d,ALL7,545,33.4,-45.04,-0.083,0.88,70.31,32.8,54.5
H1,CAP_PINE,hold480_H1_equiv_30d,PROD5,411,33.6,-36.9,-0.09,0.88,62.17,33.1,41.2
H1,CAP_PINE,hold480_H1_equiv_30d,CORE4,349,33.5,-35.46,-0.102,0.86,60.73,33.0,35.0
H4,SQZ_PINE,hold120,ALL7,127,44.1,35.43,0.279,1.5,11.97,40.2,12.9
H4,SQZ_PINE,hold120,PROD5,83,48.2,34.65,0.417,1.8,4.33,45.8,8.6
H4,SQZ_PINE,hold120,CORE4,58,46.6,21.38,0.369,1.69,4.33,44.8,6.0
H4,SQZ_STRICT,hold120,ALL7,48,47.9,18.08,0.377,1.71,9.75,45.8,4.9
H4,SQZ_STRICT,hold120,PROD5,35,57.1,23.83,0.681,2.55,3.09,57.1,3.6
H4,SQZ_STRICT,hold120,CORE4,29,65.5,26.91,0.928,3.62,2.07,65.5,3.0
H4,SQZ_PINE_25,hold120,ALL7,127,40.9,42.39,0.334,1.57,11.97,34.6,12.9
H4,SQZ_PINE_25,hold120,PROD5,83,44.6,40.55,0.489,1.87,4.33,39.8,8.6
H4,SQZ_PINE_25,hold120,CORE4,58,43.1,26.64,0.459,1.8,4.33,39.7,6.0
H4,CAP_PINE,hold120,ALL7,190,35.8,-5.01,-0.026,0.96,18.28,31.6,19.3
H4,CAP_PINE,hold120,PROD5,139,38.1,3.62,0.026,1.04,13.53,33.8,14.1
H4,CAP_PINE,hold120,CORE4,115,38.3,1.07,0.009,1.01,13.53,33.0,11.7
