timeframe,symbol,variant,signal_time,period,year,max_hold,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,stop,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r,hold_mode
H1,XAUUSD,SQZ_PINE,2015-01-29 23:00:00,DEV_2015_2021,2015,120,short_squeeze,1258.95,1252.05,1.4748769340178638,3.830191272560226,0.6284258240597402,0.9323129251701179,0.9323129251701179,0.0,1235.1297717369705,1250.8804108904187,2015-01-30 00:00:00,1260.679,1280.2761782191628,2015-01-30 19:00:00,1280.2761782191628,target,20,9.798589109581371,2.0,1.9642805718164165,2.248589031910251,0.3712779420909481,hold120
H1,XAUUSD,SQZ_PINE,2015-02-08 23:00:00,DEV_2015_2021,2015,120,short_squeeze,1237.503,1228.298,2.0571691075864647,6.544948884821054,1.023779650391469,0.3387906570617638,0.8083387906570733,0.46954813359530945,1243.4953538339155,1227.1793510802231,2015-02-09 00:00:00,1237.962,1259.5272978395537,2015-02-11 14:00:00,1227.1793510802231,stop,61,10.782648919776875,-1.0,-1.032459556330188,0.7276505113330131,1.3557892971166519,hold120
H1,XAUUSD,SQZ_PINE,2015-03-10 01:00:00,DEV_2015_2021,2015,120,short_squeeze,1167.985,1165.798,0.9892307619475814,3.2897463793531005,1.0846709497715237,0.6105087572977466,0.6238532110091422,0.013344453711395584,1218.3385223351106,1165.2452978186368,2015-03-10 02:00:00,1168.283,1174.358404362726,2015-03-10 02:00:00,1165.2452978186368,stop,1,3.0377021813631018,-1.0,-1.1152186682906096,0.15406381931426533,1.1380312465156237,hold120
H1,XAUUSD,SQZ_PINE,2015-03-18 00:00:00,DEV_2015_2021,2015,120,short_squeeze,1149.999,1147.13,1.0896491169914604,3.7334439944323097,0.5753985403423565,0.7445544554455986,0.8158415841584304,0.07128712871283176,1203.1474607438201,1146.471760582544,2015-03-18 01:00:00,1150.929,1159.8434788349123,2015-03-18 07:00:00,1146.471760582544,stop,7,4.457239417456094,-1.0,-1.0785239398694662,0.46441301579921845,1.1264820059555718,hold120
H1,XAUUSD,SQZ_PINE,2015-04-22 23:00:00,DEV_2015_2021,2015,120,short_squeeze,1188.932,1186.202,1.1677365565383062,6.300216755037599,0.6073941063313072,0.966901408450688,0.967605633802784,0.0007042253520959873,1200.3545421760919,1185.6175359818285,2015-04-23 00:00:00,1188.953,1195.623928036343,2015-04-23 01:00:00,1185.6175359818285,stop,2,3.3354640181714785,-1.0,-1.104932926301513,0.016189651486539027,1.393809069644378,hold120
H1,XAUUSD,SQZ_PINE,2015-04-27 02:00:00,DEV_2015_2021,2015,120,short_squeeze,1181.897,1178.221,1.487896898913802,3.02881732714158,0.7564960021953643,0.5928303905831264,0.6565008025682162,0.06367041198508981,1198.1154160453293,1177.6033496771377,2015-04-27 03:00:00,1182.802,1193.1993006457244,2015-04-27 14:00:00,1193.1993006457244,target,12,5.19865032286225,2.0,1.9326748332233596,4.037009357545162,0.5663008314009983,hold120
H1,XAUUSD,SQZ_PINE,2015-05-12 01:00:00,DEV_2015_2021,2015,120,short_squeeze,1184.335,1182.901,0.7365550691928603,3.685343529608684,0.6631050169651038,0.6072811773819845,0.961270333075169,0.3539891556931845,1194.7640394292216,1182.4142746823768,2015-05-12 02:00:00,1184.429,1188.4584506352467,2015-05-12 05:00:00,1182.4142746823768,stop,4,2.014725317623288,-1.0,-1.173720951902774,0.20350168651452666,1.786844076713619,hold120
H1,XAUUSD,SQZ_PINE,2015-05-19 23:00:00,DEV_2015_2021,2015,120,short_squeeze,1209.199,1206.631,1.01125852180894,5.374870546795248,0.448923175569342,0.6517543859651302,0.8245614035089119,0.1728070175437816,1199.5222913327775,1205.9961475007087,2015-05-20 00:00:00,1209.431,1216.3007049985827,2015-05-20 06:00:00,1205.9961475007087,stop,7,3.43485249929131,-1.0,-1.1018966607947065,0.019797065525816206,1.7895964968708857,hold120
H1,XAUUSD,SQZ_PINE,2015-11-05 03:00:00,DEV_2015_2021,2015,120,short_squeeze,1110.469,1107.169,1.4224113911117235,3.10904647396635,0.43577512618603814,0.40553907022736674,0.5351137487635583,0.12957467853619162,1145.1835037535266,1106.588999020568,2015-11-05 04:00:00,1110.862,1119.4080019588641,2015-11-05 12:00:00,1106.588999020568,stop,9,4.273000979432027,-1.0,-1.0819096465656928,0.1373741786686915,1.2108586038020785,hold120
H1,XAUUSD,SQZ_PINE,2015-11-09 01:00:00,DEV_2015_2021,2015,120,short_squeeze,1091.81,1087.322,1.5111198485067139,5.8788218705273945,1.0771106050295627,0.5395436073773674,0.8715223507346511,0.3319787433572837,1139.4763142916272,1086.5795042931843,2015-11-09 02:00:00,1092.718,1104.9949914136316,2015-11-10 14:00:00,1086.5795042931843,stop,36,6.138495706815775,-1.0,-1.057017226486209,0.48904489689008546,1.2281510585124604,hold120
H1,XAUUSD,SQZ_PINE,2015-12-10 02:00:00,DEV_2015_2021,2015,120,short_squeeze,1075.24,1071.76,1.0813927597311888,3.1413216690007033,0.9073755340273372,0.6407534246575507,0.7527397260274102,0.1119863013698596,1095.9515230194495,1070.9554819447687,2015-12-10 03:00:00,1075.72,1085.2490361104626,2015-12-10 14:00:00,1070.9554819447687,stop,12,4.764518055231292,-1.0,-1.0734596859415502,0.07136083777174666,1.335077320782933,hold120
H1,XAUUSD,SQZ_PINE,2015-12-18 00:00:00,DEV_2015_2021,2015,120,short_squeeze,1053.092,1049.409,1.0390408543399017,4.284245021451452,0.516558187427712,0.35608956854182305,0.5259421081376385,0.16985253959581548,1088.5652260987358,1048.522846201375,2015-12-18 01:00:00,1053.49,1063.4243075972502,2015-12-18 14:00:00,1063.4243075972502,target,14,4.967153798625077,2.0,1.9295371123606002,2.30474039341583,0.4632431555948307,hold120
H1,XAUUSD,SQZ_PINE,2016-01-03 23:00:00,DEV_2015_2021,2016,120,short_squeeze,1062.069,1060.189,0.9504962427814685,3.772155567762231,2.3216376313046037,0.15635888501744225,0.28963414634145573,0.13327526132401346,1081.691260008646,1059.694521454115,2016-01-04 00:00:00,1063.059,1069.78795709177,2016-01-04 06:00:00,1069.78795709177,target,7,3.3644785458850492,2.0,1.8959719923230878,2.0983935262820244,0.24372276084293762,hold120
H1,XAUUSD,SQZ_PINE,2016-04-14 23:00:00,DEV_2015_2021,2016,120,short_squeeze,1228.83,1223.789,1.3626950933379087,3.2625207461803933,0.5298318553744064,0.6887755102040225,0.7908163265305743,0.10204081632655192,1223.0799977568586,1222.8641782947182,2016-04-15 00:00:00,1229.319,1242.2286434105636,2016-04-19 06:00:00,1242.2286434105636,target,53,6.454821705281802,2.0,1.9457769686010473,2.61045165449144,0.6384374639856849,hold120
H1,XAUUSD,SQZ_PINE,2016-05-17 00:00:00,DEV_2015_2021,2016,120,short_squeeze,1275.509,1270.948,1.4488864020394774,4.177341851966584,0.8802596404409998,0.3785636954168149,0.6752075063154539,0.29664381089863906,1252.0053180392197,1270.1610162872707,2016-05-17 01:00:00,1276.149,1288.1249674254582,2016-05-17 08:00:00,1270.1610162872707,stop,8,5.987983712729147,-1.0,-1.058450392785156,0.7952593441223292,1.1823679454821148,hold120
H1,XAUUSD,SQZ_PINE,2016-05-27 00:00:00,DEV_2015_2021,2016,120,short_squeeze,1222.189,1219.059,1.1921028642914018,3.7781662663802265,0.4951225953925604,0.6769230769231845,0.9230769230769903,0.24615384615380578,1249.9171030517984,1218.4025969131194,2016-05-27 01:00:00,1222.949,1232.0418061737614,2016-05-27 02:00:00,1218.4025969131194,stop,2,4.546403086880673,-1.0,-1.0769839350606887,0.01781628211401695,2.509676282977492,hold120
H1,XAUUSD,SQZ_PINE,2016-07-13 02:00:00,DEV_2015_2021,2016,120,short_squeeze,1335.53,1327.548,1.7931940433920346,3.1638125423565855,1.9138336326305196,0.912078882497943,0.9941307665218709,0.08205188402392784,1298.7201569916763,1326.4351812242778,2016-07-13 03:00:00,1338.69,1363.1996375514445,2016-07-14 08:00:00,1326.4351812242778,stop,29,12.254818775722242,-1.0,-1.0285601938637814,0.6830782366674794,1.1284540598345105,hold120
H1,XAUUSD,SQZ_PINE,2016-08-31 01:00:00,DEV_2015_2021,2016,120,short_squeeze,1313.508,1309.229,1.5817397605090417,3.0462999220273432,1.840865624523268,0.6646586345381849,0.885542168674712,0.22088353413652712,1328.3783939681489,1308.5526877350446,2016-08-31 02:00:00,1314.68,1326.934624529911,2016-08-31 12:00:00,1308.5526877350446,stop,11,6.127312264955435,-1.0,-1.0571212931323783,0.22979080208671923,1.6845885363205313,hold120
H1,XAUUSD,SQZ_PINE,2016-09-09 02:00:00,DEV_2015_2021,2016,120,short_squeeze,1338.809,1336.261,1.0950363148802522,3.550272761862528,0.6450743754455383,0.35909393737508044,0.6928714190539507,0.3337774816788702,1328.7258919391,1335.6792841323672,2016-09-09 03:00:00,1338.819,1345.0984317352654,2016-09-09 06:00:00,1335.6792841323672,stop,4,3.139715867632731,-1.0,-1.1114750553093926,0.21658010745818446,1.322094155968903,hold120
H1,XAUUSD,SQZ_PINE,2016-10-05 02:00:00,DEV_2015_2021,2016,120,short_squeeze,1272.128,1266.409,1.458643808692593,5.369359933659314,0.47133655507331057,0.43885281385285096,0.4696969696970126,0.030844155844161638,1323.4311254009592,1265.428808680173,2016-10-05 03:00:00,1272.659,1287.1193826396543,2016-10-05 16:00:00,1265.428808680173,stop,14,7.2301913198270995,-1.0,-1.0484081242830108,0.6157513408796577,1.4579143944772186,hold120
H1,XAUUSD,SQZ_PINE,2016-11-10 01:00:00,DEV_2015_2021,2016,120,short_squeeze,1279.07,1270.118,1.0380205441144703,3.2094918052440256,1.0854457454708926,0.9236192714453662,0.9664565751522185,0.04283730370685239,1288.3184956026935,1267.9619733079567,2016-11-10 02:00:00,1286.702,1324.1820533840867,2016-11-10 14:00:00,1267.9619733079567,stop,13,18.74002669204333,-1.0,-1.0186766009329506,0.2938629752506293,1.2626983082178258,hold120
