filter,research_events,research_wr,research_pf,research_avg_r,research_total_r,oos_events,oos_wr,oos_pf,oos_avg_r,oos_total_r,score
tf=H4 + sym=XAU/EUR/USD + w2<=0.618 + preATR>=3,25,28.000000000000004,1.5636956790025993,0.278096856553086,6.9524214138271505,6,66.66666666666666,8.213591466325555,1.2022652443875925,7.213591466325555,6.0440577799432775
tf=H4 + sym=XAU/EUR/USD + w2<=0.618 + w4<=0.5,25,28.000000000000004,1.483543436694641,0.2514425870812133,6.286064677030333,6,66.66666666666666,8.213591466325555,1.2022652443875925,7.213591466325555,5.937251268163446
tf=H4 + sym=XAU/EUR/USD + w2<=0.618 + preATR<=5,25,28.000000000000004,1.483543436694641,0.2514425870812133,6.286064677030333,6,66.66666666666666,8.213591466325555,1.2022652443875925,7.213591466325555,5.937251268163446
tf=H4 + sym=XAU/EUR/USD + w2<=0.618,29,27.586206896551722,1.3881935500685239,0.20525591082162592,5.952421413827151,6,66.66666666666666,8.213591466325555,1.2022652443875925,7.213591466325555,5.795714705277742
sym=XAU + w3<=1.3,25,28.000000000000004,1.2552617098862433,0.14294655753629623,3.573663938407406,5,60.0,6.213591466325555,1.0427182932651111,5.213591466325555,5.44092656068765
sym=XAU/EUR/USD + sym=XAU + w3<=1.3,25,28.000000000000004,1.2552617098862433,0.14294655753629623,3.573663938407406,5,60.0,6.213591466325555,1.0427182932651111,5.213591466325555,5.44092656068765
sym=XAU + w3<=1.3 + preATR<=5,23,26.08695652173913,1.0407952513427257,0.024831892121659135,0.5711335187981601,5,60.0,6.213591466325555,1.0427182932651111,5.213591466325555,5.108345436729495
sym=XAU/EUR/USD + sym=XAU + w3<=1.3 + preATR<=5,23,26.08695652173913,1.0407952513427257,0.024831892121659135,0.5711335187981601,5,60.0,6.213591466325555,1.0427182932651111,5.213591466325555,5.108345436729495
long + sym=XAU/EUR/USD + w2<=0.618 + w4<=0.5,76,31.57894736842105,1.5717800534304465,0.27855366586824276,21.17007860598645,13,46.15384615384615,3.5879243323026557,0.7962844099392787,10.351697329210623,5.646618129237968
long + sym=XAU/EUR/USD + w2<=0.618 + preATR<=5,69,33.33333333333333,1.4444832851347411,0.2358990722982872,16.277035988581815,12,50.0,3.541315518415261,0.8471051728050868,10.165262073661042,5.527487530238115
