anon_id,currency,side,loss_exit_dt,loss_exit_price,loss_pips,reentry_dt,reentry_price,hours_after_loss,reentry_result,zone_type,psychology
T-0DA89E2F,GBPJPY,buy,2024-09-18 09:07:00,186.798,-42.5,2024-09-21 03:16:00,191.659,66.2,loss,REVENGE,損切後の取り返し・どテン候補
T-226EA9DE,GBPJPY,buy,2024-09-24 01:14:00,191.5,-78.5,2024-09-26 16:40:00,193.744,63.4,loss,REVENGE,損切後の取り返し・どテン候補
T-226EA9DE,GBPJPY,buy,2024-09-26 20:00:00,193.12,-62.4,2024-09-27 07:29:00,194.393,11.5,loss,REVENGE,損切後の取り返し・どテン候補
T-23C38107,EURJPY,sell,2024-09-17 04:20:00,156.64,-57.76,2024-09-17 09:04:00,156.64,4.7,win,REVENGE,損切後の取り返し・どテン候補
T-262D039D,GBPJPY,buy,2024-10-01 22:30:00,190.9,-140.0,2024-10-04 21:00:00,193.1,70.5,win,REVENGE,損切後の取り返し・どテン候補
T-37A4026E,GBPJPY,buy,2024-09-23 16:00:00,191.4,-47.0,2024-09-25 21:25:00,193.281,53.4,win,REVENGE,損切後の取り返し・どテン候補
T-37A4026E,XAUUSD,buy,2025-02-03 10:30:00,2785.0,-13.0,2025-02-03 23:30:00,2817.0,13.0,win,REVENGE,損切後の取り返し・どテン候補
T-56884632,XAUUSD,buy,2025-02-03 10:56:00,2780.0,-152.0,2025-02-05 10:25:00,2845.11,47.5,win,REVENGE,損切後の取り返し・どテン候補
T-73218711,GBPJPY,buy,2024-10-28 19:32:00,197.9,-108.5,2024-10-30 05:24:00,199.565,33.9,loss,REVENGE,損切後の取り返し・どテン候補
T-73218711,GBPJPY,buy,2024-12-11 16:23:00,193.18,-84.2,2024-12-12 06:42:00,194.431,14.3,loss,REVENGE,損切後の取り返し・どテン候補
T-73218711,XAUUSD,buy,2025-02-03 10:56:00,2780.0,-184.2,2025-02-03 23:17:00,2814.92,12.3,win,REVENGE,損切後の取り返し・どテン候補
T-73218711,XAUUSD,buy,2025-02-11 22:00:00,2889.67,-6.3,2025-02-14 06:07:00,2929.02,56.1,loss,REVENGE,損切後の取り返し・どテン候補
T-73218711,XAUUSD,buy,2025-02-26 21:30:00,2925.44,-139.6,2025-02-24 22:00:00,2955.85,-47.5,loss,REVENGE,損切後の取り返し・どテン候補
T-C3FDDE26,EURJPY,sell,2024-11-18 22:05:00,163.83,-79.9,2024-11-19 15:56:00,162.322,17.9,loss,REVENGE,損切後の取り返し・どテン候補
T-C3FDDE26,EURJPY,sell,2024-11-20 15:23:00,164.1,-177.6,2024-11-21 17:32:00,162.791,26.1,win,REVENGE,損切後の取り返し・どテン候補
T2-6549EF5A,XAUUSD,buy,2025-12-24 00:02:00,4438.12,-5156.0,2025-12-24 09:37:00,4513.42,9.6,loss,REVENGE,損切後の取り返し・どテン候補
T2-C0CB349B,GBPJPY,sell,2025-10-27 19:48:00,201.59,-26.2,2025-10-29 19:50:00,201.0,48.0,loss,REVENGE,損切後の取り返し・どテン候補
T2-C0CB349B,GBPJPY,sell,2025-10-30 14:37:00,201.47,-47.0,2025-10-31 20:13:00,202.07,29.6,loss,REVENGE,損切後の取り返し・どテン候補
T2-CA739E67,XAUUSD,buy,2026-01-17 00:00:00,4560.0,-750.0,2026-01-19 18:00:00,4670.0,66.0,win,REVENGE,損切後の取り返し・どテン候補
T2-FAC8ACCF,GBPJPY,buy,2025-10-27 19:58:00,203.837,-12.0,2025-10-27 23:00:00,204.17,3.0,loss,REVENGE,損切後の取り返し・どテン候補
