scope,filter_id,filter_desc,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
ALL_H4,BASELINE,B抜け即。除外なし,2.0,120,559,44.72271914132379,60.13657642880962,0.1075788487098562,-0.30891058078616174,1.2199092361326835,34.84200532989804,11,1.060649101686127,0.7908167046855741,69.42397137745975,22.182468694096602,44.72271914132379,47,13.921387666508066
ALL_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,2.0,120,536,44.58955223880597,51.8386283649489,0.09671385888983004,-0.32265709058757236,1.1958364059895799,34.84200532989806,11,1.0550304764722191,0.7951540456105592,69.40111940298507,21.828358208955223,45.149253731343286,45,11.93328879651292
ALL_H4,BASELINE,B抜け即。除外なし,1.5,120,559,47.40608228980322,49.1440397908514,0.08791420356145152,-0.1103478072666956,1.1873203492541768,35.212314213711,11,0.9327488977576334,0.7683614824557595,61.70304114490161,32.021466905187836,42.93381037567084,47,20.487814808740666
ALL_H4,BASELINE,B抜け即。除外なし,2.0,48,559,48.658318425760285,48.81883790223619,0.08733244705230088,-0.0180412498680646,1.232553761898215,24.655627545299478,8,0.8520621339165629,0.6619196020268765,38.30769230769231,12.164579606440071,28.80143112701252,47,11.115537540670513
ALL_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,2.0,120,409,45.72127139364303,47.151626502791586,0.11528515037357356,-0.17985944453805583,1.2415425551468895,25.353167964027577,12,1.0497967136504467,0.7823911072056696,70.93398533007336,21.76039119804401,43.27628361858191,38,17.692917043851295
ALL_H4,BREAK_EXT_LE_0_8ATR,Bから0.8ATR以上伸びた飛び乗りを除外,2.0,120,404,44.306930693069305,47.13515033548655,0.11667116419674889,-0.5107789249264255,1.2272917486613164,19.50622155228239,13,1.0909018125079826,0.8145635384641781,63.81683168316832,24.504950495049506,48.01980198019802,34,7.786634606842993
ALL_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,1.5,120,536,47.38805970149254,43.39901611703742,0.08096831365118921,-0.15704417374615837,1.1711346300087937,39.01826178794118,11,0.9275318801071706,0.7717352597402862,61.632462686567166,31.902985074626866,43.28358208955223,45,18.999715938745524
ALL_H4,RANGE_LE_2ATR,エントリー足の高安が2.0ATR以内,2.0,120,445,43.59550561797752,42.384139008176646,0.09524525619814976,-0.39063946730711524,1.188267039716573,30.39224033363119,9,1.0497648129959378,0.8056129826520324,66.98202247191011,22.92134831460674,46.741573033707866,37,10.184455835485991
ALL_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,2.0,120,506,44.07114624505929,41.70588203754051,0.08242269177379548,-0.3465468127026867,1.1658815970077356,35.90782755823527,11,1.054374269121629,0.7959551780335812,69.78458498023716,21.34387351778656,45.45454545454545,44,16.10244276011091
ALL_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,2.0,48,536,48.32089552238806,40.52700872798995,0.07561009091042901,-0.03229308047347818,1.2001199256404318,24.655627545299474,11,0.8435168294303321,0.665198638408419,38.27985074626866,11.753731343283583,29.291044776119403,45,9.03091179477012
ALL_H4,BREAK_EXT_LE_1_2ATR,Bから1.2ATR以上伸びた飛び乗りを除外,2.0,120,470,43.19148936170213,39.30799921790256,0.08363404088915438,-0.5380576676191906,1.162264615788558,28.068914632084823,11,1.0655536492222044,0.8176768606604798,65.61489361702128,23.19148936170213,47.87234042553192,41,9.267768850388887
ALL_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,2.0,48,506,48.22134387351779,38.37080427508376,0.07583162900214183,-0.03313564532434725,1.2015283863763058,25.908253715936727,10,0.8440297513213084,0.6647006812257283,38.42292490118577,11.6600790513834,28.458498023715418,44,13.12823475072059
ALL_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,1.5,120,506,47.03557312252965,37.7074119071395,0.07452057689158004,-0.15704417374615837,1.1569104910982013,35.87364640175284,10,0.9294727339037979,0.7716540502017664,61.76877470355731,31.620553359683797,43.47826086956522,44,22.668869902343513
ALL_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,1.5,120,409,47.67726161369193,37.443964812629474,0.09155003621669798,-0.049405491674765344,1.198583962486036,29.785367879933016,12,0.9293208362809474,0.7626720646544368,63.044009779951104,32.02933985330073,41.80929095354523,38,19.759344186083894
ALL_H4,BREAK_EXT_LE_0_8ATR,Bから0.8ATR以上伸びた飛び乗りを除外,1.5,120,404,47.277227722772274,37.18964594348752,0.09205357906803842,-0.168541591916655,1.1873474965860167,21.25630102224578,13,0.9499005489961985,0.7889067804552581,55.65346534653465,34.4059405940594,46.03960396039604,34,15.313258416670847
ALL_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,2.0,120,347,44.09221902017291,37.13836010548892,0.10702697436740323,-0.31365344160478675,1.2203531257360511,27.434228227794495,11,1.0522265651479452,0.7886976005499051,70.85302593659942,22.19020172910663,43.804034582132566,35,12.921700266049964
ALL_H4,BASELINE,B抜け即。除外なし,1.0,120,559,53.84615384615385,36.275091380757445,0.06489282894589883,0.31365219653432896,1.1554379786820101,31.04178569230412,10,0.7627597728403085,0.7055261925631663,49.32021466905188,45.97495527728086,38.10375670840787,47,18.024717381829504
ALL_H4,BREAK_EXT_LE_1_2ATR,Bから1.2ATR以上伸びた飛び乗りを除外,2.0,48,470,47.87234042553192,33.84365028346025,0.07200776656055372,-0.04150368446767945,1.181929263757323,21.664732666711522,8,0.8701171220344064,0.6899180128410956,37.295744680851065,12.978723404255318,31.48936170212766,41,9.030343070199804
ALL_H4,BREAK_EXT_LE_0_8ATR,Bから0.8ATR以上伸びた飛び乗りを除外,2.0,48,404,48.01980198019802,33.62545789484167,0.08323133142287541,-0.04412589940099762,1.2044465205194947,20.251700861417998,10,0.8992881135715172,0.7004704394451167,36.745049504950494,14.108910891089108,33.16831683168317,34,7.122208909347698
ALL_H4,BASELINE,B抜け即。除外なし,1.5,48,559,49.37388193202147,33.435266133675945,0.059812640668472174,-0.008256428255820401,1.1608841064202224,26.225979708034902,8,0.7839855586705333,0.6544304321193344,36.25402504472272,19.141323792486585,28.622540250447226,47,14.120703990613167
ALL_H4,BASELINE,B抜け即。除外なし,1.0,48,559,53.13059033989267,32.078559875481126,0.05738561695077125,0.09458094124212499,1.1660165065192996,25.5021126255146,8,0.677594102760967,0.6216259337011288,31.608228980322004,33.98926654740608,27.01252236135957,47,16.53054354227028
ALL_H4,RANGE_LE_2ATR,エントリー足の高安が2.0ATR以内,2.0,48,445,48.08988764044943,31.38646617647994,0.07053138466624706,-0.039253815317889885,1.1802418051948775,27.439998521108713,7,0.8493066230651231,0.6771120964440008,37.61797752808989,12.359550561797752,31.011235955056183,37,8.386162936983554
ALL_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,1.5,120,347,46.39769452449568,30.217810474684757,0.08708302730456702,-0.1594803829538485,1.186662666361514,30.72214830607025,11,0.9294669748238142,0.7659932118818175,62.757925072046106,32.564841498559076,42.07492795389049,35,15.283407209749143
ALL_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,1.0,120,536,53.54477611940298,29.94003915696195,0.055858282009257375,0.30416603133851144,1.132089698786383,34.29060992353961,10,0.760254763519789,0.7104770751288815,49.41044776119403,45.52238805970149,38.61940298507462,45,16.036209499648326
XAUUSD_H4,BASELINE,B抜け即。除外なし,2.0,48,71,63.38028169014085,28.930351960385096,0.40746974592091684,0.24148899441103086,2.580158437915517,5.551207246948005,7,1.0228422076001962,0.5677522176467508,39.16901408450704,21.12676056338028,19.718309859154928,7,4.254395980458023
ALL_H4,RANGE_LE_2ATR,エントリー足の高安が2.0ATR以内,1.5,120,445,45.84269662921348,28.409216163146972,0.06384093519808308,-0.2675516182597464,1.1311922306469866,34.83131965318443,9,0.9207587054472662,0.7820814052216586,59.70786516853933,31.685393258426963,44.9438202247191,37,16.942790127987728
XAUUSD_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,2.0,48,67,64.17910447761194,28.15017440233442,0.42015185675126004,0.3670447673994189,2.668661996433607,4.538394475881883,6,1.0292862143662773,0.5488892466957143,39.02985074626866,20.8955223880597,19.402985074626866,7,4.254395980458023
ALL_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,1.0,120,506,53.55731225296443,28.130369572081207,0.0555936157551012,0.28542216494081174,1.1315735861485154,32.836979403327504,10,0.7650949900970188,0.7101221191433991,49.58102766798419,45.65217391304348,38.537549407114625,44,20.205772475432347
ALL_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,1.5,48,536,49.06716417910448,27.71720154990653,0.05171119692146741,-0.00987650828399736,1.138301994624726,26.225979708034895,11,0.7766985632460168,0.6573881048667845,36.257462686567166,18.65671641791045,29.1044776119403,45,12.536078244712774
ALL_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,1.5,48,506,49.01185770750988,27.71560940275266,0.054773931625993394,-0.011874477225521263,1.147191620569389,26.909414859782828,10,0.7775142497562509,0.6564270725729298,36.23913043478261,18.774703557312254,28.26086956521739,44,16.133401200663243
ALL_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,1.0,120,409,54.034229828850854,27.35147277498029,0.06687401656474398,0.28924448517774864,1.1635360314698384,23.587867176971884,10,0.7603763011172793,0.7014283062803873,51.271393643031786,44.987775061124694,36.91931540342298,38,16.24121414414471
ALL_H4,BREAK_EXT_LE_1_2ATR,Bから1.2ATR以上伸びた飛び乗りを除外,1.5,120,470,45.95744680851064,27.08268942786706,0.057622743463546934,-0.31394558179450105,1.1165495209075138,32.77455262733742,9,0.9340165719659977,0.7935880127410633,58.01063829787234,32.12765957446809,45.95744680851064,41,16.294392660216744
XAUUSD_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,2.0,120,58,60.3448275862069,27.074892193619963,0.4668084860968959,0.38821076674027366,2.368840357960003,4.055229800933794,4,1.236029031937835,0.6430395611479734,73.46551724137932,31.03448275862069,29.310344827586203,6,2.9772994754738744
XAUUSD_H4,BASELINE,B抜け即。除外なし,2.0,120,71,56.33802816901409,26.864668582833108,0.37837561384271984,0.2950885389243468,1.977175175308693,7.1034374721468865,7,1.231461410559487,0.6999959900411468,72.19718309859155,29.577464788732392,33.80281690140845,7,1.975646905500651
ALL_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,2.0,48,409,48.899755501222494,26.51217351040486,0.06482194012323926,-0.013046683686689814,1.1745136532438303,15.69628646067609,7,0.8213769699103536,0.6550584618574272,38.50855745721272,10.513447432762836,27.628361858190708,38,10.483774276473852
ALL_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,1.0,48,506,52.96442687747036,26.460571903806844,0.052293620363254634,0.09279307631792666,1.1513411544267786,26.258214144380606,10,0.6753663106566734,0.6239417141900955,31.68774703557312,33.201581027667984,26.679841897233203,44,18.543240752320354
XAUUSD_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,2.0,48,58,67.24137931034483,26.454025127029947,0.45610388150051634,0.30426688090522486,2.9813112165203974,2.5029995757349135,4,1.0279174022635988,0.5217410328302328,39.44827586206897,22.413793103448278,17.24137931034483,6,3.662506797218851
ALL_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,1.0,48,536,52.61194029850746,26.1188111066825,0.048729125199034516,0.07810585736199536,1.1396623675274165,25.5021126255146,8,0.6733303138688586,0.6261020368210766,31.62313432835821,33.582089552238806,27.425373134328357,45,15.445917796369885
XAUUSD_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,2.0,120,67,56.71641791044776,25.32073731833975,0.37792145251253356,0.2950885389243468,1.9944538894200456,6.090624701080763,6,1.2402411056866365,0.6849483069081657,72.83582089552239,29.850746268656714,32.83582089552239,7,1.975646905500651
XAUUSD_H4,BASELINE,B抜け即。除外なし,1.5,48,71,64.7887323943662,24.38955559523656,0.3435148675385431,0.3670447673994189,2.3502656059432057,5.551207246948006,7,0.923386299763479,0.5621317956803381,36.66197183098591,25.352112676056336,19.718309859154928,7,4.160854227245624
XAUUSD_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,1.5,48,67,65.67164179104478,24.10937803718588,0.3598414632415803,0.38992072539296574,2.4502598307478882,4.538394475881883,6,0.9322401669279596,0.5429332771492172,36.417910447761194,25.37313432835821,19.402985074626866,7,4.160854227245624
XAUUSD_H4,BASELINE,B抜け即。除外なし,1.5,120,71,59.154929577464785,23.83863848475022,0.3357554716162003,0.4648618784393316,1.9355134376816412,7.1034374721468865,7,1.06644589028355,0.6725587049153134,62.943661971830984,40.845070422535215,30.985915492957744,7,3.4756469055006476
XAUUSD_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,2.0,48,68,61.76470588235294,22.969490391648502,0.3377866234065956,0.2316448666224043,2.2545797613068395,5.551207246948005,7,0.9764551162083022,0.5780646666773589,39.5735294117647,17.647058823529413,20.588235294117645,6,2.2607754459513565
XAUUSD_H4,CLOSE_LOC_GE_60,エントリー足の終値位置が上位60%以上,1.5,120,67,59.70149253731343,22.904292404655727,0.34185511051724965,0.4648618784393316,1.9766598895805747,6.090624701080763,6,1.0756107067146847,0.6558729749091483,63.44776119402985,40.298507462686565,29.850746268656714,7,3.4756469055006476
