symbol,timeframe,period,line_reclaim_time,h1_time,h2_time,h3_time,h1_price,h2_price,h3_price,line_reclaim_close,bars_after_h3_to_line,variant,entry_time,entry_i,h3_i,confirm_level,confirm_bar_time,bars_after_line,b_break_time,b_break_i,b_level,bars_after_b,support_retest_time
XAUUSD,H1,Research_2015_2024,2014-01-23 09:00:00,2014-01-19 23:00:00,2014-01-20 13:00:00,2014-01-21 07:00:00,1261.203,1257.303,1254.363,1246.983,50,ENTRY_A_B_BREAK,2014-01-24 11:00:00,388,312,1265.433,2014-01-23 15:00:00,26,2014-01-24 11:00:00,388,1265.433,0,
XAUUSD,H1,Research_2015_2024,2014-01-23 09:00:00,2014-01-19 23:00:00,2014-01-20 13:00:00,2014-01-21 07:00:00,1261.203,1257.303,1254.363,1246.983,50,ENTRY_C_A_AFTER_B,2014-01-24 11:00:00,388,312,1254.363,2014-01-21 07:00:00,26,2014-01-24 11:00:00,388,1265.433,0,
XAUUSD,H1,Research_2015_2024,2014-01-28 05:00:00,2014-01-26 23:00:00,2014-01-27 09:00:00,2014-01-27 17:00:00,1279.013,1272.46,1265.772,1259.878,12,ENTRY_A_B_BREAK,2014-01-29 20:00:00,468,417,1269.042,2014-01-29 13:00:00,39,2014-01-29 20:00:00,468,1269.042,0,
XAUUSD,H1,Research_2015_2024,2014-01-28 05:00:00,2014-01-26 23:00:00,2014-01-27 09:00:00,2014-01-27 17:00:00,1279.013,1272.46,1265.772,1259.878,12,ENTRY_C_A_AFTER_B,2014-01-29 20:00:00,468,417,1265.772,2014-01-27 17:00:00,39,2014-01-29 20:00:00,468,1269.042,0,
XAUUSD,H1,Research_2015_2024,2014-05-02 14:00:00,2014-04-28 01:00:00,2014-04-29 13:00:00,2014-04-30 18:00:00,1306.448,1301.342,1298.093,1295.06,44,ENTRY_A_B_BREAK,2014-05-02 14:00:00,2010,1966,1285.493,2014-05-01 18:00:00,0,2014-05-02 14:00:00,2010,1285.493,0,
XAUUSD,H1,Research_2015_2024,2014-05-02 14:00:00,2014-04-28 01:00:00,2014-04-29 13:00:00,2014-04-30 18:00:00,1306.448,1301.342,1298.093,1295.06,44,ENTRY_C_A_AFTER_B,2014-05-02 15:00:00,2011,1966,1298.093,2014-04-30 18:00:00,0,2014-05-02 14:00:00,2010,1285.493,1,
XAUUSD,H1,Research_2015_2024,2014-06-23 16:00:00,2014-06-19 22:00:00,2014-06-20 14:00:00,2014-06-23 07:00:00,1321.992,1319.746,1317.266,1317.424,9,ENTRY_A_B_BREAK,2014-06-24 08:00:00,2878,2853,1318.433,2014-06-23 17:00:00,16,2014-06-24 08:00:00,2878,1318.433,0,
XAUUSD,H1,Research_2015_2024,2014-06-23 16:00:00,2014-06-19 22:00:00,2014-06-20 14:00:00,2014-06-23 07:00:00,1321.992,1319.746,1317.266,1317.424,9,ENTRY_C_A_AFTER_B,2014-06-24 08:00:00,2878,2853,1317.266,2014-06-23 07:00:00,16,2014-06-24 08:00:00,2878,1318.433,0,
XAUUSD,H1,Research_2015_2024,2014-07-16 12:00:00,2014-07-13 22:00:00,2014-07-15 09:00:00,2014-07-16 06:00:00,1339.512,1313.71,1299.45,1298.303,6,ENTRY_A_B_BREAK,2014-07-17 04:00:00,3275,3254,1303.713,2014-07-16 14:00:00,15,2014-07-17 04:00:00,3275,1303.713,0,
XAUUSD,H1,Research_2015_2024,2014-07-16 12:00:00,2014-07-13 22:00:00,2014-07-15 09:00:00,2014-07-16 06:00:00,1339.512,1313.71,1299.45,1298.303,6,ENTRY_C_A_AFTER_B,2014-07-17 04:00:00,3275,3254,1299.45,2014-07-16 06:00:00,15,2014-07-17 04:00:00,3275,1303.713,0,
XAUUSD,H1,Research_2015_2024,2014-07-25 05:00:00,2014-07-23 12:00:00,2014-07-24 09:00:00,2014-07-24 22:00:00,1311.18,1301.263,1294.233,1292.517,7,ENTRY_A_B_BREAK,2014-07-29 07:00:00,3467,3411,1308.571,2014-07-25 19:00:00,49,2014-07-29 07:00:00,3467,1308.571,0,
XAUUSD,H1,Research_2015_2024,2014-07-25 05:00:00,2014-07-23 12:00:00,2014-07-24 09:00:00,2014-07-24 22:00:00,1311.18,1301.263,1294.233,1292.517,7,ENTRY_C_A_AFTER_B,2014-07-29 07:00:00,3467,3411,1294.233,2014-07-24 22:00:00,49,2014-07-29 07:00:00,3467,1308.571,0,
XAUUSD,H1,Research_2015_2024,2014-08-06 07:00:00,2014-08-01 13:00:00,2014-08-04 07:00:00,2014-08-05 08:00:00,1297.166,1295.358,1293.423,1291.749,23,ENTRY_A_B_BREAK,2014-08-06 12:00:00,3613,3585,1293.941,2014-08-05 18:00:00,5,2014-08-06 12:00:00,3613,1293.941,0,
XAUUSD,H1,Research_2015_2024,2014-08-06 07:00:00,2014-08-01 13:00:00,2014-08-04 07:00:00,2014-08-05 08:00:00,1297.166,1295.358,1293.423,1291.749,23,ENTRY_C_A_AFTER_B,2014-08-06 12:00:00,3613,3585,1293.423,2014-08-05 08:00:00,5,2014-08-06 12:00:00,3613,1293.941,0,
XAUUSD,H1,Research_2015_2024,2014-08-25 10:00:00,2014-08-20 12:00:00,2014-08-22 10:00:00,2014-08-22 16:00:00,1297.907,1282.851,1281.75,1277.987,13,ENTRY_A_B_BREAK,2014-08-28 10:00:00,3982,3898,1290.809,2014-08-26 12:00:00,71,2014-08-28 10:00:00,3982,1290.809,0,
XAUUSD,H1,Research_2015_2024,2014-08-25 10:00:00,2014-08-20 12:00:00,2014-08-22 10:00:00,2014-08-22 16:00:00,1297.907,1282.851,1281.75,1277.987,13,ENTRY_C_A_AFTER_B,2014-08-28 10:00:00,3982,3898,1281.75,2014-08-22 16:00:00,71,2014-08-28 10:00:00,3982,1290.809,0,
XAUUSD,H1,Research_2015_2024,2014-10-06 14:00:00,2014-10-02 16:00:00,2014-10-02 23:00:00,2014-10-03 12:00:00,1218.882,1215.262,1209.332,1200.492,25,ENTRY_A_B_BREAK,2014-10-07 07:00:00,4634,4592,1208.998,2014-10-06 16:00:00,17,2014-10-07 07:00:00,4634,1208.998,0,
XAUUSD,H1,Research_2015_2024,2014-10-06 14:00:00,2014-10-02 16:00:00,2014-10-02 23:00:00,2014-10-03 12:00:00,1218.882,1215.262,1209.332,1200.492,25,ENTRY_C_A_AFTER_B,2014-10-07 07:00:00,4634,4592,1209.332,2014-10-03 12:00:00,17,2014-10-07 07:00:00,4634,1208.998,0,
XAUUSD,H1,Research_2015_2024,2014-10-20 06:00:00,2014-10-16 16:00:00,2014-10-17 06:00:00,2014-10-19 22:00:00,1244.292,1241.648,1240.191,1239.972,8,ENTRY_A_B_BREAK,2014-10-21 04:00:00,4863,4834,1248.729,2014-10-20 12:00:00,21,2014-10-21 04:00:00,4863,1248.729,0,
XAUUSD,H1,Research_2015_2024,2014-10-20 06:00:00,2014-10-16 16:00:00,2014-10-17 06:00:00,2014-10-19 22:00:00,1244.292,1241.648,1240.191,1239.972,8,ENTRY_B_B_SUPPORT_REACCEL,2014-10-21 07:00:00,4866,4834,1250.129,2014-10-21 06:00:00,21,2014-10-21 04:00:00,4863,1248.729,3,2014-10-21 06:00:00
XAUUSD,H1,Research_2015_2024,2014-10-20 06:00:00,2014-10-16 16:00:00,2014-10-17 06:00:00,2014-10-19 22:00:00,1244.292,1241.648,1240.191,1239.972,8,ENTRY_C_A_AFTER_B,2014-10-21 04:00:00,4863,4834,1240.191,2014-10-19 22:00:00,21,2014-10-21 04:00:00,4863,1248.729,0,
XAUUSD,H1,Research_2015_2024,2014-12-03 01:00:00,2014-12-01 18:00:00,2014-12-02 06:00:00,2014-12-02 16:00:00,1221.012,1210.622,1203.829,1200.492,9,ENTRY_A_B_BREAK,2014-12-03 15:00:00,5598,5575,1208.29,2014-12-03 08:00:00,14,2014-12-03 15:00:00,5598,1208.29,0,
XAUUSD,H1,Research_2015_2024,2014-12-03 01:00:00,2014-12-01 18:00:00,2014-12-02 06:00:00,2014-12-02 16:00:00,1221.012,1210.622,1203.829,1200.492,9,ENTRY_C_A_AFTER_B,2014-12-03 15:00:00,5598,5575,1203.829,2014-12-02 16:00:00,14,2014-12-03 15:00:00,5598,1208.29,0,
XAUUSD,H1,Research_2015_2024,2014-12-16 12:00:00,2014-12-11 17:00:00,2014-12-12 09:00:00,2014-12-15 07:00:00,1231.895,1227.311,1220.623,1216.341,29,ENTRY_A_B_BREAK,2014-12-17 07:00:00,5828,5780,1199.391,2014-12-17 01:00:00,19,2014-12-17 07:00:00,5828,1199.391,0,
XAUUSD,H1,Research_2015_2024,2015-01-08 13:00:00,2015-01-06 16:00:00,2015-01-07 10:00:00,2015-01-07 20:00:00,1223.022,1218.258,1216.61,1212.902,17,ENTRY_A_B_BREAK,2015-01-09 15:00:00,6165,6122,1216.429,2015-01-08 15:00:00,26,2015-01-09 15:00:00,6165,1216.429,0,
XAUUSD,H1,Research_2015_2024,2015-01-08 13:00:00,2015-01-06 16:00:00,2015-01-07 10:00:00,2015-01-07 20:00:00,1223.022,1218.258,1216.61,1212.902,17,ENTRY_B_B_SUPPORT_REACCEL,2015-01-09 18:00:00,6168,6122,1218.28,2015-01-09 17:00:00,26,2015-01-09 15:00:00,6165,1216.429,3,2015-01-09 17:00:00
XAUUSD,H1,Research_2015_2024,2015-01-08 13:00:00,2015-01-06 16:00:00,2015-01-07 10:00:00,2015-01-07 20:00:00,1223.022,1218.258,1216.61,1212.902,17,ENTRY_C_A_AFTER_B,2015-01-09 15:00:00,6165,6122,1216.61,2015-01-07 20:00:00,26,2015-01-09 15:00:00,6165,1216.429,0,
XAUUSD,H1,Research_2015_2024,2015-01-20 07:00:00,2015-01-16 16:00:00,2015-01-18 23:00:00,2015-01-19 12:00:00,1282.031,1281.358,1278.918,1279.961,15,ENTRY_A_B_BREAK,2015-01-20 16:00:00,6327,6303,1294.178,2015-01-20 09:00:00,9,2015-01-20 16:00:00,6327,1294.178,0,
XAUUSD,H1,Research_2015_2024,2015-01-20 07:00:00,2015-01-16 16:00:00,2015-01-18 23:00:00,2015-01-19 12:00:00,1282.031,1281.358,1278.918,1279.961,15,ENTRY_C_A_AFTER_B,2015-01-20 16:00:00,6327,6303,1278.918,2015-01-19 12:00:00,9,2015-01-20 16:00:00,6327,1294.178,0,
XAUUSD,H1,Research_2015_2024,2015-03-09 21:00:00,2015-03-05 15:00:00,2015-03-06 03:00:00,2015-03-09 10:00:00,1209.38,1200.639,1175.289,1166.641,11,ENTRY_A_B_BREAK,2015-03-12 05:00:00,7179,7114,1156.116,2015-03-11 22:00:00,54,2015-03-12 05:00:00,7179,1156.116,0,
XAUUSD,H1,Research_2015_2024,2015-04-15 17:00:00,2015-04-10 13:00:00,2015-04-13 01:00:00,2015-04-13 13:00:00,1210.739,1209.498,1206.902,1201.999,52,ENTRY_A_B_BREAK,2015-04-15 17:00:00,7731,7679,1198.998,2015-04-14 15:00:00,0,2015-04-15 17:00:00,7731,1198.998,0,
XAUUSD,H1,Research_2015_2024,2015-04-15 17:00:00,2015-04-10 13:00:00,2015-04-13 01:00:00,2015-04-13 13:00:00,1210.739,1209.498,1206.902,1201.999,52,ENTRY_C_A_AFTER_B,2015-04-16 07:00:00,7744,7679,1206.902,2015-04-13 13:00:00,0,2015-04-15 17:00:00,7731,1198.998,13,
XAUUSD,H1,Research_2015_2024,2015-04-27 14:00:00,2015-04-22 06:00:00,2015-04-23 18:00:00,2015-04-24 07:00:00,1204.759,1197.98,1195.902,1203.162,30,ENTRY_A_B_BREAK,2015-04-28 14:00:00,7941,7887,1207.218,2015-04-27 16:00:00,24,2015-04-28 14:00:00,7941,1207.218,0,
XAUUSD,H1,Research_2015_2024,2015-04-27 14:00:00,2015-04-22 06:00:00,2015-04-23 18:00:00,2015-04-24 07:00:00,1204.759,1197.98,1195.902,1203.162,30,ENTRY_C_A_AFTER_B,2015-04-28 14:00:00,7941,7887,1195.902,2015-04-24 07:00:00,24,2015-04-28 14:00:00,7941,1207.218,0,
XAUUSD,H1,Research_2015_2024,2015-05-08 01:00:00,2015-05-06 12:00:00,2015-05-06 23:00:00,2015-05-07 13:00:00,1197.605,1192.8,1188.477,1184.472,12,ENTRY_A_B_BREAK,2015-05-13 12:00:00,8201,8107,1197.025,2015-05-12 10:00:00,82,2015-05-13 12:00:00,8201,1197.025,0,
XAUUSD,H1,Research_2015_2024,2015-05-08 01:00:00,2015-05-06 12:00:00,2015-05-06 23:00:00,2015-05-07 13:00:00,1197.605,1192.8,1188.477,1184.472,12,ENTRY_C_A_AFTER_B,2015-05-13 12:00:00,8201,8107,1188.477,2015-05-07 13:00:00,82,2015-05-13 12:00:00,8201,1197.025,0,
XAUUSD,H1,Research_2015_2024,2015-06-12 00:00:00,2015-06-10 12:00:00,2015-06-11 04:00:00,2015-06-11 12:00:00,1192.259,1187.928,1185.338,1182.522,12,ENTRY_A_B_BREAK,2015-06-14 22:00:00,8729,8696,1183.489,2015-06-12 14:00:00,21,2015-06-14 22:00:00,8729,1183.489,0,
XAUUSD,H1,Research_2015_2024,2015-06-12 00:00:00,2015-06-10 12:00:00,2015-06-11 04:00:00,2015-06-11 12:00:00,1192.259,1187.928,1185.338,1182.522,12,ENTRY_C_A_AFTER_B,2015-06-14 22:00:00,8729,8696,1185.338,2015-06-11 12:00:00,21,2015-06-14 22:00:00,8729,1183.489,0,
XAUUSD,H1,Research_2015_2024,2015-06-14 22:00:00,2015-06-11 12:00:00,2015-06-12 07:00:00,2015-06-12 14:00:00,1185.338,1184.252,1183.489,1185.859,7,ENTRY_A_B_BREAK,2015-06-18 07:00:00,8810,8722,1190.492,2015-06-15 15:00:00,81,2015-06-18 07:00:00,8810,1190.492,0,
XAUUSD,H1,Research_2015_2024,2015-06-14 22:00:00,2015-06-11 12:00:00,2015-06-12 07:00:00,2015-06-12 14:00:00,1185.338,1184.252,1183.489,1185.859,7,ENTRY_B_B_SUPPORT_REACCEL,2015-06-18 09:00:00,8812,8722,1197.858,2015-06-18 08:00:00,81,2015-06-18 07:00:00,8810,1190.492,2,2015-06-18 08:00:00
XAUUSD,H1,Research_2015_2024,2015-06-14 22:00:00,2015-06-11 12:00:00,2015-06-12 07:00:00,2015-06-12 14:00:00,1185.338,1184.252,1183.489,1185.859,7,ENTRY_C_A_AFTER_B,2015-06-18 07:00:00,8810,8722,1183.489,2015-06-12 14:00:00,81,2015-06-18 07:00:00,8810,1190.492,0,
XAUUSD,H1,Research_2015_2024,2015-07-16 05:00:00,2015-07-14 13:00:00,2015-07-14 23:00:00,2015-07-15 20:00:00,1159.738,1156.789,1149.949,1147.138,9,ENTRY_A_B_BREAK,2015-07-21 07:00:00,9342,9261,1105.821,2015-07-21 01:00:00,72,2015-07-21 07:00:00,9342,1105.821,0,
XAUUSD,H1,Research_2015_2024,2015-08-27 08:00:00,2015-08-25 13:00:00,2015-08-25 23:00:00,2015-08-27 02:00:00,1152.712,1146.409,1129.128,1125.388,6,ENTRY_A_B_BREAK,2015-08-28 13:00:00,9997,9963,1132.939,2015-08-28 07:00:00,28,2015-08-28 13:00:00,9997,1132.939,0,
XAUUSD,H1,Research_2015_2024,2015-08-27 08:00:00,2015-08-25 13:00:00,2015-08-25 23:00:00,2015-08-27 02:00:00,1152.712,1146.409,1129.128,1125.388,6,ENTRY_C_A_AFTER_B,2015-08-28 13:00:00,9997,9963,1129.128,2015-08-27 02:00:00,28,2015-08-28 13:00:00,9997,1132.939,0,
XAUUSD,H1,Research_2015_2024,2015-09-06 22:00:00,2015-09-01 13:00:00,2015-09-02 07:00:00,2015-09-03 07:00:00,1147.861,1142.398,1134.26,1122.349,37,ENTRY_A_B_BREAK,2015-09-08 11:00:00,10153,10083,1122.158,2015-09-08 04:00:00,33,2015-09-08 11:00:00,10153,1122.158,0,
XAUUSD,H1,Research_2015_2024,2015-09-06 22:00:00,2015-09-01 13:00:00,2015-09-02 07:00:00,2015-09-03 07:00:00,1147.861,1142.398,1134.26,1122.349,37,ENTRY_B_B_SUPPORT_REACCEL,2015-09-08 15:00:00,10157,10083,1124.11,2015-09-08 12:00:00,33,2015-09-08 11:00:00,10153,1122.158,4,2015-09-08 12:00:00
XAUUSD,H1,Research_2015_2024,2015-09-14 02:00:00,2015-09-10 13:00:00,2015-09-11 02:00:00,2015-09-11 19:00:00,1114.988,1112.869,1108.438,1108.938,6,ENTRY_A_B_BREAK,2015-09-16 12:00:00,10292,10230,1109.039,2015-09-15 12:00:00,56,2015-09-16 12:00:00,10292,1109.039,0,
XAUUSD,H1,Research_2015_2024,2015-09-14 02:00:00,2015-09-10 13:00:00,2015-09-11 02:00:00,2015-09-11 19:00:00,1114.988,1112.869,1108.438,1108.938,6,ENTRY_C_A_AFTER_B,2015-09-16 12:00:00,10292,10230,1108.438,2015-09-11 19:00:00,56,2015-09-16 12:00:00,10292,1109.039,0,
