symbol,timeframe,period,line_reclaim_time,h1_time,h2_time,h3_time,h1_price,h2_price,h3_price,line_reclaim_close,bars_after_h3_to_line,variant,entry_time,entry_i,h3_i,confirm_level,confirm_bar_time,bars_after_line
XAUUSD,H1,Research_2015_2024,2014-01-23 09:00:00,2014-01-19 23:00:00,2014-01-20 13:00:00,2014-01-21 07:00:00,1261.203,1257.303,1254.363,1246.983,50,B_BREAK,2014-01-24 11:00:00,388,312,1265.433,2014-01-23 15:00:00,26
XAUUSD,H1,Research_2015_2024,2014-01-23 09:00:00,2014-01-19 23:00:00,2014-01-20 13:00:00,2014-01-21 07:00:00,1261.203,1257.303,1254.363,1246.983,50,A_BREAK,2014-01-23 13:00:00,366,312,1254.363,2014-01-21 07:00:00,4
XAUUSD,H1,Research_2015_2024,2014-01-28 05:00:00,2014-01-26 23:00:00,2014-01-27 09:00:00,2014-01-27 17:00:00,1279.013,1272.46,1265.772,1259.878,12,B_BREAK,2014-01-29 20:00:00,468,417,1269.042,2014-01-29 13:00:00,39
XAUUSD,H1,Research_2015_2024,2014-01-28 05:00:00,2014-01-26 23:00:00,2014-01-27 09:00:00,2014-01-27 17:00:00,1279.013,1272.46,1265.772,1259.878,12,A_BREAK,2014-01-29 13:00:00,461,417,1265.772,2014-01-27 17:00:00,32
XAUUSD,H1,Research_2015_2024,2014-01-28 05:00:00,2014-01-26 23:00:00,2014-01-27 09:00:00,2014-01-27 17:00:00,1279.013,1272.46,1265.772,1259.878,12,PULLBACK_REACCEL,2014-01-29 11:00:00,459,417,1259.642,2014-01-28 07:00:00,30
XAUUSD,H1,Research_2015_2024,2014-03-26 03:00:00,2014-03-16 23:00:00,2014-03-17 06:00:00,2014-03-17 14:00:00,1389.122,1384.925,1382.202,1313.362,151,PULLBACK_REACCEL,2014-03-26 05:00:00,1392,1239,1313.388,2014-03-26 04:00:00,2
XAUUSD,H1,Research_2015_2024,2014-05-02 14:00:00,2014-04-28 01:00:00,2014-04-29 13:00:00,2014-04-30 18:00:00,1306.448,1301.342,1298.093,1295.06,44,B_BREAK,2014-05-02 14:00:00,2010,1966,1285.493,2014-05-01 18:00:00,0
XAUUSD,H1,Research_2015_2024,2014-05-02 14:00:00,2014-04-28 01:00:00,2014-04-29 13:00:00,2014-04-30 18:00:00,1306.448,1301.342,1298.093,1295.06,44,A_BREAK,2014-05-02 15:00:00,2011,1966,1298.093,2014-04-30 18:00:00,1
XAUUSD,H1,Research_2015_2024,2014-05-02 14:00:00,2014-04-28 01:00:00,2014-04-29 13:00:00,2014-04-30 18:00:00,1306.448,1301.342,1298.093,1295.06,44,PULLBACK_REACCEL,2014-05-05 01:00:00,2020,1966,1304.623,2014-05-02 15:00:00,10
XAUUSD,H1,Research_2015_2024,2014-06-04 04:00:00,2014-06-02 14:00:00,2014-06-03 11:00:00,2014-06-03 19:00:00,1250.742,1247.617,1246.992,1245.931,9,A_BREAK,2014-06-05 12:00:00,2574,2533,1246.992,2014-06-03 19:00:00,32
