timeframe,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
H4,2.0,120,838,40.214797136038186,33.83080446173605,0.04037088837915997,-1.0066819963312428,1.069415990990992,54.14310416047988,16,1.1460733262910505,0.936556625525461,43.79355608591885,27.804295942720763,54.295942720763726,72,21.748366530755717
H4,1.5,120,838,44.868735083532215,28.70015336442657,0.034248393036308555,-1.0022708090098646,1.063957847638306,44.772115240131825,16,0.996895318085447,0.8868945220343863,37.83054892601432,36.15751789976134,50.11933174224343,72,10.23937372704533
H4,1.0,120,838,52.50596658711218,15.644123296964402,0.018668404888979,0.3314519011767281,1.0404974576750898,26.449711465859135,10,0.8214294402869946,0.79450130543772,29.007159904534607,48.21002386634845,43.31742243436754,72,3.758061981010777
H4,1.5,48,838,44.98806682577566,13.07306685504956,0.015600318442779905,-0.21904443346719316,1.0322188385692843,42.06645051704876,13,0.9150618652907446,0.8252775538497285,24.050119331742245,28.758949880668254,42.959427207637226,72,6.537980403001168
H4,2.0,48,838,41.766109785202865,11.074179375595136,0.013215011188061022,-0.37144736658786104,1.0257412644506458,43.162092786904175,13,1.0249883197585072,0.8586410606576904,26.173031026252982,20.167064439140812,45.346062052505964,72,15.879487266509152
H4,1.0,48,838,51.3126491646778,6.2984063882691395,0.0075159980766934835,0.05398970354384319,1.0175229626280107,26.597456406976768,9,0.7790049684915141,0.756463887989189,19.960620525059667,42.004773269689736,38.066825775656326,72,5.721589858066985
H1,2.0,120,1551,38.36234687298517,-70.59195572081047,-0.04551383347569986,-1.0114962563803138,0.9247478406032421,89.0143418761877,18,1.0699840897600126,0.9291731861317902,48.143778207607994,24.435847840103158,54.73887814313346,181,-10.468564038339741
H1,1.5,120,1551,42.5531914893617,-74.30564692305114,-0.04790821851905296,-1.0060699424284893,0.9148221637811353,88.35928906443081,12,0.9306564167592911,0.8861593014160127,43.01611863313991,32.23726627981947,50.870406189555126,181,-21.79919622030069
H1,2.0,48,1551,40.5544809800129,-96.99300441912598,-0.06253578621478142,-0.3870175783614822,0.881830452478469,103.37508722621462,13,0.9259084852588699,0.8439217915625171,28.28368794326241,17.859445519019985,45.003223726627986,181,-18.589487866225923
H1,1.0,120,1551,49.8388136686009,-97.68154906373836,-0.06297972215585967,-0.03790818550448492,0.872071626817846,100.14146210223221,12,0.7572792192218429,0.8011011647081444,35.29658284977434,43.133462282398455,44.551901998710505,181,-33.45983545330053
H1,1.5,48,1551,43.391360412637006,-105.73131190907833,-0.06816976912255211,-0.24552153781987282,0.8639825484496508,108.24546661747705,12,0.8337644540150245,0.8141820939434637,26.186976144422953,24.435847840103158,42.488716956802065,181,-24.584879754401772
H1,1.0,48,1551,48.871695680206315,-113.79557992027645,-0.07336916822712859,-0.05347264599113822,0.8377085898566328,116.34700604437013,10,0.7011773384149094,0.7495413918641661,22.667311411992262,36.49258542875564,38.23339780786589,181,-35.53967944849437
