symbol,timeframe,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
XAUUSD,H4,2.0,120,107,49.532710280373834,26.699915655892525,0.24953192201768715,-0.009862967390619568,1.520517700162381,10.363253126533571,6,1.2519034586973259,0.8991349972655652,45.60747663551402,30.8411214953271,43.925233644859816,9,10.12329611626271
SILVER,H4,1.0,120,121,63.63636363636363,24.16118172742508,0.19967918782995936,0.8767561087892163,1.543891044246535,6.433057730024261,6,0.9716650267545731,0.6848315651163998,25.289256198347108,63.63636363636363,31.40495867768595,2,-1.1773130374372867
SILVER,H4,1.5,120,121,52.066115702479344,21.963775905363544,0.1815188091352359,0.2156441708381413,1.3753492925022208,14.489394871969097,8,1.1669288917700058,0.8121163466786362,36.62809917355372,47.107438016528924,41.32231404958678,2,-1.1773130374372867
XAUUSD,H4,1.5,120,107,52.336448598130836,21.100504199181238,0.19720097382412372,0.13978601843742533,1.4300874136395305,10.949554560030993,6,1.1054781974709311,0.8620261934345201,38.598130841121495,40.18691588785047,42.05607476635514,9,8.409583114018844
GBPJPY,H1,2.0,120,197,43.65482233502538,20.337319619956897,0.10323512497440049,-1.0095728892325606,1.185395705932257,13.505364358075589,8,1.1679054627259766,0.8968024756949926,45.101522842639596,28.426395939086298,52.28426395939086,35,-1.581786429974665
XAUUSD,H4,1.0,120,107,60.747663551401864,19.50361284814188,0.18227675559011103,0.9419608941828211,1.4812466245360238,10.449554560030979,5,0.9300725498400005,0.7518991935780499,27.50467289719626,55.140186915887845,35.51401869158878,9,4.9095831140188775
SILVER,H4,1.5,48,121,52.892561983471076,19.184543719302095,0.15854994809340575,0.19059894158629165,1.3688015160909304,10.793563444667903,7,1.065928465893101,0.7274194059864971,23.66115702479339,36.36363636363637,34.710743801652896,2,-1.0089551538845194
XAUUSD,H4,2.0,48,107,50.467289719626166,17.840340386032373,0.16673215314048948,0.04619045685349101,1.3644283851189587,12.417541132688314,5,1.1176994124810524,0.8398168514928936,25.093457943925234,24.299065420560748,41.1214953271028,9,10.013725015805134
SILVER,H4,1.0,48,121,61.15702479338842,17.612243295036652,0.14555572971104672,0.7596738772253457,1.4066576740181456,5.572584152992592,5,0.9260961771362581,0.654342603150493,18.132231404958677,55.371900826446286,28.92561983471074,2,-1.0089551538845194
GBPJPY,H1,1.5,120,197,47.71573604060914,16.58928883087755,0.08420958797399772,-0.5018274580423127,1.1622872488971079,12.288365504441416,8,1.0180961829886528,0.8517831764365834,39.03045685279188,37.56345177664975,48.73096446700508,35,-1.2388597309406344
