symbol,timeframe,events,median_mfe_24,median_mae_24,median_fwd_24,pct_mfe24_ge_3,pct_hit1_first_24,median_mfe24_vs_prev_leg,median_mfe_48,median_mae_48,median_fwd_48,pct_mfe48_ge_3,pct_hit1_first_48,median_mfe48_vs_prev_leg,median_mfe_120,median_mae_120,median_fwd_120,pct_mfe120_ge_3,pct_hit1_first_120,median_mfe120_vs_prev_leg,median_prev_leg_avg_atr
EURJPY,H1,169,2.38545851609448,2.0850079962880015,-0.05027655975376022,40.828402366863905,50.29585798816568,0.6008190779824801,3.4138258778877253,2.867713907345529,0.22910341952033672,55.02958579881657,50.29585798816568,0.7704987232173257,4.719304699365768,5.252826322886501,-0.12704494011435155,69.23076923076923,50.29585798816568,1.2506487722136497,4.068351850883234
CHFJPY,H1,167,2.4254640965915213,1.7304671665345115,0.1556687464167864,41.91616766467065,50.29940119760479,0.6117036520240278,3.5777241156902235,2.620552238295911,0.24678963116994704,59.2814371257485,50.29940119760479,0.9395637951498432,5.687465796320311,4.479152137777658,0.35638250176557806,76.04790419161677,50.29940119760479,1.5317646386103942,3.8393368514062742
XAUUSD,H1,156,2.0898863388246003,2.0279075378402247,-0.10592431846736335,36.53846153846153,41.66666666666667,0.5242416548349333,3.1280647584131316,3.2290482593802494,-0.3573028119367445,51.28205128205128,41.66666666666667,0.7857093726999194,4.31281315347746,6.032285402172587,-0.9224134920324519,66.66666666666666,41.66666666666667,1.1707955389692586,3.848695018453097
USDJPY,H1,151,2.4129101293883717,2.471533781684956,-0.48806821293085517,41.72185430463576,49.668874172185426,0.6134040952352157,3.169192190247365,3.3905126326995068,-1.2712947130434702,52.980132450331126,49.668874172185426,0.7049034975530561,5.182831398481181,5.465663660264339,-1.701201137744219,66.88741721854305,49.668874172185426,1.244248924662349,3.8527082167611533
SILVER,H1,149,1.9962691304553317,2.4848925520985725,-0.5985074671077358,32.21476510067114,43.624161073825505,0.5174700823517825,2.7188862677374557,3.3549146614670584,-1.0275312844869167,44.966442953020135,43.624161073825505,0.6357031054182556,4.08989288457855,5.334631481599327,-2.1200669238427614,59.73154362416108,43.624161073825505,0.9705507580778634,3.9046308198035
AUDJPY,H1,145,2.4346764648332972,2.197179935068652,0.03733424119260368,40.0,45.51724137931035,0.5634254987088954,3.613049474235107,2.830760596999973,-0.06091749865320803,55.86206896551724,45.51724137931035,0.8382904113388706,4.7699748585581485,4.535770324456943,-0.6578000258485839,70.34482758620689,45.51724137931035,1.2593563427728751,3.9531015491082355
GBPJPY,H1,141,2.260876820375267,2.06938770358531,0.15851018059307886,35.46099290780142,47.5177304964539,0.48287727884283627,2.6946730700827914,3.461961762066162,-1.4659633701151367,43.97163120567376,47.5177304964539,0.634256891381023,4.170643771567403,5.937248338563258,-1.6818205032264786,59.57446808510638,47.5177304964539,1.0332456978679891,4.112828102656993
EURJPY,H4,86,2.278931863628178,2.3373581717120295,-0.12213108094484121,38.372093023255815,48.837209302325576,0.7342152722397319,3.5605827587726258,3.415356472056005,-0.19152484726377825,53.48837209302325,48.837209302325576,1.0647398721788515,4.958163381117945,5.251954227235939,-0.42724584815734695,69.76744186046511,48.837209302325576,1.392170676219125,3.0736971753070077
GBPJPY,H4,77,2.769173134888817,2.3197036672712654,-0.12415741250816835,42.857142857142854,57.14285714285714,0.7513616127173329,3.4778978590777734,3.608229306330861,-1.3255382290900966,55.84415584415584,57.14285714285714,0.9664626506313526,4.697979456935942,6.1676033538011765,-1.941652907678125,63.63636363636363,57.14285714285714,1.511916425518186,3.395485456258424
CHFJPY,H4,75,1.8686002798500196,1.9594398773067145,-0.4387189864987156,34.66666666666667,49.333333333333336,0.49319531927110855,2.4848071924040513,3.0851913068050174,-0.36618950840222714,41.333333333333336,49.333333333333336,0.797112236465816,4.230468790282837,4.81728175663643,-0.6446799483207156,62.66666666666667,49.333333333333336,1.3185549269267816,3.0517068225395385
USDJPY,H4,75,2.344988512358984,1.9681853334285893,-0.1305116307727585,38.666666666666664,45.33333333333333,0.6868283722238181,2.959818835060943,3.413092291166581,-0.8267487623145438,48.0,45.33333333333333,0.85319759220304,4.2954233837590134,4.429622023700809,-1.0051502898060192,61.33333333333333,45.33333333333333,1.40211624530764,3.3227191606034117
SILVER,H4,64,1.882212514767021,2.181997880352527,-0.497697546765381,28.125,43.75,0.5557671463474294,2.6656414181343537,3.7254982896935376,-0.47376663404906383,46.875,43.75,0.8196203746958012,4.237763940977008,5.799693887414964,-1.686718754546471,68.75,43.75,1.176250836479818,3.3869731965586656
AUDJPY,H4,62,2.1171111699860714,2.2033197682547874,-0.5113691830201976,37.096774193548384,50.0,0.6874962850756956,2.9648249635978035,3.0840800533887647,-0.8469375284544114,50.0,50.0,0.8382103152202903,4.0603094984295165,5.330611102217986,-1.3601522945545457,61.29032258064516,50.0,1.3546699369883741,3.3081698517997653
XAUUSD,H4,61,2.0242529614503506,2.4546359834701366,-0.3934555560512977,36.0655737704918,52.459016393442624,0.6948744474392553,2.395600518458113,3.315613057993668,-1.0349991337335134,45.90163934426229,52.459016393442624,0.870025260696064,4.909164121629257,6.335497242662038,-3.3563747121221343,55.73770491803278,52.459016393442624,1.4883041564693502,3.363472796484273
