symbol,year,direction,trades,total_r,pf,win_rate
SILVER,2019,long,5,9.652035901366563,8.562587055395511,0.8
GBPJPY,2022,short,3,8.934394651429258,inf,1.0
GBPJPY,2022,long,3,8.912654203471092,inf,1.0
XAUUSD,2019,short,3,8.809362787973484,inf,1.0
USDJPY,2022,short,4,7.947013590671486,8.804895037466725,0.75
GBPJPY,2018,short,4,7.8817588353391095,8.672017130221784,0.75
SILVER,2020,short,4,7.604432122586157,7.806468714161769,0.75
SILVER,2024,long,8,7.136970367408308,2.6245996171925223,0.5
EURJPY,2016,short,5,6.8889355109052115,4.3720854990702405,0.6
CHFJPY,2023,long,5,6.778333362074433,4.2458503818419935,0.6
XAUUSD,2016,short,5,6.740480690706506,4.170620959714094,0.6
XAUUSD,2018,long,5,6.668349216955949,4.1542675690872874,0.6
SILVER,2021,short,5,6.340849050304264,3.79292611745522,0.6
AUDJPY,2020,short,2,5.940427365962026,inf,1.0
USDJPY,2017,short,2,5.935175904129839,inf,1.0
USDJPY,2015,long,2,5.932788299669692,inf,1.0
CHFJPY,2024,short,2,5.905857625400653,inf,1.0
USDJPY,2020,long,2,5.890060042801878,inf,1.0
XAUUSD,2017,short,2,5.856689134718581,inf,1.0
CHFJPY,2019,short,2,5.838109864823123,inf,1.0
SILVER,2016,short,2,5.754061062472015,inf,1.0
CHFJPY,2022,long,6,5.747159220082037,2.8363178862393603,0.5
XAUUSD,2018,short,6,5.555709820993597,2.71485863700902,0.5
GBPJPY,2019,long,3,4.896347776521015,5.6361043311408885,0.6666666666666666
XAUUSD,2022,short,3,4.891183211411882,5.7401138864951236,0.6666666666666666
XAUUSD,2021,long,3,4.887498888352075,5.693506585539546,0.6666666666666666
USDJPY,2019,short,3,4.886239683945229,5.681911506006171,0.6666666666666666
GBPJPY,2021,short,3,4.883726188650293,5.722136434311543,0.6666666666666666
CHFJPY,2021,long,3,4.79434097725172,5.472749647336182,0.6666666666666666
XAUUSD,2017,long,7,4.52643059751091,2.0611620000784243,0.42857142857142855
EURJPY,2018,short,4,3.9091648071006615,2.9090965209783977,0.5
GBPJPY,2017,long,4,3.894820922014216,2.895886935814306,0.5
XAUUSD,2021,short,4,3.86137213551562,2.877037213493557,0.5
AUDJPY,2021,short,4,3.8392198730174085,2.8514658579506,0.5
USDJPY,2018,long,4,3.8226969881818635,2.824549567771341,0.5
GBPJPY,2021,long,4,3.8120386283023824,2.82358220745713,0.5
XAUUSD,2016,long,4,3.8029609240751197,2.827138080816339,0.5
XAUUSD,2015,short,4,3.758643868247198,2.782598559961257,0.5
CHFJPY,2017,short,4,3.743902721444618,2.751133475273556,0.5
SILVER,2022,long,4,3.4996421506707094,2.553140511241208,0.5
SILVER,2015,long,4,3.1332497629141653,2.291556105000804,0.5
GBPJPY,2016,short,1,2.9775134778099126,inf,1.0
EURJPY,2024,long,1,2.9723761942805473,inf,1.0
EURJPY,2019,long,1,2.968679116282914,inf,1.0
CHFJPY,2023,short,1,2.965759393310216,inf,1.0
EURJPY,2022,long,1,2.9655164089880275,inf,1.0
USDJPY,2020,short,5,2.8321512211695437,1.9119331737776324,0.4
SILVER,2019,short,4,2.762524632424889,2.051837802757263,0.5
AUDJPY,2019,short,5,2.729749086712941,1.87536098470342,0.4
AUDJPY,2019,long,5,2.657033823008089,1.8430946206094228,0.4
EURJPY,2024,short,2,1.9694489072483043,2.9431182680789503,0.5
USDJPY,2023,short,2,1.9605093060448886,2.919832858424655,0.5
EURJPY,2016,long,2,1.9547560744821122,2.9115227108130024,0.5
GBPJPY,2015,short,2,1.949593595726361,2.8971754527246,0.5
AUDJPY,2015,short,2,1.9435421515156712,2.8983408296900053,0.5
AUDJPY,2023,short,2,1.9421464883002615,2.9052222471917113,0.5
USDJPY,2015,short,2,1.9368843161199574,2.8822775325017975,0.5
XAUUSD,2020,long,2,1.911665372384254,2.858225064225611,0.5
CHFJPY,2021,short,2,1.856213192018452,2.719661755242644,0.5
GBPJPY,2020,short,6,1.8340474023788218,1.4465255230689205,0.3333333333333333
AUDJPY,2023,long,6,1.8107235490690445,1.4381298532982436,0.3333333333333333
SILVER,2023,short,2,1.790865601304565,2.6208590198310007,0.5
EURJPY,2019,short,6,1.7675458616837647,1.4279981995831499,0.3333333333333333
SILVER,2020,long,2,1.6297317645662641,2.497852621817189,0.5
SILVER,2017,long,2,1.4807356751020806,2.1333902770840236,0.5
GBPJPY,2023,short,3,0.9289478872843464,1.4574950448995725,0.3333333333333333
EURJPY,2015,short,3,0.927086220694535,1.4531410200440813,0.3333333333333333
EURJPY,2017,long,3,0.9166022080316532,1.4463576963190732,0.3333333333333333
XAUUSD,2020,short,3,0.9139238583005818,1.4447788452290535,0.3333333333333333
XAUUSD,2023,long,3,0.9101696820579375,1.4451165321758714,0.3333333333333333
EURJPY,2020,short,3,0.9043908052922476,1.4375427914149257,0.3333333333333333
USDJPY,2016,long,3,0.9038915467919568,1.4372564305642366,0.3333333333333333
GBPJPY,2024,long,3,0.8959446704443166,1.4297634614328796,0.3333333333333333
CHFJPY,2024,long,3,0.8884966646668357,1.4296249997385204,0.3333333333333333
EURJPY,2021,long,3,0.8602346669026255,1.4094026269861386,0.3333333333333333
CHFJPY,2018,short,3,0.8337434839961757,1.3956713545238033,0.3333333333333333
USDJPY,2018,short,7,0.8086513803230972,1.1574373637845308,0.2857142857142857
CHFJPY,2019,long,3,0.6930381030256791,1.3165051064730806,0.3333333333333333
SILVER,2015,short,3,0.34984034684400744,1.1432028415248958,0.3333333333333333
SILVER,2018,short,3,-0.0016143948204536684,0.999387067943692,0.3333333333333333
XAUUSD,2024,short,4,-0.09710082287002963,0.9684324870174499,0.25
EURJPY,2020,long,4,-0.11466005169891891,0.9628119365216463,0.25
USDJPY,2024,long,4,-0.11938774143874675,0.9611704589070065,0.25
GBPJPY,2020,long,4,-0.13173473611230402,0.9575604719810589,0.25
AUDJPY,2022,long,4,-0.13234430803914377,0.9572659221443599,0.25
AUDJPY,2015,long,4,-0.14214909981657042,0.9541741705331346,0.25
USDJPY,2023,long,4,-0.15292700463392128,0.9505764295328608,0.25
GBPJPY,2019,short,4,-0.1601030176670839,0.948632607175172,0.25
AUDJPY,2017,short,4,-0.16098506689887992,0.9481775044014614,0.25
AUDJPY,2021,long,4,-0.18460901184136613,0.9412473868251734,0.25
USDJPY,2021,long,4,-0.18585199964089583,0.9405948533729436,0.25
CHFJPY,2017,long,4,-0.2236458433661166,0.9294002870255405,0.25
CHFJPY,2018,long,4,-0.28942840568191475,0.9100009229031801,0.25
AUDJPY,2024,long,8,-0.322632131298604,0.948241496652648,0.25
SILVER,2023,long,4,-0.48263423621495205,0.8569344640726242,0.25
CHFJPY,2020,long,8,-0.5595104502238586,0.9124356090060878,0.25
EURJPY,2022,short,1,-1.0197670457755648,0.0,0.0
XAUUSD,2024,long,1,-1.0255068673405865,0.0,0.0
GBPJPY,2017,short,1,-1.0306164426968392,0.0,0.0
GBPJPY,2016,long,1,-1.0323100228385815,0.0,0.0
AUDJPY,2016,long,1,-1.036851181733191,0.0,0.0
CHFJPY,2015,long,1,-1.0407363025905787,0.0,0.0
XAUUSD,2023,short,1,-1.0445383243043165,0.0,0.0
AUDJPY,2016,short,5,-1.1200845949422071,0.7262207543996693,0.2
SILVER,2017,short,1,-1.2075918537117594,0.0,0.0
SILVER,2018,long,1,-1.2636912031580485,0.0,0.0
USDJPY,2024,short,2,-2.032634370644483,0.0,0.0
EURJPY,2023,short,2,-2.0368517551212206,0.0,0.0
USDJPY,2022,long,2,-2.045111318098412,0.0,0.0
EURJPY,2021,short,2,-2.06979392365154,0.0,0.0
GBPJPY,2015,long,2,-2.0728466125031693,0.0,0.0
USDJPY,2019,long,2,-2.082725496922338,0.0,0.0
CHFJPY,2016,long,2,-2.1149974843236823,0.0,0.0
XAUUSD,2015,long,2,-2.1163777212192247,0.0,0.0
USDJPY,2016,short,6,-2.1294883415440964,0.5824453614260322,0.16666666666666666
SILVER,2021,long,2,-2.1758977293454924,0.0,0.0
SILVER,2022,short,2,-2.3433390452091754,0.0,0.0
XAUUSD,2019,long,6,-2.378727482462934,0.548949352797551,0.16666666666666666
EURJPY,2017,short,3,-3.092171152180563,0.0,0.0
AUDJPY,2024,short,3,-3.0943105738618506,0.0,0.0
AUDJPY,2020,long,3,-3.103780221900921,0.0,0.0
CHFJPY,2015,short,3,-3.121599512658096,0.0,0.0
