prox_yen,prox_half,ext_atr,swing_len,big_mult,fwd_bars,strict_f1,wick_atr,sweep_lb,revenge_bars,stop_count,stop_long,stop_short,adverse_rate,sweep_down_n,sweep_down_up_edge,sweep_up_n,sweep_up_dn_edge,avg_fwd_up_after_sweep_dn,avg_fwd_dn_after_sweep_up,revenge_after_stop_n,revenge_fwd_up_rate,chain_stop_sweep_up,chain_n,score_edge,symbol
0.15,0.1,0.6,36,0.95,12,True,0.25,12,72,2083,1158,925,0.5060009601536246,148,0.5608108108108109,154,0.4805194805194805,70.98040540540528,54.304545454545526,1142,0.5087565674255692,0.05263157894736842,38,0.30672119487908966,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.25,20,72,2083,1158,925,0.5060009601536246,116,0.5172413793103449,128,0.4765625,73.2413793103447,56.12968750000012,1142,0.5087565674255692,0.07142857142857142,28,0.29433497536945813,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.25,32,72,2083,1158,925,0.5060009601536246,86,0.5581395348837209,99,0.494949494949495,79.46162790697669,58.76868686868697,1142,0.5087565674255692,0.1,20,0.32906976744186045,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.4,12,72,2083,1158,925,0.5060009601536246,90,0.5777777777777777,94,0.4787234042553192,78.3744444444443,49.17553191489364,1142,0.5087565674255692,0.047619047619047616,21,0.3126984126984127,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.4,20,72,2083,1158,925,0.5060009601536246,67,0.5373134328358209,79,0.4810126582278481,84.47611940298489,51.088607594936775,1142,0.5087565674255692,0.06666666666666667,15,0.30199004975124377,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.4,32,72,2083,1158,925,0.5060009601536246,49,0.5510204081632653,58,0.5,93.06734693877547,53.1,1142,0.5087565674255692,0.09090909090909091,11,0.3209647495361781,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.55,12,72,2083,1158,925,0.5060009601536246,52,0.6153846153846154,41,0.5365853658536586,88.80576923076902,50.785365853658476,1142,0.5087565674255692,0.0,10,0.3076923076923077,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.55,20,72,2083,1158,925,0.5060009601536246,39,0.5641025641025641,35,0.5428571428571428,92.679487179487,50.76285714285712,1142,0.5087565674255692,0.0,7,0.28205128205128205,GBPJPY
0.15,0.1,0.6,36,0.95,12,True,0.55,32,72,2083,1158,925,0.5060009601536246,32,0.59375,28,0.5357142857142857,100.39374999999993,52.83214285714288,1142,0.5087565674255692,0.0,6,0.296875,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.25,12,72,1636,891,745,0.5073349633251834,148,0.5608108108108109,154,0.4805194805194805,70.98040540540528,54.304545454545526,879,0.5062571103526735,0.058823529411764705,34,0.3098171701112878,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.25,20,72,1636,891,745,0.5073349633251834,116,0.5172413793103449,128,0.4765625,73.2413793103447,56.12968750000012,879,0.5062571103526735,0.08,25,0.2986206896551724,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.25,32,72,1636,891,745,0.5073349633251834,86,0.5581395348837209,99,0.494949494949495,79.46162790697669,58.76868686868697,879,0.5062571103526735,0.1111111111111111,18,0.334625322997416,GBPJPY
