currency,students,entries,losses,loss_rate,side,price_low,price_high,start,end
GBPJPY,5,6,6,1.0,buy,198.931,199.64,2024-10-28 10:07,2024-10-30 06:27
GBPJPY,4,4,4,1.0,sell,188.016,188.43,2025-02-06 21:41,2025-02-07 08:58
GBPJPY,4,4,2,0.5,buy,193.281,193.744,2024-09-25 21:25,2024-09-26 23:00
XAUUSD,4,4,1,0.25,buy,2667.7,2683.21,2025-01-09 19:41,2025-01-10 23:58
GBPJPY,4,4,0,0.0,buy,195.969,196.42,2024-10-22 12:27,2024-10-23 12:30
XAUUSD,4,4,0,0.0,buy,2685.0,2698.89,2024-10-17 15:40,2024-10-18 10:30
GBPJPY,3,3,3,1.0,buy,191.87,192.5,2024-09-23 07:40,2024-09-24 15:04
GBPJPY,3,3,3,1.0,buy,194.309,194.9,2024-10-03 05:34,2024-10-03 10:00
USDJPY,3,3,3,1.0,sell,139.972,140.228,2024-09-16 15:41,2024-09-16 21:58
GBPJPY,3,3,1,0.33,buy,186.79,187.36,2024-09-18 04:39,2024-09-19 19:03
XAUUSD,3,3,1,0.33,buy,2795.3,2799.0,2025-01-31 09:05,2025-01-31 13:05
XAUUSD,3,3,0,0.0,buy,2610.9,2613.0,2024-11-19 08:29,2024-11-20 08:05
XAUUSD,3,3,0,0.0,buy,2716.49,2729.5,2025-01-21 11:00,2025-01-21 22:49
GBPJPY,2,2,2,1.0,sell,184.914,184.934,2024-09-14 03:00,2024-09-14 03:00
GBPJPY,2,2,2,1.0,buy,193.124,193.293,2024-10-01 13:44,2024-10-02 23:08
GBPJPY,2,2,2,1.0,buy,194.808,195.57,2024-10-07 08:14,2024-10-07 14:40
GBPJPY,2,2,2,1.0,buy,195.351,195.45,2024-10-14 20:00,2024-10-14 22:45
GBPJPY,2,2,2,1.0,sell,187.428,187.788,2025-02-11 09:00,2025-02-11 15:51
USDJPY,2,2,2,1.0,buy,142.081,142.39,2024-09-18 08:00,2024-09-19 05:12
USDJPY,2,2,2,1.0,buy,146.7,146.985,2024-10-03 08:15,2024-10-03 20:16
XAUUSD,2,2,2,1.0,buy,2719.42,2719.85,2024-12-12 07:00,2024-12-12 09:06
XAUUSD,2,2,2,1.0,buy,2777.24,2779.5,2025-01-24 18:23,2025-01-24 20:34
XAUUSD,2,2,2,1.0,buy,2948.0,2948.634,2025-02-20 15:31,2025-02-20 16:15
GBPJPY,2,2,1,0.5,buy,191.015,191.659,2024-09-20 17:18,2024-09-21 03:16
GBPJPY,2,2,1,0.5,buy,192.134,192.3,2024-10-01 09:00,2024-10-02 19:00
GBPJPY,2,2,1,0.5,buy,191.44,192.134,2024-10-01 19:21,2024-10-02 19:00
XAUUSD,2,2,1,0.5,buy,2755.18,2755.69,2024-10-28 16:10,2024-10-29 15:00
XAUUSD,2,2,1,0.5,buy,2674.5,2695.74,2024-12-10 19:40,2024-12-11 15:22
XAUUSD,2,2,1,0.5,buy,2695.6,2705.1,2025-01-16 06:20,2025-01-16 11:21
