currency,students,entries,losses,loss_rate,side,price_low,price_high,start,end,cohort_1ki,cohort_2ki
GBPJPY,13,16,11,0.688,buy,191.87,194.85,2024-09-23 07:40,2024-09-27 10:12,16,0
GBPJPY,9,9,1,0.111,buy,186.751,187.925,2024-09-18 04:39,2024-09-19 19:03,9,0
GBPJPY,7,8,7,0.875,buy,198.378,199.64,2024-10-28 07:26,2024-10-30 06:27,8,0
XAUUSD,6,6,6,1.0,buy,2934.2,2954.0,2025-02-19 16:07,2025-02-20 18:15,6,0
XAUUSD,6,6,3,0.5,buy,2795.2,2799.0,2025-01-31 08:27,2025-01-31 16:00,6,0
GBPJPY,6,6,2,0.333,buy,195.885,196.696,2024-10-22 11:22,2024-10-23 12:30,6,0
GBPJPY,5,5,5,1.0,buy,195.351,195.691,2024-10-14 20:00,2024-10-15 08:05,5,0
XAUUSD,5,5,3,0.6,buy,4587.09,4635.0,2026-01-12 17:03,2026-01-13 23:00,0,5
GBPJPY,5,5,1,0.2,buy,212.002,212.932,2026-01-12 12:00,2026-01-13 08:05,0,5
XAUUSD,5,5,0,0.0,buy,2587.24,2595.33,2024-09-20 00:55,2024-09-20 15:57,5,0
XAUUSD,5,5,0,0.0,buy,2716.49,2744.05,2025-01-21 11:00,2025-01-22 09:00,5,0
XAUUSD,5,5,0,0.0,buy,2673.17,2698.89,2024-10-16 15:14,2024-10-18 10:30,5,0
GBPJPY,4,4,4,1.0,sell,188.016,188.43,2025-02-06 21:41,2025-02-07 08:58,4,0
USDJPY,4,4,4,1.0,sell,139.972,140.228,2024-09-16 15:30,2024-09-16 21:58,4,0
GBPJPY,4,4,3,0.75,buy,191.44,192.3,2024-10-01 09:00,2024-10-04 13:24,4,0
EURJPY,4,4,3,0.75,buy,185.38,185.785,2026-01-21 15:24,2026-01-22 21:50,0,4
XAUUSD,4,4,3,0.75,buy,2674.5,2719.85,2024-12-10 19:40,2024-12-12 09:06,4,0
GBPJPY,4,4,2,0.5,buy,193.63,195.57,2024-10-07 08:14,2024-10-08 21:30,4,0
EURJPY,4,4,1,0.25,buy,178.408,179.3,2025-11-11 16:00,2025-11-12 22:50,0,4
XAUUSD,4,4,1,0.25,buy,2667.7,2683.21,2025-01-09 19:41,2025-01-10 23:58,4,0
XAUUSD,4,4,1,0.25,buy,2695.6,2705.1,2025-01-16 06:20,2025-01-16 18:13,4,0
GBPJPY,4,4,0,0.0,buy,202.171,202.32,2025-10-06 00:59,2025-10-07 21:03,0,4
XAUUSD,4,4,0,0.0,buy,4670.0,4691.995,2026-01-19 18:00,2026-01-20 13:39,0,4
GBPJPY,3,3,3,1.0,buy,194.309,194.9,2024-10-03 05:34,2024-10-03 10:00,3,0
GBPJPY,3,3,3,1.0,buy,205.87,206.6,2025-11-26 03:12,2025-11-27 16:33,0,3
XAUUSD,3,3,3,1.0,buy,2775.0,2779.5,2025-01-24 18:05,2025-01-24 20:34,3,0
GBPJPY,3,3,2,0.667,buy,193.1,193.293,2024-10-01 13:44,2024-10-04 21:00,3,0
GBPJPY,3,3,2,0.667,sell,201.0,201.602,2025-10-29 08:57,2025-10-29 19:50,0,3
USDJPY,3,3,2,0.667,buy,146.7,146.985,2024-10-03 08:15,2024-10-03 22:00,3,0
XAUUSD,3,3,2,0.667,sell,2582.71,2599.52,2024-11-13 06:00,2024-11-14 02:00,3,0
AUDJPY,3,4,0,0.0,buy,102.013,102.53,2025-12-02 14:48,2025-12-04 20:36,0,4
GBPJPY,3,3,0,0.0,sell,190.4,190.487,2025-02-20 07:00,2025-02-20 08:21,3,0
XAUUSD,3,3,0,0.0,buy,2610.9,2613.0,2024-11-19 08:29,2024-11-20 08:05,3,0
XAUUSD,3,3,0,0.0,buy,2812.89,2817.0,2025-02-03 23:11,2025-02-03 23:30,3,0
XAUUSD,3,3,0,0.0,buy,3798.46,3803.66,2025-09-29 13:00,2025-09-30 18:25,0,3
XAUUSD,3,3,0,0.0,buy,4058.81,4081.91,2025-10-13 14:00,2025-10-13 16:04,0,3
GBPJPY,2,2,2,1.0,sell,184.914,184.934,2024-09-14 03:00,2024-09-14 03:00,2,0
GBPJPY,2,2,2,1.0,sell,187.428,187.788,2025-02-11 09:00,2025-02-11 15:51,2,0
GBPJPY,2,2,2,1.0,buy,203.707,203.76,2025-10-23 20:35,2025-10-24 14:00,0,2
GBPJPY,2,2,2,1.0,buy,211.86,211.9,2026-01-06 15:00,2026-01-06 17:30,0,2
USDJPY,2,2,2,1.0,buy,142.081,142.39,2024-09-18 08:00,2024-09-19 05:12,2,0
USDJPY,2,2,2,1.0,buy,143.455,144.011,2024-09-23 09:00,2024-09-23 17:25,2,0
USDJPY,2,2,2,1.0,buy,153.08,153.121,2025-10-09 15:41,2025-10-10 06:53,0,2
AUDJPY,2,2,2,1.0,buy,109.188,109.39,2026-02-04 04:18,2026-02-04 06:33,0,2
AUDJPY,2,2,2,1.0,buy,110.54,110.57,2026-02-10 01:36,2026-02-10 07:31,0,2
XAUUSD,2,2,2,1.0,buy,2955.4,2955.85,2025-02-24 22:00,2025-02-24 23:05,2,0
XAUUSD,2,2,2,1.0,buy,4210.0,4211.01,2025-11-13 13:30,2025-11-13 14:00,0,2
GBPJPY,2,2,1,0.5,sell,193.56,194.34,2024-11-22 08:04,2024-11-22 18:11,2,0
GBPJPY,2,2,1,0.5,buy,191.015,191.659,2024-09-20 17:18,2024-09-21 03:16,2,0
GBPJPY,2,2,1,0.5,sell,203.204,203.43,2025-10-10 06:29,2025-10-10 12:57,0,2
GBPJPY,2,2,1,0.5,buy,201.04,201.263,2025-11-06 10:26,2025-11-06 22:45,0,2
GBPJPY,2,2,1,0.5,buy,204.942,205.28,2025-11-19 20:20,2025-11-20 13:00,0,2
AUDJPY,2,2,1,0.5,buy,106.255,106.838,2026-01-20 19:26,2026-01-22 02:49,0,2
