rank,currency,stumble_side,stumble_lo,stumble_hi,wait_side,wait_lo,wait_hi,wait_start,wait_end,rule,note
1,GBPJPY,buy,198.93,199.64,buy,196.0,196.8,2024-10-22 00:00,2024-10-27 23:59,pullback,199追いの前に196押し。同時期の勝ちは196台
2,GBPJPY,sell,188.02,188.43,sell,190.0,191.2,2025-02-10 00:00,2025-02-14 23:59,bounce,188底売りではなく190戻り売り。2/20勝ち売り190.5
3,GBPJPY,buy,191.87,192.5,buy,193.0,193.8,2024-09-25 00:00,2024-09-27 23:59,confirmation,192追随ではなく193再加速確認後。勝ち193.28/193.73
4,GBPJPY,buy,194.31,194.9,buy,192.8,193.4,2024-10-02 00:00,2024-10-04 23:59,pullback,194飛び乗りより193押し。勝ち193.1
5,GBPJPY,sell,184.91,184.93,sell,186.5,187.5,2024-09-15 00:00,2024-09-18 23:59,bounce,184底売り禁止。186-187戻り売り
6,GBPJPY,buy,193.12,193.29,buy,191.5,192.3,2024-09-30 00:00,2024-10-02 23:59,pullback,193再挑戦前の192押し。勝ち192.13
7,GBPJPY,buy,194.81,195.57,buy,193.8,194.4,2024-10-06 00:00,2024-10-07 23:59,pullback,195追いより194.2押し。同日勝ち194.16
8,GBPJPY,buy,195.35,195.45,buy,194.0,194.6,2024-10-12 00:00,2024-10-14 23:59,pullback,195節目手前の1段押し待ち
9,GBPJPY,sell,187.43,187.79,sell,189.5,190.5,2025-02-10 00:00,2025-02-12 23:59,bounce,187底売り禁止。190戻り売り
10,USDJPY,sell,139.97,140.23,sell,141.0,142.0,2024-09-17 00:00,2024-09-20 23:59,bounce,140割れ即売り禁止。141-142戻り売り
11,USDJPY,buy,142.08,142.39,buy,141.4,141.85,2024-09-18 00:00,2024-09-19 23:59,pullback,142早期買いより141.5押し確認
12,USDJPY,buy,146.7,146.99,buy,145.2,145.8,2024-10-02 00:00,2024-10-04 23:59,pullback,147追いより145.5押し
13,XAUUSD,buy,2719.42,2719.85,buy,2685.0,2700.0,2024-12-10 00:00,2024-12-13 23:59,pullback,2720天井追い禁止。2685-2700押し
14,XAUUSD,buy,2777.24,2779.5,buy,2745.0,2765.0,2025-01-23 00:00,2025-01-27 23:59,pullback,2780スパイク追い禁止。2750台押し
15,XAUUSD,buy,2948.0,2948.63,buy,2900.0,2925.0,2025-02-18 00:00,2025-02-21 23:59,pullback,2950史上高値追い禁止。2900-2925押し
