rank,currency,stumble_side,stumble_lo,stumble_hi,students,cohort_1ki,cohort_2ki,wait_side,wait_lo,wait_hi,wait_start,wait_end,rule,note
1,XAUUSD,buy,2934.2,2954.0,6,6,0,buy,2900.0,2925.0,2025-02-18 00:00,2025-02-21 23:59,pullback,2950史上高値追い禁止。2900-2925押し（v0.1引継）
2,GBPJPY,buy,195.351,195.691,5,5,0,buy,192.8,193.4,2024-10-02 00:00,2024-10-04 23:59,pullback,194飛び乗りより193押し。勝ち193.1（v0.1引継）
3,USDJPY,sell,139.972,140.228,4,4,0,sell,141.0,142.0,2024-09-17 00:00,2024-09-20 23:59,bounce,140割れ即売り禁止。141-142戻り売り（v0.1引継）
4,GBPJPY,sell,188.016,188.43,4,4,0,sell,190.0,191.2,2025-02-10 00:00,2025-02-14 23:59,bounce,188底売りではなく190戻り売り。2/20勝ち売り190.5（v0.1引継）
5,GBPJPY,buy,194.309,194.9,3,3,0,buy,192.8,193.4,2024-10-02 00:00,2024-10-04 23:59,pullback,194飛び乗りより193押し。勝ち193.1（v0.1引継）
6,XAUUSD,buy,2775.0,2779.5,3,3,0,buy,2745.0,2765.0,2025-01-23 00:00,2025-01-27 23:59,pullback,2780スパイク追い禁止。2750台押し（v0.1引継）
7,GBPJPY,buy,205.87,206.6,3,0,3,buy,204.98,205.58,2025-11-24 03:12,2025-11-28 16:33,pullback,同時期の勝ちbuy 1件から押し帯を推定
8,GBPJPY,sell,184.914,184.934,2,2,0,sell,186.5,187.5,2024-09-15 00:00,2024-09-18 23:59,bounce,184底売り禁止。186-187戻り売り（v0.1引継）
9,USDJPY,buy,142.081,142.39,2,2,0,buy,141.4,141.85,2024-09-18 00:00,2024-09-19 23:59,pullback,142早期買いより141.5押し確認（v0.1引継）
10,USDJPY,buy,143.455,144.011,2,2,0,buy,142.299,143.344,2024-09-21 09:00,2024-09-24 17:25,pullback,勝ち参照なし・幾何推定
11,GBPJPY,sell,187.428,187.788,2,2,0,sell,190.0,191.2,2025-02-10 00:00,2025-02-14 23:59,bounce,188底売りではなく190戻り売り。2/20勝ち売り190.5（v0.1引継）
12,XAUUSD,buy,2955.4,2955.85,2,2,0,buy,2929.95,2955.31,2025-02-22 22:00,2025-02-25 23:05,pullback,勝ち参照なし・幾何推定
13,USDJPY,buy,153.08,153.121,2,0,2,buy,150.268,150.868,2025-10-07 15:41,2025-10-11 06:53,pullback,同時期の勝ちbuy 1件から押し帯を推定
14,GBPJPY,buy,203.707,203.76,2,0,2,buy,202.854,203.696,2025-10-21 20:35,2025-10-25 14:00,pullback,勝ち参照なし・幾何推定
15,XAUUSD,buy,4210.0,4211.01,2,0,2,buy,4087.64,4159.0,2025-11-11 13:30,2025-11-14 14:00,pullback,同時期の勝ちbuy 2件から押し帯を推定
16,GBPJPY,buy,211.86,211.9,2,0,2,buy,211.02,211.852,2026-01-04 15:00,2026-01-07 17:30,pullback,勝ち参照なし・幾何推定
17,AUDJPY,buy,109.188,109.39,2,0,2,buy,108.386,109.148,2026-02-02 04:18,2026-02-05 06:33,pullback,勝ち参照なし・幾何推定
18,AUDJPY,buy,110.54,110.57,2,0,2,buy,109.91,110.534,2026-02-08 01:36,2026-02-11 07:31,pullback,勝ち参照なし・幾何推定
