key,in_f87104,in_tv_oanda_py,match
EURJPY|2015-04-27 12:00:00,True,False,False
EURJPY|2015-05-29 08:00:00,True,False,False
EURJPY|2016-08-30 09:00:00,False,True,False
EURJPY|2016-10-03 20:00:00,True,False,False
EURJPY|2016-10-03 21:00:00,False,True,False
EURJPY|2017-03-03 08:00:00,True,False,False
EURJPY|2018-05-22 05:00:00,False,True,False
EURJPY|2018-07-03 05:00:00,False,True,False
EURJPY|2019-01-29 08:00:00,True,False,False
EURJPY|2022-06-02 08:00:00,True,False,False
EURJPY|2022-06-24 12:00:00,True,False,False
EURJPY|2022-08-30 13:00:00,False,True,False
EURJPY|2023-06-09 01:00:00,False,True,False
EURJPY|2023-08-07 12:00:00,True,False,False
EURJPY|2023-11-02 09:00:00,False,True,False
EURJPY|2025-04-11 05:00:00,False,True,False
EURJPY|2025-06-03 00:00:00,True,False,False
EURJPY|2026-03-24 16:00:00,True,False,False
EURJPY|2026-03-24 21:00:00,False,True,False
