key,in_f87104,in_tv_oanda_py,match
USDJPY|2016-10-03 20:00:00,True,False,False
USDJPY|2018-11-06 14:00:00,False,True,False
USDJPY|2018-11-12 00:00:00,True,False,False
USDJPY|2018-12-11 22:00:00,False,True,False
USDJPY|2020-07-02 09:00:00,False,True,False
USDJPY|2020-11-11 12:00:00,True,False,False
USDJPY|2021-02-01 08:00:00,True,False,False
USDJPY|2021-02-01 10:00:00,False,True,False
USDJPY|2021-08-09 16:00:00,True,False,False
USDJPY|2021-11-11 22:00:00,False,True,False
USDJPY|2021-11-12 00:00:00,True,False,False
USDJPY|2022-07-20 21:00:00,False,True,False
USDJPY|2023-08-01 08:00:00,True,False,False
USDJPY|2023-10-25 13:00:00,False,True,False
USDJPY|2023-10-25 16:00:00,True,False,False
USDJPY|2024-02-05 12:00:00,True,False,False
USDJPY|2024-06-19 16:00:00,True,False,False
USDJPY|2024-06-19 17:00:00,False,True,False
USDJPY|2024-09-24 04:00:00,True,False,False
USDJPY|2025-05-28 13:00:00,False,True,False
USDJPY|2025-07-07 00:00:00,True,False,False
USDJPY|2025-09-24 04:00:00,True,False,False
