trade_id,lane_id,symbol,period,strategy,signal_time,entry_time,entry,signal_close,stop,target,shelf_high,shelf_low,shelf_bars,exit_time,exit_reason,r_after_cost,param_rr,param_target_basis,tv_signal_time,tv_entry_time,tv_match,tv_notes
1,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2015-04-27 12:00:00,2015-04-27 16:00:00,129.75,129.77,128.692088165768,131.386867751348,129.7,128.82,6,2015-04-29 12:00:00,TP,1.535447188306822,1.5,signal,,,,
2,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2015-05-29 08:00:00,2015-05-29 12:00:00,135.99,136.0,135.0291421431509,137.45628678527368,135.9,135.14,6,2015-06-02 08:00:00,TP,1.5130092082932989,1.5,signal,,,,
7,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-10-03 20:00:00,2016-10-04 00:00:00,114.12,114.13,113.5199485925825,115.04507711112625,114.08,113.62,6,2016-10-04 12:00:00,TP,1.520831548506462,1.5,signal,,,,
10,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2017-03-03 08:00:00,2017-03-03 12:00:00,120.56,120.54,119.92753187604028,121.4587021859396,120.46,120.0,6,2017-03-09 12:00:00,TP,1.401180790569046,1.5,signal,,,,
12,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2019-01-29 08:00:00,2019-01-29 12:00:00,125.15,125.14,124.51591373603112,126.07612939595332,125.01,124.59,6,2019-01-31 16:00:00,SL,-1.0197134060620523,1.5,signal,,,,
20,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2022-06-02 08:00:00,2022-06-02 12:00:00,139.01,139.02,138.06836362430263,140.44745456354607,138.94,138.18,6,2022-06-06 04:00:00,TP,1.5132747632978838,1.5,signal,,,,
21,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2022-06-24 12:00:00,2022-06-24 16:00:00,142.62,142.61,141.21703884433734,144.69944173349404,142.57,141.39,6,2022-07-01 00:00:00,SL,-1.0089097263666469,1.5,signal,,,,
23,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2023-08-07 12:00:00,2023-08-07 16:00:00,156.77,156.77,155.67343176175714,158.4148523573643,156.6,155.8,6,2023-08-10 04:00:00,TP,1.4886008006031448,1.5,signal,,,,
31,B06_VIS_PRECALM,EURJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2025-06-03 00:00:00,2025-06-03 04:00:00,163.483,163.484,162.73148384175303,164.61277423737047,163.411,162.835,6,2025-06-05 12:00:00,TP,1.486693566212464,1.5,signal,,,,
34,B06_VIS_PRECALM,EURJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2026-03-24 16:00:00,2026-03-24 20:00:00,184.194,184.192,183.51211596744267,185.21182604883603,184.106,183.62,6,2026-03-30 08:00:00,SL,-1.0183315628511038,1.5,signal,,,,
