trade_id,lane_id,symbol,period,strategy,signal_time,entry_time,entry,signal_close,stop,target,shelf_high,shelf_low,shelf_bars,exit_time,exit_reason,r_after_cost,param_rr,param_target_basis,tv_signal_time,tv_entry_time,tv_match,tv_notes
8,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-10-03 20:00:00,2016-10-04 00:00:00,101.835,101.835,101.09930930991509,102.93853603512738,101.657,101.184,6,2016-10-04 16:00:00,TP,1.486407331049915,1.5,signal,,,,
11,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2018-11-12 00:00:00,2018-11-12 04:00:00,114.0,114.0,113.58774348655214,114.6183847701718,113.985,113.638,6,2018-11-13 00:00:00,SL,-1.0242567422800846,1.5,signal,,,,
15,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2020-11-11 12:00:00,2020-11-11 16:00:00,105.622,105.622,104.92083282802264,106.67375075796606,105.54,105.004,6,2020-11-13 00:00:00,SL,-1.014261934100237,1.5,signal,,,,
16,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2021-02-01 08:00:00,2021-02-01 12:00:00,104.882,104.883,104.56326887631424,105.36259668552862,104.85,104.608,6,2021-02-04 12:00:00,TP,1.4764691947454684,1.5,signal,,,,
18,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2021-08-09 16:00:00,2021-08-09 20:00:00,110.329,110.328,109.97942456790187,110.85086314814716,110.317,110.026,6,2021-08-13 12:00:00,SL,-1.0286061292693602,1.5,signal,,,,
19,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2021-11-12 00:00:00,2021-11-12 04:00:00,114.255,114.255,113.74517100144332,115.01974349783502,114.155,113.805,6,2021-11-19 12:00:00,SL,-1.0196144197923238,1.5,signal,,,,
22,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2023-08-01 08:00:00,2023-08-01 12:00:00,142.973,142.973,141.83493847275102,144.68009229087352,142.843,142.002,6,2023-08-04 12:00:00,SL,-1.0087868711493688,1.5,signal,,,,
24,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2023-10-25 16:00:00,2023-10-25 20:00:00,150.054,150.057,149.69738638531956,150.59642042202063,149.965,149.744,6,2023-10-26 04:00:00,TP,1.492989611453095,1.5,signal,,,,
25,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-02-05 12:00:00,2024-02-05 16:00:00,148.874,148.874,148.0704906702465,150.07926399463025,148.82,148.194,6,2024-02-06 12:00:00,SL,-1.012445406207117,1.5,signal,,,,
27,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-06-19 16:00:00,2024-06-19 20:00:00,158.005,158.007,157.52769954325683,158.72595068511475,157.95,157.602,6,2024-06-20 12:00:00,TP,1.4895244181535077,1.5,signal,,,,
28,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-09-24 04:00:00,2024-09-24 08:00:00,144.453,144.452,142.98378240551435,146.6543263917285,144.35,143.162,6,2024-09-24 20:00:00,SL,-1.006806343755699,1.5,signal,,,,
32,B06_VIS_PRECALM,USDJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2025-07-07 00:00:00,2025-07-07 04:00:00,144.83,144.833,144.0809776124362,145.9610335813457,144.632,144.181,6,2025-07-07 16:00:00,TP,1.496662316051498,1.5,signal,,,,
33,B06_VIS_PRECALM,USDJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2025-09-24 04:00:00,2025-09-24 08:00:00,148.041,148.042,147.37495818692463,149.04256271961304,147.926,147.459,6,2025-09-25 12:00:00,TP,1.4887394457033218,1.5,signal,,,,
