trade_id,signal_time,entry_time,py_entry,signal_close,signal_bar_o,signal_bar_h,signal_bar_l,signal_bar_c,entry_bar_open,entry_bar_close,entry_vs_signal_close_pips,nearest_tv_entry_time,nearest_tv_entry_price,tv_day_gap,tv_h4_bars_gap
8,2016-10-03 20:00:00,2016-10-04 00:00:00,101.835,101.835,101.59,101.855,101.568,101.835,101.835,102.114,0.0,2018-11-07 03:00:00,113.483,764.29,4586
11,2018-11-12 00:00:00,2018-11-12 04:00:00,114.0,114.0,113.844,114.03,113.836,114.0,114.0,114.165,0.0,2018-11-07 03:00:00,113.483,4.88,29
15,2020-11-11 12:00:00,2020-11-11 16:00:00,105.622,105.622,105.449,105.676,105.375,105.622,105.622,105.446,0.0,2021-02-01 23:00:00,104.94,82.46,495
16,2021-02-01 08:00:00,2021-02-01 12:00:00,104.882,104.883,104.744,104.95,104.675,104.883,104.882,104.957,-0.1,2021-02-01 23:00:00,104.94,0.62,4
18,2021-08-09 16:00:00,2021-08-09 20:00:00,110.329,110.328,110.258,110.331,110.229,110.328,110.329,110.321,0.1,2021-11-12 11:00:00,114.284,94.79,569
19,2021-11-12 00:00:00,2021-11-12 04:00:00,114.255,114.255,114.042,114.3,114.038,114.255,114.255,114.047,0.0,2021-11-12 11:00:00,114.284,0.46,3
22,2023-08-01 08:00:00,2023-08-01 12:00:00,142.973,142.973,142.714,142.982,142.614,142.973,142.973,143.337,0.0,2023-10-26 02:00:00,149.971,85.75,514
24,2023-10-25 16:00:00,2023-10-25 20:00:00,150.054,150.057,149.937,150.057,149.862,150.057,150.054,150.095,-0.3,2023-10-26 02:00:00,149.971,0.42,2
25,2024-02-05 12:00:00,2024-02-05 16:00:00,148.874,148.874,148.434,148.875,148.394,148.874,148.874,148.698,0.0,2023-10-26 02:00:00,149.971,102.42,614
27,2024-06-19 16:00:00,2024-06-19 20:00:00,158.005,158.007,157.93,158.043,157.894,158.007,158.005,157.956,-0.2,2024-06-20 06:00:00,158.028,0.58,4
28,2024-09-24 04:00:00,2024-09-24 08:00:00,144.453,144.452,143.772,144.679,143.75,144.452,144.453,143.976,0.1,2024-06-20 06:00:00,158.028,95.92,576
32,2025-07-07 00:00:00,2025-07-07 04:00:00,144.83,144.833,144.487,144.847,144.223,144.833,144.83,145.197,-0.3,2025-05-29 02:00:00,144.918,38.92,234
33,2025-09-24 04:00:00,2025-09-24 08:00:00,148.041,148.042,147.873,148.106,147.816,148.042,148.041,148.5,-0.1,2025-05-29 02:00:00,144.918,118.08,708
