symbol,signal_time,signal_time_tv,entry_time_tv,note
AUDJPY,2018-11-01 01:00:00,2018-11-01 10:00:00,2018-11-01 14:00:00,B06優先（overlap_resolution）
AUDJPY,2019-07-22 09:00:00,2019-07-22 18:00:00,2019-07-22 22:00:00,B06優先（overlap_resolution）
AUDJPY,2023-07-25 01:00:00,2023-07-25 10:00:00,2023-07-25 14:00:00,B06優先（overlap_resolution）
EURJPY,2016-08-30 09:00:00,2016-08-30 18:00:00,2016-08-30 22:00:00,B06優先（overlap_resolution）
EURJPY,2016-10-03 21:00:00,2016-10-04 06:00:00,2016-10-04 10:00:00,B06優先（overlap_resolution）
EURJPY,2018-05-22 05:00:00,2018-05-22 14:00:00,2018-05-22 18:00:00,B06優先（overlap_resolution）
EURJPY,2018-07-03 05:00:00,2018-07-03 14:00:00,2018-07-03 18:00:00,B06優先（overlap_resolution）
GBPJPY,2016-11-04 13:00:00,2016-11-04 22:00:00,2016-11-05 02:00:00,B06優先（overlap_resolution）
GBPJPY,2018-07-05 05:00:00,2018-07-05 14:00:00,2018-07-05 18:00:00,B06優先（overlap_resolution）
GBPJPY,2024-10-09 09:00:00,2024-10-09 18:00:00,2024-10-09 22:00:00,B06優先（overlap_resolution）
USDJPY,2020-07-02 09:00:00,2020-07-02 18:00:00,2020-07-02 22:00:00,B06優先（overlap_resolution）
USDJPY,2025-05-28 13:00:00,2025-05-28 22:00:00,2025-05-29 02:00:00,B06優先（overlap_resolution）
