time,open,high,low,close,D1 V Trigger,D1 V Low,D1 V Start,Trade SL,Trade TP,D1 V Context,H4 Confirm Entry,V Context,Initial Shelf Long,Initial Shelf Skip,Watching Shelf High,Watching Shelf Low,Active SL,Active TP
1357077600,114.3155,115.4735,114.3155,115.406,,,,,,0,0,0,0,0,,,,
1357092000,115.406,115.9935,115.2775,115.662,,,,,,0,0,0,0,0,,,,
1357106400,115.662,115.965,115.33,115.527,,,,,,0,0,0,0,0,,,,
1357120800,115.527,115.54,115.175,115.401,,,,,,0,0,0,0,0,,,,
1357135200,115.401,115.6455,114.577,114.7095,,,,,,0,0,0,0,0,,,,
1357149600,114.7095,115.179,114.5705,115.1695,,,,,,0,0,0,0,0,,,,
1357164000,115.1695,115.21,114.658,114.7835,,,,,,0,0,0,0,0,,,,
1357178400,114.7835,114.898,114.4685,114.641,,,,,,0,0,0,0,0,,,,
1357192800,114.641,114.8065,114.4465,114.5575,,,,,,0,0,0,0,0,,,,
1357207200,114.5575,114.5825,113.655,113.9365,,,,,,0,0,0,0,0,,,,
1357221600,113.9365,114.0745,113.6595,113.905,,,,,,0,0,0,0,0,,,,
1357236000,113.905,114.218,113.779,113.834,,,,,,0,0,0,0,0,,,,
1357250400,113.834,114.3805,113.8335,114.207,,,,,,0,0,0,0,0,,,,
1357264800,114.207,114.51,114.194,114.4585,,,,,,0,0,0,0,0,,,,
1357279200,114.4585,114.9635,114.2625,114.745,,,,,,0,0,0,0,0,,,,
1357293600,114.745,115.0755,114.385,114.6635,,,,,,0,0,0,0,0,,,,
1357308000,114.6635,115.2975,114.2825,115.2195,,,,,,0,0,0,0,0,,,,
1357322400,115.2195,115.4145,115.0605,115.2085,,,,,,0,0,0,0,0,,,,
1357509600,115.2225,115.5545,114.7995,114.9585,,,,,,0,0,0,0,0,,,,
1357524000,114.9585,115.151,114.424,114.535,,,,,,0,0,0,0,0,,,,
1357538400,114.535,114.6935,114.1155,114.448,,,,,,0,0,0,0,0,,,,
1357552800,114.448,114.7785,114.2405,114.7305,,,,,,0,0,0,0,0,,,,
