symbol,side,signal_dt,r_clean,r_after_cost,exit_reason,year,period,group
XAUUSD,long,2015-01-02 12:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,long,2015-02-18 16:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
XAUUSD,long,2015-02-24 12:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,long,2015-03-03 00:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
XAUUSD,long,2015-05-28 12:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
XAUUSD,long,2015-06-15 08:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,long,2015-06-26 04:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
XAUUSD,long,2015-07-20 00:00:00,0.14384058257108026,0.10384058257108025,timeout,2015,IS_2015_2024,fx
XAUUSD,long,2015-08-18 12:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,long,2015-09-09 16:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
XAUUSD,long,2015-11-17 16:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
XAUUSD,long,2016-05-27 00:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,long,2016-09-15 12:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,long,2016-12-01 00:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
XAUUSD,long,2017-02-15 12:00:00,2.0,1.96,TP,2017,IS_2015_2024,fx
XAUUSD,long,2017-04-23 20:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
XAUUSD,long,2017-08-25 12:00:00,2.0,1.96,TP,2017,IS_2015_2024,fx
XAUUSD,long,2017-10-06 12:00:00,2.0,1.96,TP,2017,IS_2015_2024,fx
XAUUSD,long,2018-01-31 16:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
XAUUSD,long,2018-03-09 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
XAUUSD,long,2018-06-01 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
XAUUSD,long,2018-07-31 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
XAUUSD,long,2018-08-16 00:00:00,2.0,1.96,TP,2018,IS_2015_2024,fx
XAUUSD,long,2018-09-11 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
XAUUSD,long,2018-12-14 12:00:00,2.0,1.96,TP,2018,IS_2015_2024,fx
XAUUSD,long,2019-03-07 08:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
XAUUSD,long,2019-04-04 12:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
XAUUSD,long,2019-04-23 12:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
XAUUSD,long,2019-06-30 20:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
XAUUSD,long,2019-08-29 16:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
XAUUSD,long,2019-10-30 16:00:00,-1.0,-1.04,SL,2019,IS_2015_2024,fx
XAUUSD,long,2019-11-26 12:00:00,2.0,1.96,TP,2019,IS_2015_2024,fx
XAUUSD,long,2020-01-21 12:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
XAUUSD,long,2020-02-05 08:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
XAUUSD,long,2020-02-28 16:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
XAUUSD,long,2020-10-28 12:00:00,-1.0,-1.04,SL,2020,IS_2015_2024,fx
XAUUSD,long,2020-12-14 08:00:00,2.0,1.96,TP,2020,IS_2015_2024,fx
XAUUSD,long,2021-01-08 08:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,long,2021-01-27 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,long,2021-02-16 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,long,2021-03-03 12:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,long,2021-06-04 00:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
XAUUSD,long,2021-06-16 20:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,long,2021-08-08 20:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
XAUUSD,long,2021-11-28 20:00:00,-1.0,-1.04,SL,2021,IS_2015_2024,fx
XAUUSD,long,2021-12-15 16:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
XAUUSD,long,2021-12-29 12:00:00,2.0,1.96,TP,2021,IS_2015_2024,fx
XAUUSD,long,2022-01-18 12:00:00,2.0,1.96,TP,2022,IS_2015_2024,fx
XAUUSD,long,2022-03-29 12:00:00,2.0,1.96,TP,2022,IS_2015_2024,fx
XAUUSD,long,2022-05-02 12:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
XAUUSD,long,2022-07-13 12:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
XAUUSD,long,2022-09-26 00:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
XAUUSD,long,2022-10-13 12:00:00,-1.0,-1.04,SL,2022,IS_2015_2024,fx
