symbol,mode,r_after_cost,year,period,group
XAUUSD,none,1.96,2015,IS_2015_2024,fx
XAUUSD,none,-1.04,2015,IS_2015_2024,fx
XAUUSD,none,1.96,2015,IS_2015_2024,fx
XAUUSD,none,-1.04,2015,IS_2015_2024,fx
XAUUSD,none,-1.04,2015,IS_2015_2024,fx
XAUUSD,none,1.96,2015,IS_2015_2024,fx
XAUUSD,none,-1.04,2015,IS_2015_2024,fx
XAUUSD,none,0.10384058257108025,2015,IS_2015_2024,fx
XAUUSD,none,1.96,2015,IS_2015_2024,fx
XAUUSD,none,-1.04,2015,IS_2015_2024,fx
XAUUSD,none,1.96,2015,IS_2015_2024,fx
XAUUSD,none,-1.04,2016,IS_2015_2024,fx
XAUUSD,none,-1.04,2016,IS_2015_2024,fx
XAUUSD,none,-1.04,2016,IS_2015_2024,fx
XAUUSD,none,1.96,2017,IS_2015_2024,fx
XAUUSD,none,-1.04,2017,IS_2015_2024,fx
XAUUSD,none,1.96,2017,IS_2015_2024,fx
XAUUSD,none,1.96,2017,IS_2015_2024,fx
XAUUSD,none,-1.04,2018,IS_2015_2024,fx
XAUUSD,none,-1.04,2018,IS_2015_2024,fx
XAUUSD,none,-1.04,2018,IS_2015_2024,fx
XAUUSD,none,-1.04,2018,IS_2015_2024,fx
XAUUSD,none,1.96,2018,IS_2015_2024,fx
XAUUSD,none,-1.04,2018,IS_2015_2024,fx
XAUUSD,none,1.96,2018,IS_2015_2024,fx
XAUUSD,none,1.96,2019,IS_2015_2024,fx
XAUUSD,none,1.96,2019,IS_2015_2024,fx
XAUUSD,none,1.96,2019,IS_2015_2024,fx
XAUUSD,none,-1.04,2019,IS_2015_2024,fx
XAUUSD,none,-1.04,2019,IS_2015_2024,fx
XAUUSD,none,-1.04,2019,IS_2015_2024,fx
XAUUSD,none,1.96,2019,IS_2015_2024,fx
XAUUSD,none,1.96,2020,IS_2015_2024,fx
XAUUSD,none,1.96,2020,IS_2015_2024,fx
